sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
anchor__abduction_45,0,45,0,0,0,0,0
anchor__forward_45,90,45,0,0,0,0,0
anchor__neutral,0,0,0,0,0,0,0
sobol__0000016,-44.81454399,53.38090909,-28.10057057,39.09198377,6.07333519,-9.42152387,-20.95108976
sobol__0000038,53.62295601,59.47465909,-44.50682057,102.06073377,-36.42666481,22.84410113,-34.07608976
sobol__0000073,71.90420601,84.86528409,78.54005443,99.01385877,-5.17666481,2.88316363,0.61141024
sobol__0000111,-43.40829399,99.08403409,48.07130443,121.35760877,72.32333519,1.24253863,-8.76358976
sobol__0000159,-55.36141899,103.65434659,79.12599193,23.34979627,59.19833519,10.94956988,-15.79483976
sobol__0000165,99.32608101,113.81059659,25.21974193,29.44354627,61.69833519,-6.00355512,-40.16983976
sobol__0000220,-14.58016899,53.88872159,89.67286693,30.45917127,-44.55166481,13.41050738,-35.48233976
sobol__0000223,-59.58016899,86.38872159,-22.82713307,127.95917127,-4.55166481,22.16050738,54.51766024
sobol__0000234,111.98233101,59.98247159,63.89161693,97.49042127,72.94833519,3.01988238,-22.35733976
sobol__0000245,117.60733101,129.04497159,-25.17088307,36.55292127,-72.05166481,10.67613238,-56.10733976
sobol__0000257,38.50576851,121.17387784,-1.44041432,24.11151502,3.88583519,4.18199176,-56.81046476
sobol__0000271,-40.24423149,80.54887784,7.93458568,129.73651502,33.88583519,19.49449176,-19.31046476
sobol__0000309,114.44326851,90.70512784,-50.65916432,119.58026502,6.38583519,1.44761676,-43.68546476
sobol__0000447,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
sobol__0000450,81.39639351,15.04106534,-25.46385182,4.30682752,4.51083519,24.00621051,23.34578524
sobol__0000463,-42.35360649,88.16606534,77.66114818,12.43182752,74.51083519,-8.80628949,-44.15421476
sobol__0000501,117.95889351,65.82231534,28.44239818,6.33807752,47.01083519,9.24058551,-19.77921476
sobol__0000511,-50.79110649,73.94731534,-37.18260182,30.71307752,17.01083519,-6.07191449,-12.27921476
sobol__0000557,87.19717476,83.97661222,70.19044505,67.6564369,60.60458519,5.4466402,-47.78702726
sobol__0000560,-42.17782524,55.53911222,9.25294505,31.0939369,55.60458519,6.5403902,-59.03702726
sobol__0000575,-53.42782524,79.91411222,74.87794505,55.4689369,-14.39541481,-0.0221098,38.46297274
sobol__0000603,9.85342476,113.42973722,-41.13767995,109.2970619,6.85458519,23.7669527,39.40047274
sobol__0000623,-43.58407524,66.71098722,-15.35642995,9.7658119,4.35458519,16.6575777,52.52547274
sobol__0000625,52.04092476,70.77348722,-38.79392995,54.4533119,79.35458519,9.0013277,-41.22452726
sobol__0000673,31.65029976,97.68754972,55.54200755,18.3986244,74.97958519,13.78648395,40.80672274
sobol__0000704,-54.13095024,49.95317472,-39.37986745,129.1017494,73.72958519,14.60679645,-37.00577726
sobol__0000801,30.59561226,119.26958097,-39.0868987,48.10565565,54.66708519,-6.24281293,-18.95890226
sobol__0000860,-12.99813774,0.44145597,79.2724763,95.84003065,-11.58291481,9.34312457,-40.52140226
sobol__0000871,-32.68563774,87.78520597,-49.6337737,20.68378065,50.91708519,8.79624957,43.85359774
sobol__0000886,74.18936226,43.09770597,76.9287263,0.37128065,-64.08291481,23.01499957,40.10359774
sobol__0000925,80.51748726,91.33989347,83.3740388,111.58221815,27.79208519,18.77671832,44.32234774
sobol__0000949,117.07998726,85.24614347,43.5302888,20.17596815,-64.70791481,5.10484332,-13.80265226
sobol__0000961,36.92373726,80.16801847,-51.3915862,27.28534315,31.54208519,-4.46546918,50.88484774
sobol__0000976,-47.45126274,51.73051847,84.5459138,15.09784315,-3.45791481,1.00328082,47.13484774
sobol__0001013,118.48623726,98.44926847,-2.1728362,122.75409315,39.04208519,-6.10609418,34.00984774
sobol__0001014,73.48623726,0.94926847,35.3271638,25.25409315,79.04208519,2.64390582,-55.99015226
sobol__0001035,28.57412788,114.50883878,-52.49021901,20.49335096,19.43271019,-2.87611371,-19.36905851
