sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
anchor__elbow_90,0.00000000,0.00000000,0.00000000,90.00000000,0.00000000,0.00000000,0.00000000
sobol__0000007,-27.93954399,89.94340909,-32.78807057,100.02948377,61.07333519,11.35972613,-2.20108976
sobol__0000015,-39.18954399,114.31840909,70.33692943,91.90448377,-8.92666481,17.92222613,-54.70108976
sobol__0000023,-22.31454399,102.13090909,-9.35057057,55.34198377,26.07333519,3.70347613,54.04891024
sobol__0000031,-56.06454399,77.75590909,37.52442943,14.71698377,-43.92666481,-2.85902387,1.54891024
sobol__0000039,-36.37704399,124.47465909,30.49317943,37.06073377,43.57333519,5.34410113,25.92391024
sobol__0000047,-47.62704399,83.84965909,2.36817943,28.93573377,-26.42666481,-5.59339887,33.42391024
sobol__0000055,-19.50204399,71.66215909,72.68067943,114.24823377,8.57333519,8.62535113,-30.32608976
sobol__0000063,-53.25204399,112.28715909,-49.19432057,73.62323377,-61.42666481,19.56285113,-22.82608976
sobol__0000071,-29.34579399,109.24028409,87.91505443,9.63885877,-35.17666481,22.57066363,38.11141024
sobol__0000079,-40.59579399,68.61528409,-52.70994557,50.26385877,54.82333519,16.00816363,15.61141024
sobol__0000087,-23.72079399,88.92778409,17.60255443,94.95135877,-70.17666481,-6.96058637,-18.13858976
sobol__0000095,-57.47079399,129.55278409,8.22755443,103.07635877,19.82333519,-0.39808637,-40.63858976
sobol__0000103,-32.15829399,74.70903409,-17.55369557,80.73260877,-17.67666481,-9.69496137,-46.26358976
sobol__0000111,-43.40829399,99.08403409,48.07130443,121.35760877,72.32333519,1.24253863,-8.76358976
sobol__0000119,-15.28329399,119.39653409,-31.61619557,27.92010877,-52.67666481,24.21128863,9.98641024
sobol__0000127,-49.03329399,95.02153409,52.75880443,36.04510877,37.32333519,13.27378863,47.48641024
sobol__0000135,-27.23641899,115.84184659,-0.56150807,124.91229627,-75.80166481,-3.26918012,17.95516024
sobol__0000143,-38.48641899,91.46684659,27.56349193,68.03729627,14.19833519,3.29331988,40.45516024
sobol__0000151,-21.61141899,79.27934659,-42.74900807,47.72479627,-30.80166481,17.51206988,-38.29483976
sobol__0000159,-55.36141899,103.65434659,79.12599193,23.34979627,59.19833519,10.94956988,-15.79483976
sobol__0000167,-35.67391899,81.31059659,62.71974193,61.94354627,-58.30166481,20.24644488,-10.16983976
sobol__0000175,-46.92391899,121.93559659,-40.40525807,5.06854627,31.69833519,9.30894488,-47.66983976
sobol__0000183,-18.79891899,109.74809659,39.28224193,106.63104627,-13.30166481,-4.90980512,46.08016024
sobol__0000191,-52.54891899,69.12309659,-7.59275807,82.25604627,76.69833519,6.02769488,8.58016024
sobol__0000199,-31.45516899,66.07622159,47.48536693,18.27167127,20.44833519,-0.80824262,-54.23233976
