sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
sobol__0001065,65.13662788,116.54008878,85.79103099,115.96210096,-3.06728981,-6.70423871,42.50594149
sobol__0000234,111.98233101,59.98247159,63.89161693,97.49042127,72.94833519,3.01988238,-22.35733976
sobol__0001218,81.30850288,1.26665128,74.65821849,32.17303846,48.80771019,-1.91908246,38.28719149
sobol__0002818,84.07705757,31.76713956,78.43019115,88.1276283,61.65927269,-8.47303754,25.66023837
sobol__0003163,10.16104194,88.95952238,-42.93211354,118.53290174,-59.51260231,-9.68641644,12.00789462
sobol__0000261,106.00576851,72.42387784,54.80958568,105.36151502,63.88583519,-0.19300824,-11.81046476
sobol__0000317,80.69326851,115.08012784,89.96583568,78.95526502,-63.61416481,-9.48988324,-21.18546476
sobol__0002973,80.56143257,115.55620206,-13.56199635,51.0573158,78.53427269,5.06211871,-35.74601163
sobol__0002997,117.12393257,125.71245206,-53.40574635,77.4635658,-33.96572731,18.73399371,7.37898837
sobol__0001262,44.74600288,60.17290128,-58.93553151,17.95428846,-63.69228981,12.84654254,-53.58780851
sobol__0001047,-22.05087212,86.07133878,-38.42771901,8.30585096,-55.56728981,15.71763629,36.88094149
sobol__0002687,-49.16512993,86.86479581,24.2309724,2.05340955,19.47177269,8.41172809,9.95711337
sobol__0003903,-53.99911431,107.11381925,16.68702708,116.37469862,-9.98135231,-2.47450238,-15.29679288
sobol__0003935,-58.21786431,122.34819425,74.10890208,97.07782362,71.26864769,13.11143512,-33.10929288
sobol__0001720,-30.31259087,4.18657316,52.24610911,0.30780409,-59.16103981,2.8318941,8.87312899
sobol__0003872,-59.62411431,46.17631925,2.62452708,14.81219862,5.01864769,24.86924762,-56.54679288
