sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,usable,status,reason,duration_ms,objective,max_assembly_error_deg,max_equilibrium_residual,max_reserve_torque_nm,muscles_at_floor,muscles_at_capacity,activation__DELT1,activation__DELT2,activation__DELT3,activation__SUPSP,activation__INFSP,activation__SUBSC,activation__TMIN,activation__TMAJ,activation__PECM1,activation__PECM2,activation__PECM3,activation__LAT1,activation__LAT2,activation__LAT3,activation__CORB,activation__TRIlong,activation__TRIlat,activation__TRImed,activation__ANC,activation__SUP,activation__BIClong,activation__BICshort,activation__BRA,activation__BRD,activation__ECRL,activation__ECRB,activation__ECU,activation__FCR,activation__FCU,activation__PL,activation__PT,activation__PQ,activation__FDSL,activation__FDSR,activation__FDSM,activation__FDSI,activation__FDPL,activation__FDPR,activation__FDPM,activation__FDPI,activation__EDCL,activation__EDCR,activation__EDCM,activation__EDCI,activation__EDM,activation__EIP,activation__EPL,activation__EPB,activation__FPL,activation__APL,active_force_n__DELT1,active_force_n__DELT2,active_force_n__DELT3,active_force_n__SUPSP,active_force_n__INFSP,active_force_n__SUBSC,active_force_n__TMIN,active_force_n__TMAJ,active_force_n__PECM1,active_force_n__PECM2,active_force_n__PECM3,active_force_n__LAT1,active_force_n__LAT2,active_force_n__LAT3,active_force_n__CORB,active_force_n__TRIlong,active_force_n__TRIlat,active_force_n__TRImed,active_force_n__ANC,active_force_n__SUP,active_force_n__BIClong,active_force_n__BICshort,active_force_n__BRA,active_force_n__BRD,active_force_n__ECRL,active_force_n__ECRB,active_force_n__ECU,active_force_n__FCR,active_force_n__FCU,active_force_n__PL,active_force_n__PT,active_force_n__PQ,active_force_n__FDSL,active_force_n__FDSR,active_force_n__FDSM,active_force_n__FDSI,active_force_n__FDPL,active_force_n__FDPR,active_force_n__FDPM,active_force_n__FDPI,active_force_n__EDCL,active_force_n__EDCR,active_force_n__EDCM,active_force_n__EDCI,active_force_n__EDM,active_force_n__EIP,active_force_n__EPL,active_force_n__EPB,active_force_n__FPL,active_force_n__APL
anchor__elbow_90,0,0,0,90,0,0,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,450.725013,0.0308154731509,0.000564588956933,7.93447129094e-14,5.49233542045e-06,5,0,0.0295553120378,0.0100042491672,0.0100240494285,0.0100106834067,0.0407096123663,0.0100038883726,0.0173364070066,0.0100464654101,0.0350801968252,0.104233859843,0.0292039389857,0.0100229959504,0.0100263326339,0.0100434403169,0.0185428652644,0.0100453585311,0.0100126592736,0.0100128506514,0.0100297421595,0.0100257975546,0.0148389618651,0.0488779251458,0.0463989928583,0.0391521476651,0.043841910834,0.0357877390251,0.0234791360516,0.010005391975,0.010007668204,0.0100123746543,0.0255428579719,0.0100774228973,0.0100223702583,0.010012626324,0.0100074409868,0.0100108119362,0.0100101883848,0.0100124463522,0.0100106510738,0.0100104770563,0.0100856033925,0.0234664683588,0.0100452374657,0.0106061161424,0.0103940010507,0.01017438034,0.0100859652816,0.0100312604511,0.0100109614799,0.0100163635004,24.6736909571,10.9451738938,1.97764030474,4.90956457725,43.6937783927,12.9928001888,4.4203764025,1.3174039137,14.9379191309,59.5461495267,3.84322489112,2.21298360192,1.34186786892,1.62553852394,3.35745305303,4.54661101827,7.08174263098,6.93564269299,2.63448483842,3.62651202142,7.79192686028,14.8518287847,50.9107473706,9.77332202202,13.7761922229,9.01834198243,3.93324919452,3.81765887432,3.94624753522,0.937487434659,13.8173806563,2.85655266877,0.651471514229,1.60170149559,2.58977055686,1.62562717163,2.37028080715,1.73106523006,2.08201420814,1.97498324455,0.256266324627,2.35425365726,0,0.513617785893,0.576183313613,0.428302282055,0.729431720918,0.46142101577,1.92474822501,1.16884723968
sobol__0000007,-27.93954399,89.94340909,-32.78807057,100.02948377,61.07333519,11.35972613,-2.20108976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,394.387299,1.32991517986,8.97351704054e-09,5.1891824171e-13,9.30840068211e-05,25,1,0.312479260259,0.999998983766,0.344774364446,0.0100020990816,0.0776070316594,0.0100001271003,0.0100027861219,0.0100008595423,0.0100003401438,0.010000104501,0.0100001070659,0.0100007518471,0.010000434644,0.0100004095172,0.0100006681684,0.292700786421,0.0100117510764,0.0100119120198,0.0100280986932,0.0100452373626,0.0100003499107,0.0100006077593,0.0517677664722,0.0100659694439,0.0142524442494,0.046322154635,0.0707978418701,0.0100025700965,0.0100099754657,0.0100067894028,0.0490575511285,0.0137198195351,0.0100169787613,0.0100082025084,0.0100047930115,0.0100070969015,0.0100077791122,0.0100092826639,0.01000759478,0.0100070296309,0.0129440254548,0.0541232295563,0.0387206193719,0.0192045474048,0.0234632362728,0.0145303696529,0.0100698677827,0.0100192272082,0.0100063484214,0.0100081248752,168.459120758,311.954570811,53.3371018211,4.63700441011,83.4495251549,12.6759313442,2.68947189089,1.40427439098,4.40495672382,6.20985725416,4.97261128201,2.56699869907,2.70776230617,1.79733326347,1.0478568179,109.84231899,7.16308683362,7.03265030181,2.72686388054,0,4.40324323373,1.29184305225,55.3655022458,2.35843201723,4.46672431167,10.7984618345,12.9535176708,3.84398539097,2.76002226335,0.94319229795,20.9694774508,3.17777382789,0.600866507449,1.58576051888,2.58879937687,1.62582832703,2.3696588151,1.7303524406,2.06679773105,1.97430143048,0.37237158698,5.75202052605,3.33488331307,0.927260641016,1.40714390846,0.610200102148,0.61468058374,0.44950718595,1.74461553064,1.15504525333
sobol__0000015,-39.18954399,114.31840909,70.33692943,91.90448377,-8.92666481,17.92222613,-54.70108976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,361.301456,1.13292034026,5.1027100767e-08,8.52651282912e-13,6.60479935682e-05,17,0,0.411847270469,0.572189223663,0.263101357112,0.504564658782,0.0100025328541,0.11414042225,0.0100452378128,0.0100008188229,0.0100010099577,0.0100001414062,0.010000204279,0.0100006617946,0.0100003458982,0.0100004383146,0.0100005356158,0.010030101365,0.300878503142,0.294719065037,0.0615798833414,0.0100016932105,0.218423875076,0.0100008760677,0.0100008143456,0.0100015323905,0.0100452378128,0.0446053017468,0.0104191444119,0.0100035257378,0.0100026977816,0.0100087615183,0.204986387214,0.136863347786,0.0100124090558,0.0100081550892,0.0101606924392,0.0101045066568,0.0100929123191,0.0100756679372,0.0103725204161,0.0100969994526,0.0147669235313,0.0418324434996,0.038666642928,0.0172991237737,0.0172244966324,0.0111532081136,0.0100439227665,0.0100388883648,0.0100164077914,0.0100201391611,230.999981875,131.550878333,43.4580157549,86.7865447615,0.364238329885,137.754015578,0,1.43544862267,3.99678475217,4.57185905701,4.68484011745,2.58621919592,2.89831415519,1.85787769438,1.30729647687,1.40294142588,213.338531774,204.693165888,16.2837335029,3.78677105724,114.69135576,1.24429572216,10.9241575985,2.4810396161,0,10.7668512251,1.97214765773,4.06205079303,4.44763368308,0.924541233742,111.942520251,38.9631929284,0.728410241675,1.70369392285,2.23507382658,1.28184136684,2.23036886117,1.65274515823,2.20289201044,1.6942229189,0.581809179126,4.24701465393,3.50308915335,0.798674075574,1.24433286105,0.510772157211,0.868855168549,0.402821077409,0.776579545056,0.922252487118
sobol__0000023,-22.31454399,102.13090909,-9.35057057,55.34198377,26.07333519,3.70347613,54.04891024,0,solver_failed,The static optimization solver did not converge,997.77287,,4.14518552816e-08,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sobol__0000031,-56.06454399,77.75590909,37.52442943,14.71698377,-43.92666481,-2.85902387,1.54891024,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,355.937299,0.502342893766,6.18700113364e-08,7.899065381e-13,2.16450437697e-05,25,0,0.0100132043971,0.628167924045,0.0281366897272,0.0100018576049,0.0100005883779,0.0100020963035,0.251813770837,0.0100036221057,0.0100027819339,0.0100004136084,0.0100004800452,0.010003727479,0.0100016764916,0.0100140393007,0.0100023245398,0.13484855001,0.0206547946027,0.0165316616886,0.0100452372618,0.0702611378987,0.010009009488,0.0100271677705,0.0100149791296,0.0100193793117,0.0184333274173,0.0553446298093,0.0805623078067,0.010001677711,0.0100029944376,0.0100049043319,0.0100063335042,0.0100111694455,0.0100096296616,0.0100046524765,0.0100030725741,0.0100046408755,0.010004861867,0.0100059566921,0.0100046756147,0.0100044813561,0.0133264987763,0.0566246752007,0.0405263306073,0.0182014272073,0.0290020379757,0.0146808392732,0.0104994584856,0.0100184113418,0.0100057125192,0.0100076450973,1.04251785892,498.968791798,1.89188715752,2.12234712548,4.62049627656,11.5894984534,65.5250359219,1.27695762662,4.43203094176,6.49735783243,4.94867825701,1.92582375153,1.72194240693,0.0453809864858,1.18741431923,103.561487544,11.6596295134,7.45325641589,0,25.4057959419,0.821739385593,0.0586649980987,11.7610127805,2.4344680976,6.10951558275,13.8480705421,15.460973983,3.89954449553,4.79824611596,0.960348276416,2.59487061424,2.69365052689,0.751944397466,1.71200795269,2.58859704164,1.61592320606,2.36826455753,1.72990058408,2.10041366082,1.97327799526,0.405064968475,6.18216302267,3.81337619478,0.88822031437,1.93777035544,0.619880781867,0.809025104949,0.460828053868,1.95731154415,1.16766218305
sobol__0000039,-36.37704399,124.47465909,30.49317943,37.06073377,43.57333519,5.34410113,25.92391024,0,solver_failed,The static optimization solver did not converge,1007.09819,,3.86963705523e-08,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sobol__0000047,-47.62704399,83.84965909,2.36817943,28.93573377,-26.42666481,-5.59339887,33.42391024,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,436.86256,0.804057803732,4.9860071627e-08,1.1226575225e-12,3.81134768229e-05,26,0,0.0100016111773,0.852609630788,0.105019202234,0.0100005032716,0.0100002973369,0.0650653605425,0.0179932182265,0.0100047806677,0.0100005218079,0.0100002088342,0.0100002505205,0.0415373476675,0.0100017238358,0.0100010716662,0.0100015173796,0.127639671008,0.0100108221202,0.0100116052824,0.0100452378663,0.0763916956411,0.0100020888134,0.0100160418207,0.0300726267067,0.0100437797756,0.0353068945279,0.0831021834001,0.121847105377,0.0100010036309,0.010001881049,0.0100029224647,0.0100051769281,0.0100092388765,0.0100053622838,0.0100023893628,0.0100013754582,0.0100020466162,0.0100020590604,0.0100025749116,0.0100020454921,0.0100019240375,0.014530646656,0.0705482860955,0.0539934018972,0.0253140188735,0.0379083333814,0.0165434033019,0.0102003343702,0.0100103942992,0.0100039630424,0.0100038662649,2.40622488549,501.484713407,10.3264628335,4.28735803189,7.20348380748,76.8246768342,4.84121597153,1.32505107169,4.33688069954,6.28173053593,4.97171172831,9.12268596301,2.00205530455,1.74976685515,1.04962008692,92.3244781441,6.37075599495,5.80691537806,0,28.7496349971,0.903030891241,0.0894281072206,35.4058343395,2.60416872263,11.1610478906,17.7328765713,20.3893641158,3.96493764508,4.4124087484,0.952724215317,3.79260300944,2.8382194029,0.699048005945,1.63556630534,2.4927852377,1.60773792389,2.3293976179,1.69191864752,1.99571775881,1.92969386692,0.300557642312,5.95170373306,3.97442688967,1.1071730457,1.9381181536,0.512294713186,0.673125238484,0.458392049032,1.97787774991,1.12570798701
sobol__0000055,-19.50204399,71.66215909,72.68067943,114.24823377,8.57333519,8.62535113,-30.32608976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,377.780238,0.329859516423,1.62178395158e-08,1.0458370646e-12,7.35986359516e-05,19,0,0.0100004692034,0.326348628505,0.311917099974,0.0100003237836,0.0100001900057,0.0100001149899,0.0100452366366,0.0100076689952,0.010000537412,0.0100001789645,0.0100002139525,0.030416309027,0.0100018351233,0.0100010588153,0.0100010201284,0.0100037709941,0.121018747869,0.120596813987,0.0294418294723,0.0100452366366,0.184564576265,0.0100003658462,0.0100021184888,0.0100082216123,0.0303860374163,0.0586089379582,0.0100063826908,0.0100087447861,0.0100024484066,0.010013005344,0.197264795076,0.112246093664,0.010013968762,0.0100084772084,0.0100369555172,0.0100964118747,0.0100126550416,0.0100184164505,0.0100275223561,0.0101634627491,0.0100704002305,0.0164927858593,0.0259994486357,0.0170796248435,0.0100293633002,0.0101675130626,0.0101399412746,0.0110724195975,0.0100213689683,0.0186965009652,3.88657644603,279.959834371,57.198488209,3.63635026873,4.94472075813,11.789889518,0,1.33083387336,4.43855957019,6.57111567926,4.7946699081,6.62227351169,1.8838947212,1.7266909729,1.60349838809,1.80638645458,86.8167079203,86.2125481182,8.33530641567,0,94.2753390968,2.94489467142,9.76500119947,0.78277911408,5.84784687681,14.7968455151,1.92954975369,3.91980733491,3.44610233233,0.974827404291,98.502470182,31.2936517709,0.635794466128,1.60938523441,2.55549115497,1.51921539513,2.34682950255,1.72479323302,2.12869557974,1.95516015749,0.368536759737,1.79114911882,2.45427242622,0.824595314978,0.710364127882,0.480914244973,0.803877034987,0.497700629797,1.29782019586,2.06597446868
sobol__0000063,-53.25204399,112.28715909,-49.19432057,73.62323377,-61.42666481,19.56285113,-22.82608976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,396.913432,2.14185861896,4.45949801531e-08,2.70723310961e-12,0.000234091474496,27,0,0.932763628245,0.0319264176953,0.0100003972003,0.0100000792145,0.0100000556557,0.0100000889196,0.0100005624777,0.0100036892619,0.0100000908538,0.0100000508989,0.0100000903524,0.686015519051,0.0100006566439,0.0100004330524,0.0100003337682,0.855023100036,0.0100031770888,0.0100032417788,0.010013015177,0.0939302787726,0.0100001036897,0.0100010358864,0.222547095544,0.0109552663782,0.0456121970204,0.0527757302027,0.0159776135991,0.0100033924689,0.0100062743941,0.0100091980067,0.0100053402308,0.0100106063251,0.0100178178248,0.0100088337446,0.0100056207878,0.0100090295046,0.0100080161359,0.0100097677385,0.0100077804071,0.0100088018195,0.0101586310035,0.0266787444335,0.0234965028069,0.0111642191687,0.0135636885782,0.0122119948299,0.0109736354406,0.0100362086536,0.0100134313728,0.0100209872693,657.082894647,0.861401144036,1.80691059546,4.99135792689,8.63675949936,12.6784176317,2.6823556916,1.43436288783,4.29549117008,4.82494558454,4.50862140365,178.136798775,2.87209861234,1.85203660788,1.54420471505,360.620845444,6.91670084563,6.76876278769,2.30482766205,32.7584127905,3.6435492984,1.03437884556,252.832710067,2.99614164764,15.3711961841,13.3223940164,3.07370975042,4.00279200104,4.41654254623,0.934828937392,4.51388366727,2.48289605363,0.740802911485,1.7112135446,2.41596090803,1.39259611385,2.33717232613,1.71537769132,2.12551599826,1.82551390338,0.372941572162,2.90217684554,2.21805354625,0.544443550093,0.980890416063,0.577561896973,0.841843343882,0.403860355787,1.27113669869,1.0001284047
sobol__0000071,-29.34579399,109.24028409,87.91505443,9.63885877,-35.17666481,22.57066363,38.11141024,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,495.478493,2.17113251394,1.38765379631e-07,9.66338120634e-13,5.924347794e-05,26,0,0.39484031141,0.925688872098,0.504432603135,0.448158932444,0.0100008601913,0.0100002112637,0.010045238472,0.0100004809713,0.0100002860526,0.0100000816632,0.0100001196305,0.0100003516337,0.0100002142206,0.0100002786598,0.0100005152926,0.010001028848,0.295006624698,0.228383770203,0.010045238472,0.0100011061096,0.628264681733,0.010045238472,0.0100014026367,0.0100064619499,0.0100063356013,0.0260845515568,0.165921525158,0.0100027941957,0.0364544731809,0.0100079795255,0.279079726521,0.191176847216,0.0100154216027,0.0100086456308,0.0100048961779,0.0100068889766,0.0100069919088,0.0100081545035,0.0100069669311,0.0100057800456,0.0268052437009,0.106652741968,0.0744534010807,0.0377089682399,0.0518189124248,0.0134852934176,0.0100246035145,0.0100125990217,0.0100029081021,0.0100040997489,212.689988853,389.950559178,85.5108366033,90.6398063785,0.714153801419,12.2519233436,0,1.43134382066,4.21617628455,4.96303800842,4.89152388895,2.57956472756,2.8761102359,1.84536492691,1.06515328517,4.92914380992,153.55952034,92.0326932843,0,3.68713239779,138.639494502,0,11.7000000268,2.39717837961,2.37455231393,4.1076124827,32.0046330434,4.08011669816,12.2328760893,0.99728414613,76.4889506835,52.9908007759,0.70749178256,1.65673352485,2.52088196577,1.62405363248,2.31497966333,1.68800526056,2.00115807947,1.95946878893,0.776240526785,10.899051745,6.13476415713,1.6661396957,3.38208767362,0.343145642472,0.460579023498,0.397355608603,2.00816796322,1.15475908348
