sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
sobol__0001369,54.23819038,98.00493253,-15.86912526,47.66131971,-5.87978981,3.89146441,-10.69718351
sobol__0000386,85.61514351,62.77544034,76.48927318,112.97870252,-59.23916481,8.96714801,-46.96671476
sobol__0002250,114.83877632,49.92143644,69.20167552,71.49676893,0.87802269,-7.89198285,-6.80069913
sobol__0002554,106.75283882,17.16753019,50.74464427,115.42255018,-53.18447731,-9.87440473,-10.78507413
sobol__0003914,116.15713569,53.28569425,50.67140208,60.51532362,-23.73135231,22.95518512,-21.85929288
sobol__0001467,15.56631538,125.93462003,-37.54881276,60.35663221,52.24521019,10.59068316,8.52156649
sobol__0002339,-14.88778618,94.86284269,-34.21629323,46.86786268,-47.55947731,23.89512652,-11.25382413
sobol__0003147,27.03604194,109.27202238,-0.74461354,33.22040174,-14.51260231,24.21983356,-51.74210538
sobol__0003259,15.08291694,109.77983488,-31.79930104,66.22821424,-36.38760231,-3.26063519,-43.77335538
sobol__0003667,-1.61630181,97.2114755,-45.12937917,51.12079237,43.45614769,16.59776324,-5.21866788
sobol__0001180,-10.09774712,55.09477628,-3.85740651,73.81366346,-69.94228981,-9.84876996,16.72469149
sobol__0001940,24.17959663,1.90141691,84.17970286,44.23358534,-48.22353981,19.85337848,-50.89249601
sobol__0002284,-0.47372368,3.20268644,19.98292552,81.65301893,-76.62197731,-9.53260785,13.82430087
sobol__0002773,109.03799507,86.35698331,52.9419099,69.59247205,-72.40322731,1.98594684,24.48836337
sobol__0002997,117.12393257,125.71245206,-53.40574635,77.4635658,-33.96572731,18.73399371,7.37898837
sobol__0003741,79.24307319,128.188038,24.59718333,42.48797987,32.83114769,13.72666949,-20.68741788
sobol__0001262,44.74600288,60.17290128,-58.93553151,17.95428846,-63.69228981,12.84654254,-53.58780851
sobol__0003070,39.78018257,0.79057706,76.67237865,129.2604408,-40.21572731,14.08555621,10.19148837
sobol__0001823,-56.67977837,100.92485441,22.65626536,108.72577284,-76.34853981,4.13072223,-0.73624601
sobol__0002687,-49.16512993,86.86479581,24.2309724,2.05340955,19.47177269,8.41172809,9.95711337
sobol__0003303,-34.13583306,125.01420988,58.43507396,55.05633924,-22.63760231,17.79405231,-52.21085538
sobol__0000016,-44.81454399,53.38090909,-28.10057057,39.09198377,6.07333519,-9.42152387,-20.95108976
sobol__0000136,-15.98641899,10.21684659,83.81349193,84.28729627,34.19833519,-9.83168012,-4.54483976
