sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,capacity_target,capacity_muscles,capacity_scale,usable,status,reason,duration_ms,objective,max_assembly_error_deg,max_equilibrium_residual,max_reserve_torque_nm,muscles_at_floor,muscles_at_capacity,activation__DELT1,activation__DELT2,activation__DELT3,activation__SUPSP,activation__INFSP,activation__SUBSC,activation__TMIN,activation__TMAJ,activation__PECM1,activation__PECM2,activation__PECM3,activation__LAT1,activation__LAT2,activation__LAT3,activation__CORB,activation__TRIlong,activation__TRIlat,activation__TRImed,activation__ANC,activation__SUP,activation__BIClong,activation__BICshort,activation__BRA,activation__BRD,activation__ECRL,activation__ECRB,activation__ECU,activation__FCR,activation__FCU,activation__PL,activation__PT,activation__PQ,activation__FDSL,activation__FDSR,activation__FDSM,activation__FDSI,activation__FDPL,activation__FDPR,activation__FDPM,activation__FDPI,activation__EDCL,activation__EDCR,activation__EDCM,activation__EDCI,activation__EDM,activation__EIP,activation__EPL,activation__EPB,activation__FPL,activation__APL,active_force_n__DELT1,active_force_n__DELT2,active_force_n__DELT3,active_force_n__SUPSP,active_force_n__INFSP,active_force_n__SUBSC,active_force_n__TMIN,active_force_n__TMAJ,active_force_n__PECM1,active_force_n__PECM2,active_force_n__PECM3,active_force_n__LAT1,active_force_n__LAT2,active_force_n__LAT3,active_force_n__CORB,active_force_n__TRIlong,active_force_n__TRIlat,active_force_n__TRImed,active_force_n__ANC,active_force_n__SUP,active_force_n__BIClong,active_force_n__BICshort,active_force_n__BRA,active_force_n__BRD,active_force_n__ECRL,active_force_n__ECRB,active_force_n__ECU,active_force_n__FCR,active_force_n__FCU,active_force_n__PL,active_force_n__PT,active_force_n__PQ,active_force_n__FDSL,active_force_n__FDSR,active_force_n__FDSM,active_force_n__FDSI,active_force_n__FDPL,active_force_n__FDPR,active_force_n__FDPM,active_force_n__FDPI,active_force_n__EDCL,active_force_n__EDCR,active_force_n__EDCM,active_force_n__EDCI,active_force_n__EDM,active_force_n__EIP,active_force_n__EPL,active_force_n__EPB,active_force_n__FPL,active_force_n__APL
moderate__neutral,0,0,0,0,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,502.736206,0.430406210736,0.000546016475022,1.51345602717e-12,0.000119203760433,16,0,0.0286222101769,0.0100138222742,0.010021178166,0.010013951756,0.010003920532,0.0744094825112,0.0100164561038,0.0101208720148,0.0363531051788,0.0608633699634,0.0102058969408,0.0104544816595,0.0100826123978,0.0101087073423,0.0101524693742,0.518814702409,0.300094871681,0.218260310404,0.010045237689,0.0209573448216,0.0100063974508,0.0100059242277,0.0100011146768,0.01000397688,0.0256104112404,0.0311283484693,0.0373573155826,0.01000226297,0.010001442637,0.0100077764624,0.0100039233085,0.0100210122512,0.0100103166412,0.0100056523549,0.0100055646461,0.0100086667713,0.010006435661,0.0100085148094,0.0100076491432,0.0100086641843,0.0137849835734,0.059378323303,0.010045237689,0.0262983641163,0.0245226188561,0.0118801532054,0.0135929750626,0.0100648028745,0.0100109916739,0.0100399845938,23.8947114056,10.9556476826,1.97707387135,4.91116696635,10.7372450927,96.6411776561,2.55396090339,1.32716092294,15.4799510663,34.7696890163,1.34309025395,2.30825162427,1.34940006158,1.63610204172,1.83825071358,400.141137582,131.27387192,69.4398486744,0,7.5806500699,1.87085382021,2.29073526156,11.4989373603,2.32085982016,7.88750649911,7.39406268811,7.2061582451,3.90495057415,4.79288877059,0.994435607694,3.8002580634,2.84056247136,0.753655346814,1.71291328045,2.58928498897,1.62527882441,2.36939221157,1.73038550035,2.08138986689,1.97462558009,0.45828379522,6.48384104145,0,1.28311080311,1.73581133529,0.500108759325,0.983063783568,0.462963910521,1.92475403009,1.17160367417
moderate__elbow_45,0,0,0,45,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,496.089673,0.0353939026189,0.000546004994,3.80085837621e-13,5.98646134011e-06,12,0,0.0280268902293,0.0100044088781,0.0100247098124,0.0100110840637,0.0409408528232,0.0100039790595,0.0169991667669,0.0100459456501,0.0332302592644,0.0994900191812,0.0280227583866,0.0100232303211,0.0100266220915,0.010043113229,0.0177650797278,0.0100094724381,0.0100062347206,0.010006382032,0.0100445584762,0.0100278238299,0.0261522112225,0.0622627655509,0.0636274370172,0.0523322385009,0.0383375593095,0.0369270416032,0.0336054968035,0.0100048330517,0.0100091682503,0.0100112710731,0.0331773577138,0.0100691321568,0.0100218348528,0.0100127944463,0.0100068491268,0.0100098895053,0.0100099794528,0.010011999054,0.0100100180746,0.0100095130024,0.0100983983217,0.0257909636273,0.010045238146,0.0104274683804,0.0116582374999,0.0101991757212,0.0100752910934,0.0100270705909,0.0100098112864,0.0100134073851,23.3977197949,10.9453489327,1.97777062834,4.90976055696,43.9419695165,12.9929181728,4.33438801742,1.31733574747,14.1501746495,56.8361073209,3.68777912404,2.21303536819,1.34190663424,1.62548558413,3.21662339307,6.38101394062,6.61195761517,6.43536959204,0.0297904851208,3.62724496182,8.57344584764,18.7186567805,74.8925659711,14.429040426,12.9307090757,9.3037777574,6.28876497767,4.07991575485,4.58795563263,1.01090610621,17.8664705709,2.85420257024,0.738843012027,1.69606477411,2.58961739265,1.62547738071,2.37023133481,1.73098789607,2.08188255701,1.9747930448,0.274576583973,2.74993454982,0,0.508249826806,0.715471941023,0.429346072209,0.728659747893,0.461228289286,1.92452708394,1.16850227944
moderate__elbow_90,0,0,0,90,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,486.251417,0.0308558192302,0.000546006726142,1.4921397451e-13,5.49336758645e-06,5,0,0.0295734851303,0.0100042489487,0.0100240401357,0.0100106800019,0.0406235822609,0.0100038907248,0.0173209803113,0.0100464890369,0.0351039161843,0.104267914005,0.0292065557562,0.0100230055523,0.0100263396688,0.0100434599563,0.0185460794662,0.0100447622563,0.0100125893645,0.0100127801026,0.0100296640764,0.0100253537093,0.0141690574868,0.0484844248998,0.0467559685371,0.0395384791989,0.0439193367489,0.035692383644,0.0235217940004,0.0100053979289,0.010007698531,0.0100123856661,0.0260992037316,0.0100797163479,0.0100223984696,0.0100126480106,0.0100074481532,0.0100108212095,0.0100102006886,0.0100124589676,0.0100106623432,0.0100104850596,0.0100857186439,0.0234891880149,0.0100452378701,0.0106075136025,0.0103954722477,0.0101741005593,0.0100856414952,0.0100312307817,0.010010957286,0.0100163433858,24.6888653279,10.9451739615,1.97763850812,4.90956239201,43.6014418426,12.9928034459,4.41644290812,1.31740700239,14.9480189408,59.5655966232,3.84356618733,2.21298574134,1.34186883638,1.62554170222,3.35803463737,4.54634139808,7.08169318579,6.93559382574,2.6344643286,3.62635147459,7.4401606137,14.7322610174,51.302434721,9.86975970685,13.8005213249,8.99431287452,3.94039530004,3.8176611462,3.94625949082,0.93748846572,14.1183352771,2.85720277174,0.651473347899,1.60170496471,2.58977241141,1.62562867749,2.37028372053,1.73106741114,2.08201655194,1.97498482352,0.256269253124,2.35653298785,0,0.513685460077,0.576264868403,0.42829050433,0.72940830406,0.461419651029,1.92474741849,1.16884489243
moderate__side_15,0,15,0,0,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,503.559872,0.587839818584,0.000546004827989,1.05870867628e-12,1.80314079675e-05,21,0,0.275473828433,0.239028321158,0.0100060921444,0.0690633534486,0.0229729890995,0.0563310739185,0.0100104409293,0.0100069374937,0.0242735354977,0.01001564987,0.0100139518877,0.0100061528059,0.010008324035,0.0100066538995,0.0100337329374,0.435379057408,0.396261936308,0.288202469462,0.0100452377672,0.0306152271124,0.010007542818,0.010004261198,0.0100008468788,0.0100030776531,0.0310955679357,0.0351527858119,0.0423923196991,0.0100018567236,0.0100011290611,0.0100066974446,0.0100029726016,0.0100168342577,0.0100086693229,0.010004675905,0.0100048000998,0.010007611323,0.0100054311543,0.0100072955416,0.0100065869732,0.0100076503997,0.0167664247071,0.0730897111785,0.0100452377672,0.0327938027786,0.029729341536,0.0140234733729,0.017132429567,0.0100932521636,0.0100101493504,0.0100601720739,209.961282138,254.254148295,1.94352887188,34.4751351961,24.6875264035,72.1455904265,2.57833616762,1.32217273333,10.551509875,6.02410462376,2.36723646585,2.22646071099,1.37967664009,1.63740876639,1.92141782394,335.402197175,173.341311603,91.6920525958,0,11.0740804966,1.96709799081,1.86701817344,11.4986294551,2.32065120508,9.57682763703,8.35000617496,8.1774013835,3.90479197258,4.79273849881,0.994328389696,3.79989691167,2.83937817468,0.753531323735,1.71274611753,2.58908713624,1.62510743317,2.3691543576,1.73017469953,2.08116895688,1.97442556888,0.557402241858,7.98106181995,0,1.60002661892,2.10436447812,0.59033429524,1.23904229601,0.464272529705,1.92459208151,1.17395942737
moderate__side_30,0,30,0,0,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,483.124113,0.662116849897,0.000545990547586,2.11031192521e-12,1.90343879709e-05,25,0,0.296688129162,0.298794222178,0.0100055354186,0.100883170304,0.045033026915,0.0919462392273,0.0100088040795,0.0100057522467,0.0307796192977,0.0100067776262,0.0100048364666,0.0100046596876,0.0100061261,0.0100050330711,0.0100149746031,0.41897530123,0.418390438709,0.304296510214,0.0100452388857,0.0389282347063,0.0100078028984,0.0100047630715,0.0100008023678,0.01000293017,0.0363248321936,0.0420740677204,0.0497649132223,0.0100016679263,0.0100010461066,0.0100059651178,0.0100027111824,0.0100143758817,0.0100079822839,0.0100042402338,0.0100042075933,0.0100066814928,0.0100048753176,0.0100065444119,0.0100058435817,0.0100066920133,0.01850402487,0.080576794992,0.0100452388857,0.0358075470983,0.0332771054991,0.0157952200822,0.0188722903471,0.0100844742894,0.01000886832,0.0100441607666,211.445956747,307.481528903,1.91426388164,49.6265184495,48.4112194623,116.155749468,2.60824219943,1.33665822706,13.5872414092,6.20584314281,3.62882780936,2.30121668444,1.53713592768,1.66989343075,2.00252994476,321.475115752,183.021231019,96.8123960254,0,14.0810454597,2.00301036316,1.40909820464,11.4985782774,2.32061698983,11.1873389049,9.99405074773,9.59956126774,3.90471826507,4.79269874553,0.994255621103,3.79979760426,2.83868132187,0.753479598037,1.712671533,2.58893380474,1.6249564407,2.3690227428,1.73004483571,2.08101434641,1.97423648728,0.615169013371,8.79861709282,0,1.74706876485,2.35548973247,0.664918017681,1.36487156571,0.463868762334,1.92434578555,1.17209100753
moderate__side_45,0,45,0,0,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,475.963288,0.735703783882,0.000545991916451,1.73372427525e-12,1.95446216871e-05,26,0,0.296442283645,0.36410282089,0.0100059590577,0.122308499179,0.0615417039127,0.123305850468,0.0100076940882,0.0100052216424,0.0376748120604,0.0100038487223,0.0100025328089,0.0100039115703,0.0100047397023,0.0100041531111,0.0100077176421,0.417253451399,0.429519485913,0.312390628744,0.0100452377811,0.0458309848126,0.0100071516988,0.0100057978228,0.0100007816867,0.0100028632799,0.0408948823946,0.0484052955565,0.0563076283733,0.0100015426889,0.0100009962993,0.0100054588672,0.0100025557844,0.0100128210823,0.0100075217928,0.0100039493149,0.0100038017033,0.0100060363432,0.0100044957234,0.0100060250175,0.0100053304814,0.010006026942,0.0198674694741,0.0863669396716,0.0100452377811,0.0380421238408,0.0361489826137,0.017291574738,0.0201860419599,0.0100746598433,0.0100079524629,0.0100340818477,206.903898453,360.237615715,1.89134592291,58.3968044945,66.1649088157,153.856211344,2.66796156803,1.35570880201,16.7158393763,6.36744705685,4.41941311483,2.40858584717,1.80164522973,1.70193505681,2.07968483461,315.767073794,187.889535198,99.3875521095,0,16.5778948231,1.98036909429,0.955086643024,11.498554499,2.32060147174,12.5948251155,11.4979370065,10.8616391231,3.90466937157,4.7926748769,0.994205316864,3.79973857219,2.83824059746,0.75344492865,1.71262172926,2.5888287667,1.62485167671,2.3689328599,1.72995503691,2.08090763187,1.97410527428,0.660496928658,9.4308743817,0,1.85609492123,2.5587729494,0.72790879377,1.45988399864,0.463417314414,1.92416969914,1.17091486047
moderate__side_60,0,60,0,0,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,388.61649,0.858718898927,0.000545999649643,7.34508260632e-13,1.99205372512e-05,25,0,0.274439621704,0.483765127968,0.0100102034851,0.137447802208,0.0657592942886,0.150861125808,0.0100061607363,0.010004582341,0.024998343144,0.0100016682185,0.0100012886802,0.0100033045327,0.0100035011682,0.0100031576161,0.0100035341664,0.427741762843,0.437782110207,0.318400059076,0.0100452378746,0.0509257330436,0.0100051727733,0.0100072304798,0.0100007669998,0.0100028155279,0.0444885980381,0.0532982051552,0.0612044148522,0.0100014597369,0.0100009613136,0.0100051281236,0.0100024518378,0.010011873259,0.0100072053594,0.01000375338,0.0100035418066,0.010005623785,0.0100042435471,0.0100056812587,0.0100049965829,0.0100056039106,0.0209011881648,0.0907580532191,0.0100452378746,0.0397457347221,0.0383168449056,0.0184399061962,0.0211925837907,0.010068681175,0.0100073727023,0.0100290750504,199.161656473,417.375688688,1.87947135866,64.0177788763,70.701060545,186.299462368,2.69416473751,1.37889225594,11.0959393673,6.50601402428,4.61080693712,2.50213070165,2.15255010244,1.73391526775,2.07120432059,312.668210989,191.503947817,101.2994615,0,18.4207572592,1.90595471581,0.530200731851,11.4985376128,2.32059039364,13.7016193498,12.6601727846,11.8062203305,3.90463698661,4.79265811103,0.9941724521,3.79969908546,2.83797192685,0.753421105052,1.71258818628,2.58876150946,1.62478468255,2.36887314787,1.729895604,2.08083818768,1.97402181374,0.694863057717,9.91036387641,0,1.9392149783,2.7122231156,0.776249131717,1.53267857199,0.463142305784,1.924058232,1.17033059841
moderate__side_75,0,75,0,0,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,345.992296,1.21591881048,0.000546001706762,1.57740487339e-12,2.09752569548e-05,24,0,0.258607549408,0.758555925343,0.0439630368875,0.116191919309,0.0163299126076,0.125795855776,0.0100033750889,0.0100029942117,0.0100142405971,0.010000595683,0.0100005132917,0.0100022201272,0.0100019208956,0.0100017338832,0.0100015044604,0.433862386086,0.46095600016,0.33525443807,0.0100452378894,0.0540141739577,0.0100026062788,0.0100114173638,0.0100007285719,0.0100026821589,0.0468481593014,0.0555585845037,0.0633578542654,0.0100013978638,0.0100009149682,0.0100049379818,0.0100023296472,0.0100113639366,0.0100069273061,0.0100035976692,0.0100034074778,0.0100054247806,0.0100040745739,0.0100054667987,0.0100048090646,0.0100054084896,0.021821668137,0.0948783177715,0.0100452378894,0.0416281678131,0.0399796019907,0.0192403343245,0.022257491252,0.0100727972219,0.0100071551498,0.0100297318653,206.843676305,465.278662908,8.2576802761,53.1044063685,17.5573655736,154.199601913,2.69337811671,1.40513785084,4.44512876945,6.56896640839,4.75561009213,2.56230936162,2.54229922305,1.76738163915,1.8082320911,300.016023459,201.641162911,106.661707734,0,19.5379021089,1.79117632205,0.156937522009,11.4984934297,2.32055945288,14.4283181374,13.1970912985,12.2216148775,3.90461283091,4.7926359014,0.994153558418,3.79965266816,2.83782755399,0.753400171013,1.71256152942,2.58872674727,1.6247523668,2.36883313722,1.72985852572,2.08079918764,1.97398325881,0.725464549033,10.3602779009,0,2.03105986358,2.82991986786,0.809944077501,1.60969423287,0.463331636981,1.92401640445,1.17040724462
moderate__side_30_elbow_90,0,30,0,90,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,308.099883,0.0555393910505,1.61006382251e-08,1.65871228346e-13,9.26626464658e-06,16,0,0.0576951081101,0.158222758639,0.0100294553539,0.0614077249244,0.0767559437471,0.0100305898064,0.0100291630683,0.0100124761218,0.0100126548365,0.0100040357338,0.0100046785694,0.0100101420688,0.0100133988986,0.0100099894303,0.0100126069726,0.0100069072647,0.0100167146303,0.0100169354337,0.0100336207551,0.0100220849241,0.0412321887589,0.0100092248163,0.0307987397357,0.0278689441195,0.0470661620925,0.056972484565,0.0464168960429,0.0100030422023,0.0100049710982,0.0100077819244,0.0249067924373,0.0101067862235,0.0100158941791,0.0100080547603,0.0100046913711,0.0100069978916,0.0100068043022,0.0100084158841,0.0100069890271,0.0100067343848,0.0102392621849,0.0403393540423,0.0100452377092,0.0162296623421,0.0167897545687,0.0126804320834,0.0101539500284,0.0100238573923,0.0100070308167,0.0100104579925,41.1185892964,162.823013713,1.91884025522,30.207730237,82.5138591014,12.6716512429,2.61354764581,1.33755646263,4.41994935331,6.20414271976,3.62877053814,2.30247771136,1.53825317089,1.67072067352,2.00205652854,4.07484347215,7.0846108993,6.93847211617,2.63550361855,3.62516909596,21.6499614553,3.17092241459,33.7935537259,6.95676180047,14.7893302065,14.3567982606,7.77580651376,3.81676229476,3.94518400305,0.93705740414,13.4733017114,2.8648760158,0.651050557681,1.60097019086,2.58905899894,1.6250078198,2.36947950094,1.73036839703,2.08125257602,1.97424484681,0.26017065965,4.04701169102,0,0.785946818409,0.930726904589,0.533797422239,0.734348476825,0.461080487586,1.92399249952,1.16815810369
moderate__side_45_elbow_90,0,45,0,90,0,0,0,,,1,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,326.577762,0.0843322215269,1.87577407202e-08,8.8479261902e-13,1.10527816333e-05,20,0,0.0501591541905,0.216994058395,0.0100789911755,0.0788566796331,0.0956194237739,0.0100254033427,0.0100251212918,0.0100106096735,0.0100108861421,0.0100027509517,0.0100026083809,0.0100079761259,0.010009823107,0.0100075130074,0.0100076519775,0.0100075337408,0.0100192908537,0.0100195223968,0.0100355537136,0.010029560738,0.0347765394503,0.0100060775677,0.0242979908323,0.0209819873951,0.0458004868002,0.0667496239899,0.0589059542573,0.010002490895,0.0100043537334,0.0100065827338,0.0154087961598,0.010063992649,0.0100140139079,0.0100068662383,0.010003943273,0.010005912331,0.0100058521879,0.0100072496633,0.0100059452544,0.0100056781136,0.0106927215087,0.0482873968087,0.0100452377742,0.0189659454119,0.0205973839134,0.0149070773972,0.0102394760199,0.0100211091159,0.0100059786991,0.0100087851456,35.0089211798,214.690515251,1.9051505964,37.6505159871,102.802653368,12.5093056789,2.67260750432,1.35643888089,4.44170403551,6.36674832623,4.4194465048,2.40956444735,1.80256064474,1.70250665194,2.07967118897,3.77994654149,7.08643300771,6.94026403852,2.63601134342,3.62787323282,18.2605671095,3.1201539777,26.6606837058,5.23761100473,14.3916243178,16.8205914295,9.86798648518,3.81655193791,3.94494056224,0.936945120485,8.33537117214,2.85274572211,0.650928336794,1.60078006518,2.58886540275,1.62483153871,2.36925405282,1.73016676756,2.08103549229,1.97403645335,0.27169266283,4.84439238195,0,0.918455611729,1.14179985743,0.627530626352,0.740533841269,0.460954071521,1.92379021509,1.16796289288
