sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,capacity_target,capacity_muscles,capacity_scale,usable,status,reason,duration_ms,objective,max_assembly_error_deg,max_equilibrium_residual,max_reserve_torque_nm,muscles_at_floor,muscles_at_capacity,activation__DELT1,activation__DELT2,activation__DELT3,activation__SUPSP,activation__INFSP,activation__SUBSC,activation__TMIN,activation__TMAJ,activation__PECM1,activation__PECM2,activation__PECM3,activation__LAT1,activation__LAT2,activation__LAT3,activation__CORB,activation__TRIlong,activation__TRIlat,activation__TRImed,activation__ANC,activation__SUP,activation__BIClong,activation__BICshort,activation__BRA,activation__BRD,activation__ECRL,activation__ECRB,activation__ECU,activation__FCR,activation__FCU,activation__PL,activation__PT,activation__PQ,activation__FDSL,activation__FDSR,activation__FDSM,activation__FDSI,activation__FDPL,activation__FDPR,activation__FDPM,activation__FDPI,activation__EDCL,activation__EDCR,activation__EDCM,activation__EDCI,activation__EDM,activation__EIP,activation__EPL,activation__EPB,activation__FPL,activation__APL,active_force_n__DELT1,active_force_n__DELT2,active_force_n__DELT3,active_force_n__SUPSP,active_force_n__INFSP,active_force_n__SUBSC,active_force_n__TMIN,active_force_n__TMAJ,active_force_n__PECM1,active_force_n__PECM2,active_force_n__PECM3,active_force_n__LAT1,active_force_n__LAT2,active_force_n__LAT3,active_force_n__CORB,active_force_n__TRIlong,active_force_n__TRIlat,active_force_n__TRImed,active_force_n__ANC,active_force_n__SUP,active_force_n__BIClong,active_force_n__BICshort,active_force_n__BRA,active_force_n__BRD,active_force_n__ECRL,active_force_n__ECRB,active_force_n__ECU,active_force_n__FCR,active_force_n__FCU,active_force_n__PL,active_force_n__PT,active_force_n__PQ,active_force_n__FDSL,active_force_n__FDSR,active_force_n__FDSM,active_force_n__FDSI,active_force_n__FDPL,active_force_n__FDPR,active_force_n__FDPM,active_force_n__FDPI,active_force_n__EDCL,active_force_n__EDCR,active_force_n__EDCM,active_force_n__EDCI,active_force_n__EDM,active_force_n__EIP,active_force_n__EPL,active_force_n__EPB,active_force_n__FPL,active_force_n__APL
moderate__side_45@@posterior_deltoid@@0.00,0,45,0,0,0,0,0,Posterior deltoid,DELT3,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,479.24691,0.734288894156,0.000546006453053,1.90425453184e-12,1.95140522887e-05,25,0,0.2940297711,0.364901417354,0.000673897250815,0.122349801528,0.061591792472,0.123168709642,0.0100077089936,0.0100052363392,0.0366588609196,0.0100037800029,0.0100025086419,0.0100039236269,0.0100047551067,0.0100041575387,0.0100076372082,0.417837857709,0.428863758359,0.311914143375,0.0100452404896,0.0458256357023,0.0100071309529,0.010005786125,0.0100007828752,0.0100028674417,0.0408957044515,0.0484357814862,0.0563352860147,0.010001543362,0.010000997361,0.0100054591404,0.0100025585353,0.0100128222076,0.0100075257812,0.010003951204,0.0100038013206,0.0100060351319,0.0100044968628,0.0100060259199,0.0100053305657,0.0100060253467,0.0198575206769,0.0863157785679,0.0100452404896,0.0380126631987,0.0361357211223,0.0172886152576,0.0201704857045,0.0100743720591,0.010007948041,0.0100339262933,205.220068952,361.027734517,0,58.4165245077,66.2187601839,153.685092392,2.66796554166,1.35571079341,16.265074657,6.36740331709,4.4194024373,2.40858874992,1.80164800364,1.70193581005,2.07966811979,316.209338005,187.602692976,99.2359576038,0,16.5759599533,1.98036498876,0.955085526361,11.498555866,2.32060243737,12.59507829,11.5051784703,10.8669742318,3.90466963414,4.79267538552,0.994205343995,3.79973961755,2.83824091641,0.753445228928,1.71262205266,2.58882866767,1.62485148001,2.36893312969,1.72995519292,2.08090764938,1.97410495954,0.660166179518,9.42528782342,0,1.85465752125,2.55783424698,0.727784210968,1.45875894723,0.463404076829,1.92416884879,1.17089670823
moderate__elbow_90@@brachioradialis@@0.00,0,0,0,90,0,0,0,Brachioradialis,BRD,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,548.394427,0.0330188683802,0.000555447382933,1.56382525499e-13,5.45286233508e-06,7,0,0.0294319506822,0.0100042503544,0.0100241166124,0.0100107057109,0.041307752073,0.0100038718962,0.017444725439,0.0100463092166,0.0349211042884,0.104009956173,0.0291895160159,0.010022926868,0.0100262852316,0.0100433087963,0.0185226310569,0.0100274251903,0.010009825897,0.0100099875868,0.0100261563368,0.0100182540376,0.019468649913,0.0515644344398,0.0649355743389,0.000673850010487,0.0470555558091,0.0319708475835,0.025413026426,0.0100056572066,0.010009378125,0.0100129089047,0.0418496933804,0.0102291420741,0.0100238214557,0.0100136744477,0.0100076566909,0.0100110646368,0.0100106496168,0.0100128952931,0.0100110106984,0.0100106843046,0.0100893569153,0.0240415241093,0.01004523837,0.0105745118391,0.0104630290956,0.0101630686574,0.0100757327484,0.0100300106311,0.0100108346861,0.0100155572317,24.5707064968,10.9451753436,1.97765357751,4.90957526236,44.3357639059,12.992778889,4.44799503286,1.31738342719,14.8701738277,59.4182355394,3.84132532576,2.21296835872,1.34186153763,1.62551723703,3.35378916487,4.5384943692,7.07973864354,6.93365952223,2.63354296026,3.62378339511,10.2229723056,15.668139262,71.2497926538,0,14.7859974555,8.05650328358,4.25721651625,3.8177600763,3.94692179103,0.937537458061,22.6385451627,2.89955908262,0.651565844438,1.60186916196,2.58982637773,1.62566820694,2.37039002082,1.73114284804,2.08208900281,1.97502413289,0.256361698433,2.41194564107,0,0.512087297993,0.580009829461,0.427826103676,0.728691688965,0.461363526163,1.92472384686,1.16875315315
moderate__forward_60@@infraspinatus@@0.00,90,60,0,0,0,0,0,Infraspinatus,INFSP,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,509.786017,0.988786795226,0.000546006326206,2.13162820728e-12,5.14831490753e-05,24,0,0.19730656523,0.263120276048,0.0565836778513,0.0100087496425,0.0006738976952,0.0100001478341,0.619848868088,0.0100011762012,0.0100003522268,0.0100002184143,0.0100004507264,0.0100007309779,0.0100006858768,0.0100009037734,0.0100017160498,0.1906729999,0.537932176586,0.391239265813,0.0100452377971,0.0313529084739,0.0100014669482,0.0100008155865,0.0100006243598,0.0100023008901,0.0376468338957,0.0192195882744,0.0101128388033,0.0100021074554,0.0100009076823,0.0100089670212,0.0100023453093,0.0100165825995,0.0100085119531,0.0100048027695,0.0100072179511,0.0100122376965,0.0100061397227,0.0100087407486,0.0100087701838,0.0100131911998,0.0147385585974,0.0683414606304,0.0100452377971,0.0347875684924,0.0231821418903,0.0113633624294,0.019890234704,0.0162452523674,0.010026148898,0.0332349775638,224.61174551,273.061259833,11.1070167941,4.55237150367,0,13.0562392357,158.693644179,1.43623074869,4.08299580756,5.8582259572,2.89202059577,2.63524938895,2.82518892568,1.79549891674,1.79903628024,108.229750655,235.313716766,124.473365571,0,11.3409131661,2.53354541606,1.94705460351,11.4983736104,2.32047100095,11.5944896087,4.56531899442,1.95074821592,3.90488986002,4.79263240974,0.994553909095,3.79965861795,2.83930683949,0.753519475704,1.71276783606,2.58971283867,1.62585869676,2.36932213727,1.73042456328,2.08162302081,1.97551872231,0.489985536412,7.46257459993,0,1.69730348051,1.64092688905,0.47835385521,1.43849078612,0.747254134747,1.9276682197,3.8783148979
moderate__scaption_45_external_30@@brachialis@@0.00,45,45,30,90,0,0,0,Brachialis,BRA,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,492.995235,0.0757388891588,2.12014507376e-08,4.16812253622e-13,1.08169963559e-05,19,0,0.0868863192554,0.122101729422,0.0101629663902,0.0297050203994,0.177585111256,0.0100034028016,0.0286568931316,0.010011047715,0.0100095708223,0.0100033983324,0.0100053203058,0.010007221665,0.0100079697391,0.0100080960088,0.0100128764721,0.0100190976514,0.0100122952255,0.0100124832058,0.0100293294507,0.0100386833133,0.0402529596267,0.0100141685453,0.000674021263176,0.0386532002403,0.048650345255,0.0629254259756,0.0601994864249,0.0100025742625,0.0100049623795,0.0100068187415,0.0177018867038,0.0100499247613,0.010014795396,0.0100072517943,0.0100039922586,0.010005962267,0.010005999987,0.0100073956488,0.0100060333696,0.010005719635,0.0106611241836,0.0475792899795,0.0100452381788,0.0183286109463,0.0205755909534,0.0144885181673,0.0101916571749,0.0100206825562,0.010006029464,0.0100086508658,105.723767835,122.919092394,2.04701468355,14.3504149799,180.421523015,12.2100904059,7.71927307693,1.39009492607,4.20537459956,5.9307729526,2.65854554592,2.52675762886,2.26049680358,1.7230449916,1.94009930633,2.14005397922,7.08148514751,6.93538817304,2.63437643338,3.63117303306,20.5253644585,3.16797725466,0,9.64877268929,15.2871189971,15.8569115089,10.0846803344,3.81658374762,3.94518056466,0.936967218556,9.57581595554,2.84875802976,0.650979134865,1.60084174186,2.58887807946,1.62483964769,2.36928904969,1.73019200718,2.08105381846,1.97404464519,0.270889802553,4.77335216124,0,0.887591692017,1.14059178177,0.609910892533,0.73707551263,0.460934450492,1.92379997535,1.16794722326
moderate__scaption_60_elbow_90@@infraspinatus@@0.00,45,60,0,90,0,0,0,Infraspinatus,INFSP,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,363.85011,0.672142522881,1.74560402775e-08,1.26706266974e-12,5.48893137107e-05,25,0,0.114950903966,0.292671174304,0.126511245904,0.0100868477359,0.000673514668631,0.0100001238283,0.724887517486,0.0100013873863,0.0100005280609,0.0100002422126,0.0100003014555,0.0100007259928,0.0100006821341,0.0100008927796,0.0100024281236,0.0100101855443,0.0555335947418,0.054386912594,0.0115573403964,0.0100062721461,0.0687041779248,0.0100007108656,0.0100041379144,0.0100067470108,0.029472486774,0.0756227267218,0.0513487135871,0.0100022857674,0.0100029393681,0.0100059165077,0.0585357396547,0.034598118865,0.0100115999422,0.0100058075296,0.0100041333311,0.0100063077501,0.0100057659514,0.0100072653339,0.0100061724419,0.0100060663531,0.0109848528073,0.0517834029786,0.0100452381,0.0219741885566,0.0199088891294,0.0161332293542,0.0102995219036,0.010023379262,0.0100059008511,0.0100095796229,140.019525195,282.503247408,25.4806037804,4.7624938444,0,12.7366162836,190.841859789,1.43392171044,4.29056269722,6.18529063877,4.23818678284,2.6119730055,2.73859275589,1.77261678525,1.99997610833,1.84314163288,39.2777397684,37.6724077951,3.03573487365,3.6194493286,34.7323296117,3.16722696625,10.97692227,2.49792582935,9.26097050476,19.0565716021,8.60198969844,3.81647366936,3.94438284642,0.936882739811,31.6648433659,9.80720465798,0.650771424823,1.60061070548,2.58891458684,1.6248957497,2.36923363316,1.73016947687,2.08108274272,1.97411304975,0.279115462565,5.19512625404,0,1.06413449763,1.10363368789,0.679146908007,0.744876447165,0.4610584944,1.92377524773,1.16805560344
moderate__scaption_30_external_30@@brachialis@@0.00,45,30,30,90,0,0,0,Brachialis,BRA,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,399.7593,0.0519450402147,3.22939152579e-08,1.63424829225e-13,9.02403709164e-06,16,0,0.0887413222008,0.0832406950092,0.0100521780052,0.0174857599755,0.131167511489,0.0100044742998,0.0199662270611,0.0100134084791,0.0100152124731,0.0100060150148,0.0100125890099,0.0100092329517,0.0100114800744,0.0100106559443,0.0100211481345,0.0100152364995,0.0100097608007,0.0100099217196,0.0100260625506,0.0100319579206,0.0479409838597,0.0102064187259,0.000674046944661,0.0530367800751,0.0512188688638,0.0521314525098,0.048935903926,0.0100031839256,0.0100061591659,0.0100081812765,0.0266445368395,0.0100587368707,0.0100172565673,0.0100087535598,0.0100047338208,0.0100070159139,0.0100070199034,0.0100086113064,0.0100070837479,0.0100067388507,0.0102381124254,0.0397092067735,0.0100452377258,0.0154514706405,0.0169643086302,0.0122292147885,0.0101270165029,0.0100229369371,0.0100070651589,0.0100100906635,102.421754995,86.3304012084,2.02452385626,8.69852620541,126.877340682,12.3245503149,5.37629815809,1.35876216321,4.20849280765,5.81637984414,1.96351668279,2.4111099164,1.83146522101,1.68731700244,1.89577088305,2.76427045957,7.07969260257,6.93361389799,2.6335183259,3.62874033705,24.6909207395,3.17792844305,0,13.2392617398,16.0942114405,13.1368809421,8.19779332591,3.81681637064,3.94565248202,0.937094796594,14.4133326154,2.85125591586,0.65113911512,1.60108197648,2.58906998427,1.6250107464,2.36953055248,1.73040218385,2.08127227604,1.9742457279,0.260141445308,3.98379269769,0,0.748261666421,0.940403172492,0.514802909469,0.732400604887,0.461038148205,1.92399910221,1.16811523869
moderate__elbow_45@@latissimus_dorsi@@0.00,0,0,0,45,0,0,0,Latissimus dorsi,LAT1;LAT2;LAT3,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,462.180531,0.0349852094643,0.000546000135722,2.06194707392e-13,6.69836782107e-06,0,0,0.0282190653953,0.0100186311348,0.0101024904985,0.0100463931337,0.0385802645236,0.0100170852359,0.0166778266067,0.0101915236517,0.0334720957853,0.0992094083119,0.0278595882573,0.00137804177039,0.00137804177039,0.00137804177039,0.0178310456738,0.0100386962447,0.0100258475515,0.0100264581666,0.0101838730366,0.0101021223158,0.024043717493,0.0599212219809,0.0643943579735,0.0532218033316,0.0384811513127,0.0366763365827,0.0335832002985,0.0100204071209,0.0100390016763,0.0100473954867,0.036682904242,0.0103384919908,0.0100915572582,0.010053946129,0.0100288847287,0.0100416675565,0.0100420337904,0.0100504892114,0.0100422186355,0.0100400709538,0.0103886364921,0.0259161101313,0.0101866327417,0.0111031983327,0.0122093481221,0.0106831742956,0.0102992917435,0.0101126235542,0.0100410557912,0.0100560123105,23.558153602,10.9609088288,1.993115946,4.92707727082,41.4083413201,13.0099401475,4.25245382855,1.3364255487,14.2531539545,56.6758014957,3.66630602669,0,0,0,3.22856747701,6.39964404551,6.62491745567,6.44828108639,0.0302036686308,3.65412006585,7.88222105292,18.0146959132,75.7952689718,14.6743111667,12.9791405995,9.24061256204,6.28459252184,4.08626677442,4.60163053847,1.01455383386,19.7542563433,2.93055547916,0.743983179746,1.70303544745,2.59531986475,1.63063772771,2.37782137989,1.73764251081,2.08857962645,1.98082187255,0.282468192438,2.76327816515,0,0.541185877889,0.749293879167,0.449720550734,0.74485980157,0.46516358091,1.93053427961,1.1734740089
moderate__forward_75@@middle_deltoid@@0.00,90,75,0,0,0,0,0,Middle deltoid,DELT2,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,507.737722,0.777052945524,0.000546005641673,1.58125735854e-12,2.18409750434e-05,21,0,0.370373416453,0.000673972526196,0.0100179336277,0.17899019043,0.382153192732,0.152877548631,0.0109498432093,0.0100035187251,0.010001453164,0.0100005869654,0.0100007604572,0.0100027195253,0.0100024420399,0.0100028102453,0.0100027748241,0.270208630636,0.480049123079,0.349140940637,0.0100452380174,0.0307528609233,0.0100124266951,0.0100018899007,0.010000699655,0.0100025654447,0.0408335297917,0.020696343758,0.0100478797399,0.0100023765931,0.0100009900443,0.0100098118886,0.0100025711555,0.0100167867638,0.0100091955927,0.0100052307091,0.0100078834156,0.010013302827,0.0100066059827,0.0100093900972,0.0100094731901,0.0100143967385,0.012859790335,0.0601821257862,0.0100452380174,0.0312883208982,0.0198416192095,0.0106943418667,0.0185633569196,0.0155477509088,0.0100294090553,0.032193361574,397.5847529,0,1.86291154283,80.8663612997,410.634433444,199.456624029,2.80927863863,1.43907563706,4.12755853971,6.08612580582,4.14788248404,2.67480833564,2.90571778297,1.83577254403,1.88539959146,134.718175541,209.993282234,111.079719589,0,11.1238651314,2.71863701954,1.58990264474,11.4984601822,2.32053237596,12.5759297083,4.91609965403,1.9382177307,3.90499493304,4.79267187919,0.994637860431,3.79974441163,2.83936471203,0.75357094547,1.71284109698,2.58988505057,1.62603166026,2.36943254151,1.73053683004,2.081769232,1.975756565,0.427525610743,6.5716125924,0,1.5265733784,1.40447102078,0.450190662535,1.34252904925,0.715170247276,1.92829503077,3.75676479896
moderate__rotation_side_external_40@@pectoralis_major@@0.00,0,15,40,90,0,0,0,Pectoralis major,PECM1;PECM2;PECM3,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,431.07927,0.0226651661664,1.97683540648e-08,3.19744231092e-13,6.97120173874e-06,0,0,0.0625259814744,0.0167044582367,0.0100876506573,0.0119429213948,0.0579593823695,0.0100363042877,0.0102213473386,0.0100765355838,0.00131990375336,0.00131990375336,0.00131990375336,0.0100615838316,0.0100859738801,0.0100840427506,0.0105318131208,0.0100623682547,0.0100515270619,0.0100522848995,0.0101167065719,0.0100971207957,0.0279787587924,0.028201357363,0.0427273816862,0.0363702103741,0.0457010775761,0.0440849754146,0.0326120906932,0.0100159503833,0.0100245193297,0.0100386640982,0.0248585726326,0.0102938801279,0.0100741906484,0.0100397901163,0.0100231959789,0.0100341207007,0.0100327014824,0.0100401677166,0.0100338577985,0.010032951989,0.0104111824819,0.0301134916384,0.0101714655818,0.0128988611521,0.0128084263024,0.011093914646,0.0103770199856,0.0101063041376,0.0100345048684,0.0100512973897,49.4025942213,17.8525392482,1.99476455563,5.95985750558,48.0394317281,12.2648872873,2.74807927364,1.29812212451,0,0,0,1.99922536655,1.09569037708,1.59281044386,2.0090718103,3.74073880679,7.10923299761,6.96295777691,2.65732754193,3.6523109257,14.6513227166,8.79835246715,46.8821153391,9.07888325883,14.3603875271,11.1092065439,5.46321121943,3.82168754225,3.95289230846,0.939948990892,13.4472172617,2.91790977229,0.654839929691,1.60604683765,2.59384770451,1.62941221534,2.37561161224,1.73585801378,2.08684074041,1.97941736044,0.264539003407,3.02111066502,0,0.624647553962,0.710025087988,0.467011139814,0.750481221519,0.464872898436,1.92927477261,1.17292380701
moderate__side_60@@infraspinatus@@0.00,0,60,0,0,0,0,0,Infraspinatus,INFSP,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,575.123432,0.867090186544,0.000546009783737,2.09104116627e-12,2.00053283352e-05,25,0,0.289125059696,0.494861454305,0.0100100505563,0.159494656158,0.000673969280971,0.0942836300706,0.0100071039081,0.010004290946,0.0212771695056,0.0100015933524,0.0100012411603,0.0100030392032,0.0100032459803,0.010002973185,0.0100035223456,0.426019290409,0.439648401465,0.319757408839,0.0100452375908,0.0509407753299,0.0100054941346,0.01000716451,0.0100007637576,0.0100028041284,0.0444872247652,0.0532106287658,0.0611268198073,0.0100014580348,0.0100009585087,0.0100051274959,0.0100024446574,0.010011870659,0.0100071950099,0.010003748553,0.0100035427958,0.0100056268593,0.0100042406923,0.0100056790299,0.010004996427,0.0100056079244,0.0209305385158,0.0909033421558,0.0100452375908,0.039829775406,0.0383521521037,0.0184483037384,0.0212368190501,0.0100694148518,0.0100073837199,0.0100294069837,209.818922779,426.949212453,1.87944264539,74.286336099,0,116.431516057,2.69441868705,1.37885209403,9.44423321909,6.50596532422,4.61078502915,2.5020643344,2.15249519009,1.73388329898,2.07120187321,311.409128036,192.320340609,101.731304411,0,18.4261983258,1.9060159338,0.530197237327,11.4985338853,2.32058774911,13.7011964046,12.639370351,11.7912523874,3.90463632176,4.79265676669,0.994172389716,3.79969635804,2.83797118985,0.753420325867,1.71258735992,2.58876176545,1.62478518179,2.36887247188,1.72989521865,2.08083815526,1.97402260563,0.695838814543,9.92622876308,0,1.94331536679,2.71472230391,0.776602635875,1.53587773007,0.463176053676,1.92406035008,1.17036933296
