sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
moderate__neutral,0,0,0,0,0,0,0
moderate__elbow_45,0,0,0,45,0,0,0
moderate__elbow_90,0,0,0,90,0,0,0
moderate__side_15,0,15,0,0,0,0,0
moderate__side_30,0,30,0,0,0,0,0
moderate__side_45,0,45,0,0,0,0,0
moderate__side_60,0,60,0,0,0,0,0
moderate__side_75,0,75,0,0,0,0,0
moderate__side_30_elbow_90,0,30,0,90,0,0,0
moderate__side_45_elbow_90,0,45,0,90,0,0,0
moderate__side_60_elbow_90,0,60,0,90,0,0,0
moderate__scaption_15,45,15,0,0,0,0,0
moderate__scaption_30,45,30,0,0,0,0,0
moderate__scaption_45,45,45,0,0,0,0,0
moderate__scaption_60,45,60,0,0,0,0,0
moderate__scaption_75,45,75,0,0,0,0,0
moderate__scaption_30_elbow_90,45,30,0,90,0,0,0
moderate__scaption_45_elbow_90,45,45,0,90,0,0,0
moderate__scaption_60_elbow_90,45,60,0,90,0,0,0
moderate__forward_15,90,15,0,0,0,0,0
moderate__forward_30,90,30,0,0,0,0,0
moderate__forward_45,90,45,0,0,0,0,0
moderate__forward_60,90,60,0,0,0,0,0
moderate__forward_75,90,75,0,0,0,0,0
moderate__forward_30_elbow_90,90,30,0,90,0,0,0
moderate__forward_45_elbow_90,90,45,0,90,0,0,0
moderate__forward_60_elbow_90,90,60,0,90,0,0,0
moderate__rotation_side_internal_40,0,15,-40,90,0,0,0
moderate__rotation_side_internal_20,0,15,-20,90,0,0,0
moderate__rotation_side_external_20,0,15,20,90,0,0,0
moderate__rotation_side_external_40,0,15,40,90,0,0,0
moderate__scaption_30_internal_30,45,30,-30,90,0,0,0
moderate__scaption_30_external_30,45,30,30,90,0,0,0
moderate__scaption_45_internal_30,45,45,-30,90,0,0,0
moderate__scaption_45_external_30,45,45,30,90,0,0,0
moderate__scaption_60_internal_30,45,60,-30,90,0,0,0
moderate__scaption_60_external_30,45,60,30,90,0,0,0
moderate__forearm_pronation_45,0,0,0,90,-45,0,0
moderate__forearm_supination_45,0,0,0,90,45,0,0
