sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,capacity_target,capacity_muscles,capacity_scale
refine__sobol__0002303__shoulder_rot__p2@@latissimus_dorsi@@0.00,-51.09872368,96.64018644,-29.57957448,101.96551893,-71.62197731,15.62364215,40.07430087,Latissimus dorsi,LAT1;LAT2;LAT3,0.000000
refine__sobol__0000603__deviation__m2@@brachialis@@0.00,9.85342476,113.42973722,-41.13767995,109.29706190,6.85458519,21.76695270,39.40047274,Brachialis,BRA,0.000000
refine__sobol__0002761__shoulder_elv__m5@@pectoralis_major@@0.00,69.66299507,109.79448331,76.37940990,89.90497205,32.59677269,20.57969684,-39.26163663,Pectoralis major,PECM1;PECM2;PECM3,0.000000
refine__sobol__0000673__flexion__p5@@pectoralis_major@@0.00,31.65029976,97.68754972,55.54200755,18.39862440,74.97958519,13.78648395,45.80672274,Pectoralis major,PECM1;PECM2;PECM3,0.000000
refine__sobol__0000673__pro_sup__m5@@triceps@@0.00,31.65029976,97.68754972,55.54200755,18.39862440,69.97958519,13.78648395,40.80672274,Triceps,TRIlong;TRIlat;TRImed,0.000000
refine__sobol__0003073__elbow_flexion__m5@@teres_minor@@0.00,39.69229194,81.85014738,-55.82273854,80.01727674,19.23739769,-6.67860394,5.44539462,Teres minor,TMIN,0.000000
refine__sobol__0002761__flexion__m5@@latissimus_dorsi@@0.00,69.66299507,114.79448331,76.37940990,89.90497205,32.59677269,20.57969684,-44.26163663,Latissimus dorsi,LAT1;LAT2;LAT3,0.000000
refine__sobol__0000673__pro_sup__p5@@posterior_deltoid@@0.00,31.65029976,97.68754972,55.54200755,18.39862440,79.97958519,13.78648395,40.80672274,Posterior deltoid,DELT3,0.000000
refine__sobol__0000447__flexion__m5@@pectoralis_major@@0.00,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,32.40828524,Pectoralis major,PECM1;PECM2;PECM3,0.000000
refine__sobol__0001369__elbow_flexion__m2@@middle_deltoid@@0.00,54.23819038,98.00493253,-15.86912526,45.66131971,-5.87978981,3.89146441,-10.69718351,Middle deltoid,DELT2,0.000000
refine__sobol__0000625__shoulder_elv__m2@@brachialis@@0.00,52.04092476,68.77348722,-38.79392995,54.45331190,79.35458519,9.00132770,-41.22452726,Brachialis,BRA,0.000000
refine__sobol__0001369__shoulder_elv__p2@@supraspinatus@@0.00,54.23819038,100.00493253,-15.86912526,47.66131971,-5.87978981,3.89146441,-10.69718351,Supraspinatus,SUPSP,0.000000
refine__sobol__0001369__shoulder_rot__p5@@biceps@@0.00,54.23819038,98.00493253,-10.86912526,47.66131971,-5.87978981,3.89146441,-10.69718351,Biceps,BIClong;BICshort,0.000000
refine__sobol__0001711__flexion__m2@@posterior_deltoid@@0.00,-47.18759087,105.74907316,38.18360911,69.37030409,-34.16103981,17.05064410,25.62312899,Posterior deltoid,DELT3,0.000000
refine__sobol__0000603__elbow_flexion__m5@@infraspinatus@@0.00,9.85342476,113.42973722,-41.13767995,104.29706190,6.85458519,23.76695270,39.40047274,Infraspinatus,INFSP,0.000000
refine__sobol__0001711__flexion__p5@@pectoralis_major@@0.00,-47.18759087,105.74907316,38.18360911,69.37030409,-34.16103981,17.05064410,32.62312899,Pectoralis major,PECM1;PECM2;PECM3,0.000000
refine__sobol__0002761__shoulder_rot__p2@@triceps@@0.00,69.66299507,114.79448331,78.37940990,89.90497205,32.59677269,20.57969684,-39.26163663,Triceps,TRIlong;TRIlat;TRImed,0.000000
refine__sobol__0001711__shoulder_rot__m2@@teres_major@@0.00,-47.18759087,105.74907316,36.18360911,69.37030409,-34.16103981,17.05064410,27.62312899,Teres major,TMAJ,0.000000
refine__sobol__0000463__shoulder_elv__p2@@brachioradialis@@0.00,-42.35360649,90.16606534,77.66114818,12.43182752,74.51083519,-8.80628949,-44.15421476,Brachioradialis,BRD,0.000000
refine__sobol__0000673__elv_angle__m2@@anterior_deltoid@@0.00,29.65029976,97.68754972,55.54200755,18.39862440,74.97958519,13.78648395,40.80672274,Anterior deltoid,DELT1,0.000000
refine__sobol__0001387__deviation__p2@@latissimus_dorsi@@0.00,23.30069038,95.97368253,56.78712474,29.38006971,56.62021019,16.28208941,-8.82218351,Latissimus dorsi,LAT1;LAT2;LAT3,0.000000
refine__sobol__0000625__elbow_flexion__m5@@subscapularis@@0.00,52.04092476,70.77348722,-38.79392995,49.45331190,79.35458519,9.00132770,-41.22452726,Subscapularis,SUBSC,0.000000
refine__sobol__0002303__pro_sup__p5@@pectoralis_major@@0.00,-51.09872368,96.64018644,-31.57957448,101.96551893,-66.62197731,15.62364215,40.07430087,Pectoralis major,PECM1;PECM2;PECM3,0.000000
refine__sobol__0002303__shoulder_elv__m5@@supraspinatus@@0.00,-51.09872368,91.64018644,-31.57957448,101.96551893,-71.62197731,15.62364215,40.07430087,Supraspinatus,SUPSP,0.000000
refine__sobol__0000447__deviation__m5@@biceps@@0.00,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,0.13902301,37.40828524,Biceps,BIClong;BICshort,0.000000
refine__sobol__0004077__shoulder_elv__m2@@posterior_deltoid@@0.00,90.14151069,108.66850675,-38.97703542,118.91376112,35.64364769,18.44346637,45.17195712,Posterior deltoid,DELT3,0.000000
refine__sobol__0000625__elv_angle__p2@@brachialis@@0.00,54.04092476,70.77348722,-38.79392995,54.45331190,79.35458519,9.00132770,-41.22452726,Brachialis,BRA,0.000000
refine__sobol__0001369__deviation__m2@@teres_minor@@0.00,54.23819038,98.00493253,-15.86912526,47.66131971,-5.87978981,1.89146441,-10.69718351,Teres minor,TMIN,0.000000
refine__sobol__0001369__deviation__m5@@biceps@@0.00,54.23819038,98.00493253,-15.86912526,47.66131971,-5.87978981,-1.10853559,-10.69718351,Biceps,BIClong;BICshort,0.000000
refine__sobol__0001711__elbow_flexion__p5@@teres_major@@0.00,-47.18759087,105.74907316,38.18360911,74.37030409,-34.16103981,17.05064410,27.62312899,Teres major,TMAJ,0.000000
refine__sobol__0000603__elbow_flexion__p5@@supraspinatus@@0.00,9.85342476,113.42973722,-41.13767995,114.29706190,6.85458519,23.76695270,39.40047274,Supraspinatus,SUPSP,0.000000
refine__sobol__0000673__pro_sup__m2@@pectoralis_major@@0.00,31.65029976,97.68754972,55.54200755,18.39862440,72.97958519,13.78648395,40.80672274,Pectoralis major,PECM1;PECM2;PECM3,0.000000
