sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
refine__sobol__0000447__elv_angle__m2,-54.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__shoulder_rot__p5,-52.19735649,125.74419034,88.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000463__elv_angle__p2,-40.35360649,88.16606534,77.66114818,12.43182752,74.51083519,-8.80628949,-44.15421476
refine__sobol__0000603__deviation__m5,9.85342476,113.42973722,-41.13767995,109.2970619,6.85458519,18.7669527,39.40047274
refine__sobol__0000603__shoulder_rot__p2,9.85342476,113.42973722,-39.13767995,109.2970619,6.85458519,23.7669527,39.40047274
refine__sobol__0000625__shoulder_elv__p2,52.04092476,72.77348722,-38.79392995,54.4533119,79.35458519,9.0013277,-41.22452726
refine__sobol__0000673__elv_angle__m5,26.65029976,97.68754972,55.54200755,18.3986244,74.97958519,13.78648395,40.80672274
refine__sobol__0000673__flexion__p2,31.65029976,97.68754972,55.54200755,18.3986244,74.97958519,13.78648395,42.80672274
refine__sobol__0000673__pro_sup__p5,31.65029976,97.68754972,55.54200755,18.3986244,79.97958519,13.78648395,40.80672274
refine__sobol__0001262__elbow_flexion__p5,44.74600288,60.17290128,-58.93553151,22.95428846,-63.69228981,12.84654254,-53.58780851
refine__sobol__0001262__elv_angle__m2,42.74600288,60.17290128,-58.93553151,17.95428846,-63.69228981,12.84654254,-53.58780851
refine__sobol__0001262__shoulder_elv__p2,44.74600288,62.17290128,-58.93553151,17.95428846,-63.69228981,12.84654254,-53.58780851
refine__sobol__0001262__shoulder_rot__p2,44.74600288,60.17290128,-56.93553151,17.95428846,-63.69228981,12.84654254,-53.58780851
refine__sobol__0001711__deviation__m2,-47.18759087,105.74907316,38.18360911,69.37030409,-34.16103981,15.0506441,27.62312899
refine__sobol__0002761__shoulder_elv__m2,69.66299507,112.79448331,76.3794099,89.90497205,32.59677269,20.57969684,-39.26163663
refine__sobol__0002761__shoulder_rot__m2,69.66299507,114.79448331,74.3794099,89.90497205,32.59677269,20.57969684,-39.26163663
refine__sobol__0004077__elv_angle__p2,92.14151069,110.66850675,-38.97703542,118.91376112,35.64364769,18.44346637,45.17195712
refine__sobol__0004077__shoulder_elv__p2,90.14151069,112.66850675,-38.97703542,118.91376112,35.64364769,18.44346637,45.17195712
