sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,capacity_target,capacity_muscles,capacity_scale,usable,status,reason,duration_ms,objective,max_assembly_error_deg,max_equilibrium_residual,max_reserve_torque_nm,muscles_at_floor,muscles_at_capacity,activation__DELT1,activation__DELT2,activation__DELT3,activation__SUPSP,activation__INFSP,activation__SUBSC,activation__TMIN,activation__TMAJ,activation__PECM1,activation__PECM2,activation__PECM3,activation__LAT1,activation__LAT2,activation__LAT3,activation__CORB,activation__TRIlong,activation__TRIlat,activation__TRImed,activation__ANC,activation__SUP,activation__BIClong,activation__BICshort,activation__BRA,activation__BRD,activation__ECRL,activation__ECRB,activation__ECU,activation__FCR,activation__FCU,activation__PL,activation__PT,activation__PQ,activation__FDSL,activation__FDSR,activation__FDSM,activation__FDSI,activation__FDPL,activation__FDPR,activation__FDPM,activation__FDPI,activation__EDCL,activation__EDCR,activation__EDCM,activation__EDCI,activation__EDM,activation__EIP,activation__EPL,activation__EPB,activation__FPL,activation__APL,active_force_n__DELT1,active_force_n__DELT2,active_force_n__DELT3,active_force_n__SUPSP,active_force_n__INFSP,active_force_n__SUBSC,active_force_n__TMIN,active_force_n__TMAJ,active_force_n__PECM1,active_force_n__PECM2,active_force_n__PECM3,active_force_n__LAT1,active_force_n__LAT2,active_force_n__LAT3,active_force_n__CORB,active_force_n__TRIlong,active_force_n__TRIlat,active_force_n__TRImed,active_force_n__ANC,active_force_n__SUP,active_force_n__BIClong,active_force_n__BICshort,active_force_n__BRA,active_force_n__BRD,active_force_n__ECRL,active_force_n__ECRB,active_force_n__ECU,active_force_n__FCR,active_force_n__FCU,active_force_n__PL,active_force_n__PT,active_force_n__PQ,active_force_n__FDSL,active_force_n__FDSR,active_force_n__FDSM,active_force_n__FDSI,active_force_n__FDPL,active_force_n__FDPR,active_force_n__FDPM,active_force_n__FDPI,active_force_n__EDCL,active_force_n__EDCR,active_force_n__EDCM,active_force_n__EDCI,active_force_n__EDM,active_force_n__EIP,active_force_n__EPL,active_force_n__EPB,active_force_n__FPL,active_force_n__APL
refine__sobol__0002761__shoulder_rot__p2@@infraspinatus@@0.00,69.66299507,114.79448331,78.3794099,89.90497205,32.59677269,20.57969684,-39.26163663,Infraspinatus,INFSP,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,294.214717,1.09635445061,5.90307323023e-08,7.17648163118e-13,6.36565633804e-05,17,0,0.127158641604,0.440405179991,0.232311378694,0.010004046904,0.000674750919894,0.0100004593436,0.863730200521,0.0100013511844,0.010000415426,0.0100001411728,0.0100001887146,0.0100007893981,0.0100006246506,0.0100007157066,0.0100009181667,0.0100452376359,0.170910723548,0.167380372449,0.0346779771785,0.0100452376359,0.0870987636118,0.0100005271525,0.0100014263445,0.0100015023816,0.0100452376359,0.0483533623025,0.0222439359074,0.0100024610969,0.0100028760826,0.0100067191977,0.0754043198348,0.0687867503621,0.0100115428129,0.0100064568802,0.0100106951365,0.0100165610765,0.0100151793204,0.010017626116,0.0100157761692,0.0100166147904,0.0134345152091,0.0402332473858,0.0366141806188,0.0164305615733,0.0169878158543,0.0120305308142,0.0100880447567,0.0100372654562,0.0100138133924,0.0100209224164,97.4049969921,198.197427647,43.892782799,1.89188183546,0,11.4090241546,232.233689308,1.42473875259,3.99130490068,6.35470356374,4.63812486342,2.71642573984,3.0153040699,1.87939373688,2.07996725198,0,120.866272177,115.924490564,9.10569305869,0,43.8927064153,2.5999010573,10.9763701546,2.49858675452,0,12.1744150661,4.2240205633,4.07998129255,4.30182425129,1.00757079388,38.8484687085,18.1691209846,0.712099813388,1.67304068319,2.49601995236,1.45405930128,2.35340809162,1.72446831675,2.12667682347,1.87775103703,0.52822157376,4.22327752446,3.42655857923,0.783707143962,1.22991007643,0.567070965119,0.768135461767,0.394711852832,0.993176162352,0.939329808013
refine__sobol__0001387__deviation__p5@@coracobrachialis@@0.00,23.30069038,95.97368253,56.78712474,29.38006971,56.62021019,19.28208941,-8.82218351,Coracobrachialis,CORB,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,321.115717,1.10304511564,3.7132217301e-08,1.3031756401e-12,5.85406846328e-05,20,1,0.0497802788919,0.99999930388,0.252002171474,0.0100006339454,0.130946007902,0.0100002863256,0.0100037975362,0.0100010066902,0.0100011204008,0.0100001573044,0.0100001517961,0.010000710943,0.0100005126801,0.0100005140247,0.000673967447833,0.0100020967326,0.0714056977279,0.0653649627312,0.0100452378433,0.0100452378433,0.010000738989,0.0100073950231,0.0100058743001,0.0100084324326,0.0100254925481,0.0320345965938,0.0481861568931,0.010003386027,0.0100053943559,0.010009019551,0.0185803239699,0.0141610191607,0.0100165077465,0.010008984587,0.0100076477984,0.0100110388102,0.0100112019778,0.0100133771709,0.0100111682347,0.0100108565466,0.0109661661634,0.0387613017714,0.0312517166236,0.0146569853249,0.0196017051059,0.0115748743822,0.0100763879072,0.0100298726028,0.0100115083085,0.0100157163063,60.6273896824,407.898834047,50.7468519599,4.6614489798,128.932602464,11.5395658971,2.43020674414,1.43800565297,4.30946311783,6.45275612337,4.66004132342,2.62680549971,2.85515954399,1.81521237952,0,3.30846861558,45.5099621864,38.1347936033,0,0,1.90866261975,0.0977510764248,11.780430448,2.57038222367,2.99290958262,7.53044916052,9.23010130002,3.83442397643,4.5555217651,0.936353064837,10.3518664765,3.42906347161,0.754174911858,1.71340517813,2.58987104439,1.62280359539,2.37052070956,1.73121403217,2.08162174933,1.97489382363,0.386042245527,4.23202810636,2.94776656844,0.715256087154,1.41659512197,0.522373871743,0.604678351978,0.408577072852,1.49080723003,1.04627462832
refine__sobol__0002761__flexion__m5@@biceps@@0.00,69.66299507,114.79448331,76.3794099,89.90497205,32.59677269,20.57969684,-44.26163663,Biceps,BIClong;BICshort,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,285.938554,1.26148986015,6.87916603681e-08,3.78437422507e-13,8.15263859369e-05,22,0,0.157034733058,0.355018065117,0.24768950274,0.0100020248572,0.0100003110081,0.0100003220246,0.989647931717,0.0100012444523,0.0100003423823,0.0100001240249,0.010000168775,0.0100007221504,0.0100005703422,0.0100006577144,0.0100009428866,0.0100452376757,0.134393650822,0.131617627065,0.0272799337756,0.0100452376757,0.000674002434097,0.000674002434097,0.0100018010879,0.0810555678407,0.0100452376757,0.122568065672,0.0686187702134,0.0491210214907,0.0100085535953,0.0213936757971,0.0100004168633,0.0100010869892,0.0151116960928,0.0157534367925,0.0100049221483,0.0100066219297,0.0100069230946,0.0100087160075,0.0100057418725,0.0100055967743,0.0100154942058,0.0100085641563,0.0100102515298,0.0100158129519,0.0114298192652,0.0100707440951,0.0297925005619,0.010058006144,0.0100390295685,0.0100716995596,120.407758173,158.943654283,46.8814186517,1.9895126077,9.98332865637,11.4352803696,263.877170944,1.42349435146,3.99959802391,6.36614705797,4.64654711457,2.71736601351,3.01655845088,1.8794813707,2.07999579139,0,95.041781121,91.1558872953,7.16312552865,0,0,0,10.9767814285,20.2493945884,0,30.6090484878,12.9801244769,20.0336398113,4.35935100089,2.12290545076,5.15223640296,2.64165640218,1.08408465113,2.6493235859,2.43984724166,1.41603571941,2.33649383709,1.71589353301,2.12498069931,1.83889465897,0.394528136864,1.03795814118,0.927323186656,0.473078720039,0.827472396758,0.470548484275,2.33653755858,0.394278665613,0.914896818163,0.92946930764
refine__sobol__0000447__elbow_flexion__m5@@coracobrachialis@@0.00,-52.19735649,125.74419034,83.52052318,114.07245252,-41.73916481,5.13902301,37.40828524,Coracobrachialis,CORB,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,306.704441,0.597218385575,1.59233337627e-08,9.34401995973e-13,0.00033138601691,22,0,0.307093926665,0.0100002301654,0.0100001801867,0.0100001320339,0.0100000183127,0.0100001009259,0.0100001867233,0.0100009620116,0.0100000421541,0.0100000998403,0.0100003021179,0.0100006989378,0.136389116628,0.490286894455,0.000673965326933,0.0100019495238,0.240480443045,0.239605721691,0.0583858626378,0.0100024458017,0.27333410666,0.0100010439354,0.0100010837215,0.0100092258103,0.0100021939639,0.0100066492681,0.109846724925,0.010008497184,0.0100452377758,0.0100335251972,0.164074932792,0.0777450179912,0.0100452377758,0.010117687643,0.0100193921252,0.0100162203577,0.0237210004764,0.0109735471787,0.0100625285385,0.0100109838329,0.0102145927,0.0222100813281,0.0135150628566,0.0100420283277,0.0171429888421,0.0100301404093,0.0100116794895,0.0100077646025,0.0100032326597,0.0100031013357,230.787993933,1.95151237618,1.68721210462,3.53259497742,10.7204315337,12.3693931066,2.32781948565,1.4383946552,4.11626915053,3.34147376622,3.17206431708,2.64913758673,40.8859647829,92.1859086996,0,0.191623762936,172.516276141,171.263528437,16.5286882409,3.63389187203,125.596767765,2.21701654965,9.79007989949,1.45621860712,3.09524270547,1.89606147622,16.5122649407,2.53274043036,0,0.175877523018,89.4216544647,21.1321838638,0,1.01308101714,2.49828519978,1.61356214331,5.48647491391,1.84679465026,2.00286000752,1.93756543326,0.196309161392,1.56823375438,0.838282212384,0.374182553795,0.756367471984,0.269632535581,0.578219927875,0.460315887095,1.98847976044,1.15664785188
refine__sobol__0004077__pro_sup__m5@@subscapularis@@0.00,90.14151069,110.66850675,-38.97703542,118.91376112,30.64364769,18.44346637,45.17195712,Subscapularis,SUBSC,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,320.355973,0.834381537454,3.52180755669e-08,1.6120020035e-12,0.000224427037333,22,0,0.26634267042,0.399602224876,0.0100015753905,0.0100005087673,0.0867745758714,0.000674035559295,0.754471248781,0.0100004045745,0.0100000985921,0.0100000364953,0.0100000490065,0.0100001266439,0.010000110338,0.0100001770679,0.0100002118872,0.0100452377066,0.07151319593,0.0714509778114,0.0181459342316,0.0100452377066,0.0100001211822,0.0100001559519,0.0100037913954,0.0100147460015,0.0100016605394,0.0100066803299,0.0785633183373,0.0100063121917,0.0100452377066,0.0100452377066,0.0532012078285,0.0451672728333,0.0100452377066,0.0100342733134,0.0100070605063,0.0100084335097,0.0123666338958,0.0100467879807,0.0100214168177,0.0100074858144,0.0125519139192,0.0270328227846,0.0198808422893,0.0100539294573,0.0203758088004,0.010028096998,0.0100118422483,0.0100058124205,0.0100018533104,0.0100021099057,211.96382013,386.606654599,1.71244515776,3.78570477735,90.1469350619,0,184.543752278,1.24907666629,4.41969976943,6.553031362,4.95179997431,2.757926569,2.99926583096,1.88069564667,2.0745233069,0,51.3025597591,51.213300204,5.13891846823,0,4.90729661033,3.1675825166,8.93921590169,0.354168412038,3.04243852231,1.3865720884,12.7549319902,1.47807737102,0,0,20.6398445904,11.9843592216,0,0.510736284698,2.42690476574,1.57532897546,2.78959259741,1.65133121514,1.9433246938,1.89770290048,0.267283350234,1.9603447849,1.21630355198,0.352106019903,0.900878373204,0.218073571336,0.391264881347,0.422878183054,2.00999180788,1.16707781564
refine__sobol__0001387__elv_angle__p5@@brachialis@@0.00,28.30069038,95.97368253,56.78712474,29.38006971,56.62021019,14.28208941,-8.82218351,Brachialis,BRA,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,305.520503,0.936500235777,2.64022546048e-08,6.10963182567e-13,3.1574907538e-05,22,0,0.0363141220043,0.934493466497,0.127533467843,0.0100015643798,0.16560761771,0.010000609161,0.0100030266687,0.0100018786821,0.010002251748,0.0100003056324,0.0100002972538,0.0100013179489,0.0100009725834,0.0100009744185,0.0100007273967,0.0100036575963,0.0593379153022,0.054318642838,0.010045237789,0.010045237789,0.0100011865371,0.010006478806,0.000674106095578,0.0100095883681,0.0100306626058,0.03568208675,0.0532945309384,0.0100031038295,0.0100053299974,0.0100083221781,0.0197469948651,0.0131743270619,0.0100160991611,0.0100086733597,0.0100069435988,0.0100100675855,0.0100102310915,0.0100122721492,0.0100101544257,0.0100098379728,0.0111953917034,0.0412050987947,0.0332295745688,0.0154522966516,0.0210044283674,0.0120683747712,0.0100789324799,0.0100266584799,0.0100096423275,0.0100129732293,44.2303139867,395.925722069,25.6873300797,4.55742892306,168.781932369,11.5026465774,2.57056612446,1.4385795277,4.2673958007,6.39946892786,4.62417228127,2.63606047266,2.86805033556,1.81937860731,1.99745889289,3.17306056949,37.8186386721,31.6902228123,0,0,2.13715201951,0.207763912857,0,2.57067909275,3.08676392517,8.49760974105,10.2768338253,3.91091338358,4.61297879344,0.957955593173,11.001867055,3.19013788306,0.754187282328,1.71339951376,2.58968750627,1.62380826,2.37029345005,1.73103053267,2.08151642495,1.97479110178,0.37779977301,4.4995551956,3.12996756677,0.754065822131,1.50749710793,0.540008625484,0.631993677456,0.434684619761,1.58563543518,1.11196755362
refine__sobol__0001711__elbow_flexion__p2@@posterior_deltoid@@0.00,-47.18759087,105.74907316,38.18360911,71.37030409,-34.16103981,17.0506441,27.62312899,Posterior deltoid,DELT3,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,305.496853,2.05266376217,3.82879150607e-08,8.73486881662e-13,0.000139671702481,20,1,0.502927082222,0.99998529104,0.000674106823527,0.0100009112941,0.0100002401393,0.485152504104,0.010045237679,0.0100005838716,0.0100002368668,0.01000007057,0.0100000946805,0.010000595618,0.0100002195578,0.0100002611417,0.0100009164824,0.0458001880264,0.381449324308,0.373259534325,0.068403862086,0.0100015412917,0.407010693159,0.0100007626279,0.0100007009258,0.0100021573358,0.0100052778047,0.0247942343877,0.0884917874555,0.0100033986385,0.0100073829066,0.010008421509,0.268780440027,0.137656277647,0.0100141396253,0.0100076908344,0.0100164764193,0.0100213006337,0.0100160628049,0.0100186432174,0.0100188351579,0.0100157896261,0.0107027374394,0.0459849527114,0.0345774135258,0.0184407476816,0.0202910158368,0.0102806973654,0.0100362002339,0.0100250433758,0.0100073658241,0.010010366517,224.282195718,247.511970323,0,1.84548389046,2.49848127543,561.64020088,0,1.39722508093,4.14712475022,5.18973317449,4.91621716434,2.50427322783,2.79863968526,1.82184975931,0.546799660725,14.8827450328,262.917614046,251.749034913,14.7361124504,3.69595786854,158.025931019,0.879802143767,11.4104950011,2.71038810763,3.37307615433,5.1136817345,16.5921750425,3.85503952488,1.52819844937,0.923641972356,143.119340706,38.31083637,0.528432425765,1.56903574282,2.5575406907,1.62833074467,2.34709239608,1.71082984931,2.02833341696,1.97392519599,0.249887899564,3.92511757069,2.4847471223,0.742873948723,1.1115148479,0.306130841123,0.532275886978,0.428950564894,2.00445767995,1.16458305556
refine__sobol__0002761__shoulder_rot__p2@@pectoralis_major@@0.00,69.66299507,114.79448331,78.3794099,89.90497205,32.59677269,20.57969684,-39.26163663,Pectoralis major,PECM1;PECM2;PECM3,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,288.568394,1.00107822228,6.78062050952e-08,1.40617117727e-12,6.06213989686e-05,15,0,0.125449706193,0.422335917767,0.221341657207,0.010004260246,0.0100003119211,0.0100004819248,0.823713166788,0.0100014121231,0.000673938920395,0.000673938920395,0.000673938920395,0.0100008257962,0.0100006533983,0.0100007485715,0.0100009599749,0.0100452377051,0.164650792108,0.161249744326,0.033409370339,0.0100452377051,0.0814671959699,0.0100005518209,0.0100014791684,0.0100015626855,0.0100452377051,0.0488241064301,0.0226104217086,0.0100025137583,0.0100029389886,0.0100068453689,0.069469534127,0.064962016614,0.0100117827493,0.0100065930172,0.0100105628154,0.0100163115447,0.0100150165473,0.0100174580753,0.0100155252055,0.0100163006248,0.0132376483632,0.0396976953464,0.036131109886,0.0161936313234,0.0169675282132,0.0120044770476,0.0100915957768,0.0100372980045,0.0100138524886,0.0100209719942,96.0959326911,190.065640375,41.820169716,1.89192218257,9.9855891461,11.409049916,221.474191275,1.42474743367,0,0,0,2.71643562627,3.01531273753,1.87939991303,2.07997594714,0,116.439314281,111.678533099,8.77258411092,0,41.0547241647,2.59990747127,10.9764281278,2.49860181966,0,12.2929390768,4.29361452248,4.080002773,4.30185130411,1.00758349806,35.7908542725,17.1588675591,0.712116879494,1.67306344468,2.4959869605,1.45402307822,2.35336984261,1.7244393897,2.12662353565,1.87769214273,0.520481114664,4.16706071332,3.38135013474,0.772406012992,1.22844126052,0.565842895108,0.768405847432,0.394713132834,0.993180040794,0.939334455519
refine__sobol__0001387__elbow_flexion__m5@@pectoralis_major@@0.00,23.30069038,95.97368253,56.78712474,24.38006971,56.62021019,14.28208941,-8.82218351,Pectoralis major,PECM1;PECM2;PECM3,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,279.157412,1.07016418849,1.74558927313e-08,4.12114786741e-13,4.11632915744e-05,17,1,0.0492307390334,0.999997086863,0.179534530959,0.0100009303231,0.120965910985,0.0100004110614,0.0100050851374,0.0100014134406,0.000673965065327,0.000673965065327,0.000673965065327,0.0100009975131,0.010000724893,0.0100007280881,0.0100005849722,0.0100031236537,0.0757646083341,0.0657738218817,0.0100452377601,0.0100452377601,0.0100011036611,0.0100162826229,0.0100056217439,0.010009514649,0.0100226029627,0.0306372457983,0.0512271309589,0.0100032021204,0.0100055109351,0.0100086743664,0.0185467358499,0.0145848393498,0.0100161376246,0.0100087072464,0.0100072981926,0.0100105654478,0.0100106983741,0.0100127987491,0.0100106465702,0.0100103540016,0.0111694438084,0.040275362197,0.0324595697792,0.0151238773167,0.0204810267996,0.0114771948264,0.0100745744446,0.0100273375539,0.0100101044366,0.0100135486652,59.9581052209,407.897929848,36.1537053867,4.66158712601,119.105957962,11.5397098326,2.43051953917,1.43806413802,0,0,0,2.62688077073,2.855220131,1.81525123457,1.89859535073,3.551176292,47.2600818424,35.616719593,0,0,1.79219613966,0.0480788265511,11.7778831617,2.50232110563,2.9926046079,7.21065502243,9.87099718906,3.8191289404,4.63345487458,0.938840669311,10.3338592077,3.5316907127,0.754207520451,1.71346309915,2.58977927128,1.62388902198,2.37040409653,1.731121577,2.0816187617,1.97489290653,0.383538993947,4.39785405292,3.06070277121,0.738040229449,1.47572695328,0.513555828357,0.631720409259,0.434714059512,1.58570863806,1.11203145716
refine__sobol__0000447__flexion__m5@@biceps@@0.00,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,32.40828524,Biceps,BIClong;BICshort,0,0,reserve_too_high,The posture requires more reserve torque than the quality limit permits,240.181276,1181.62147231,7.48980255594e-08,1.03057593748e-06,0.5,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
