"sample_id","elv_angle","shoulder_elv","shoulder_rot","elbow_flexion","pro_sup","deviation","flexion","capacity_target","capacity_muscles","capacity_scale","usable","status","reason","duration_ms","objective","max_assembly_error_deg","max_equilibrium_residual","max_reserve_torque_nm","muscles_at_floor","muscles_at_capacity","activation__DELT1","activation__DELT2","activation__DELT3","activation__SUPSP","activation__INFSP","activation__SUBSC","activation__TMIN","activation__TMAJ","activation__PECM1","activation__PECM2","activation__PECM3","activation__LAT1","activation__LAT2","activation__LAT3","activation__CORB","activation__TRIlong","activation__TRIlat","activation__TRImed","activation__ANC","activation__SUP","activation__BIClong","activation__BICshort","activation__BRA","activation__BRD","activation__ECRL","activation__ECRB","activation__ECU","activation__FCR","activation__FCU","activation__PL","activation__PT","activation__PQ","activation__FDSL","activation__FDSR","activation__FDSM","activation__FDSI","activation__FDPL","activation__FDPR","activation__FDPM","activation__FDPI","activation__EDCL","activation__EDCR","activation__EDCM","activation__EDCI","activation__EDM","activation__EIP","activation__EPL","activation__EPB","activation__FPL","activation__APL","active_force_n__DELT1","active_force_n__DELT2","active_force_n__DELT3","active_force_n__SUPSP","active_force_n__INFSP","active_force_n__SUBSC","active_force_n__TMIN","active_force_n__TMAJ","active_force_n__PECM1","active_force_n__PECM2","active_force_n__PECM3","active_force_n__LAT1","active_force_n__LAT2","active_force_n__LAT3","active_force_n__CORB","active_force_n__TRIlong","active_force_n__TRIlat","active_force_n__TRImed","active_force_n__ANC","active_force_n__SUP","active_force_n__BIClong","active_force_n__BICshort","active_force_n__BRA","active_force_n__BRD","active_force_n__ECRL","active_force_n__ECRB","active_force_n__ECU","active_force_n__FCR","active_force_n__FCU","active_force_n__PL","active_force_n__PT","active_force_n__PQ","active_force_n__FDSL","active_force_n__FDSR","active_force_n__FDSM","active_force_n__FDSI","active_force_n__FDPL","active_force_n__FDPR","active_force_n__FDPM","active_force_n__FDPI","active_force_n__EDCL","active_force_n__EDCR","active_force_n__EDCM","active_force_n__EDCI","active_force_n__EDM","active_force_n__EIP","active_force_n__EPL","active_force_n__EPB","active_force_n__FPL","active_force_n__APL"
"refine__sobol__0000447__deviation__m2","-52.19735649","125.74419034","83.52052318","119.07245252","-41.73916481","3.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","218.340611","0.578868824169","2.58872034919e-08","1.87583282241e-12","0.000330588792546","15","0","0.308222393486","0.0100009100905","0.0100007019815","0.0100005155185","0.0100000951288","0.0100004270451","0.0100007176497","0.0100037177198","0.0100001860965","0.0100004055419","0.0100011655321","0.0100027568168","0.154350979009","0.501577308436","0.0100026228749","0.010022716733","0.198316797456","0.19815336716","0.0502838991911","0.0100105341693","0.289387009891","0.0100042354688","0.0100054702523","0.0100658652701","0.0100089343841","0.0100236809274","0.105498062087","0.0100398252407","0.0101685095727","0.0101485097877","0.149478198858","0.0676629732967","0.0101685095727","0.0107955346797","0.0100725415044","0.0100606169488","0.0244070813674","0.0117512804664","0.0102221833475","0.0100414404206","0.0105651545428","0.0198382757584","0.0117287961265","0.0101362553341","0.0162309299545","0.0101082362328","0.0100442854804","0.0100302790107","0.0100139975288","0.0100124144779","231.636062036","1.95164506521","1.68730014019","3.53273044603","10.7205138839","12.3697964924","2.32794307287","1.43879099667","4.11632840129","3.34157591562","3.1723381896","2.64968270905","46.2704711916","94.3087822337","1.57777820706","0.0561418951269","142.269607612","142.035083676","14.2403455463","3.63683037871","124.063060332","2.38210436316","8.90964085091","1.01438925632","3.02067922708","1.89802409085","15.4423792358","2.27700999258","0","0.0961302298526","80.5068182168","18.3917430267","0","1.0013287679","2.50905620312","1.61897223273","5.64708423991","1.97778243634","2.03395788048","1.94078626365","0.202796578178","1.40655683143","0.730605677058","0.383121217671","0.707181659737","0.275883465435","0.595203147077","0.461377223181","1.98147264524","1.14981876253"
"refine__sobol__0000447__deviation__m5","-52.19735649","125.74419034","83.52052318","119.07245252","-41.73916481","0.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","199.98321","0.579536111331","3.94483379296e-08","1.66977542904e-12","0.000331039960823","21","0","0.308507251925","0.0100002337195","0.0100001785576","0.0100001291574","0.010000017839","0.0100001057989","0.0100001826834","0.010000977526","0.0100000419343","0.01000010006","0.0100003013342","0.0100007230897","0.154777102371","0.502411153675","0.0100006873007","0.010006011336","0.1982300661","0.198066478311","0.0502331381262","0.01000277537","0.289149726159","0.010001114554","0.0100014440406","0.0100178458093","0.0100023934618","0.0100060195241","0.103592222217","0.0100111240297","0.0100452343434","0.0100410573728","0.150635628992","0.0679346511082","0.0100452343434","0.0102300442471","0.010018410743","0.0100156456915","0.0226894739421","0.0104367292269","0.0100477839856","0.0100106308001","0.0101432595651","0.0186902350279","0.0104008361105","0.0100340826042","0.0153637249371","0.010028606071","0.0100120022616","0.01000856069","0.0100048014949","0.0100036532712","231.850139784","1.95151306482","1.68721183056","3.53259396062","10.7204310255","12.3693991338","2.32781854585","1.43839688657","4.11626905964","3.34147383839","3.1720640682","2.64914398452","46.3982120672","94.4655655009","1.57747289613","0.0560483196626","142.207387789","141.972802296","14.2259700679","3.63401160398","123.96133455","2.38136124233","8.90605560939","1.00955009138","2.99203843563","1.94586072518","14.5207253653","2.18784076286","0","0.0816716111622","81.130193532","18.465588854","0","0.962714264095","2.49258258622","1.60940717656","5.25378793239","1.7571029925","1.99868803661","1.93115280949","0.188633205512","1.30846532351","0.645898748323","0.383211692197","0.651978008739","0.280812610371","0.616129967148","0.460338668273","1.96817159238","1.13709241092"
"refine__sobol__0000447__deviation__p2","-52.19735649","125.74419034","83.52052318","119.07245252","-41.73916481","7.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","217.076078","0.578121295629","2.31498091807e-08","1.66977542904e-12","0.000330093462429","21","0","0.307963280382","0.0100002343661","0.010000179117","0.0100001296037","0.0100000179268","0.0100001060517","0.0100001832972","0.0100009799254","0.0100000420872","0.0100001003701","0.0100003022406","0.0100007246629","0.153918820219","0.500695553495","0.0100006893524","0.0100060269961","0.198318751458","0.198155092813","0.0502556857865","0.0100028020723","0.289644024766","0.0100011179145","0.010001443413","0.010017078609","0.0100022678202","0.0100063849061","0.107755988932","0.0100100172641","0.0100452377152","0.0100373877688","0.147942582886","0.0672442305935","0.0100452377152","0.0106211130471","0.0100214070448","0.0100169875617","0.0279774560803","0.0137061935706","0.0101118290578","0.0100116172213","0.0102443223927","0.0211764624797","0.0126812394166","0.0100391489948","0.0171323896075","0.0100287521525","0.0100113728703","0.0100074220514","0.0100029460677","0.0100029415615","231.441332777","1.95151319639","1.68721192403","3.53259411867","10.7204311198","12.3693994467","2.32781868815","1.43839723168","4.11626912296","3.34147394351","3.17206435604","2.64914440116","46.140921053","94.1429907729","1.57747321985","0.0560484079823","142.271009385","142.036320612","14.2323555408","3.63402130527","124.173245204","2.38136204291","8.90605504736","1.00947277436","3.04553427354","1.83701162257","16.5949985339","2.39585792953","0","0.122564368998","79.6797574404","18.2779228996","0","0.975936078016","2.50162652252","1.61553763219","6.46968414048","2.30687202049","2.01357863608","1.94051194941","0.205419510547","1.53295535624","0.797204563254","0.376253257703","0.773173217532","0.266003606075","0.563434443984","0.46005460269","1.99789088077","1.16343760593"
"refine__sobol__0000447__deviation__p5","-52.19735649","125.74419034","83.52052318","119.07245252","-41.73916481","10.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","265.150304","0.577857874903","2.4213505867e-08","3.58113538823e-12","0.000329790282012","22","0","0.307858602359","0.010000234591","0.0100001792873","0.0100001297337","0.0100000179528","0.0100001061566","0.0100001834748","0.010000980744","0.0100000421352","0.0100001004699","0.0100003025276","0.0100007252666","0.15371091395","0.500191863102","0.0100006900094","0.0100060318565","0.198304038438","0.19814042167","0.0502519674435","0.0100028164255","0.289820926171","0.0100011195167","0.0100014435172","0.0100167216644","0.0100021699664","0.0100063595676","0.109360882336","0.0100094610209","0.0100452377847","0.0100347928983","0.14655041004","0.0668781336282","0.0100452377847","0.0111737230892","0.0100222873211","0.0100172569114","0.0306975648772","0.015623649071","0.0102396915024","0.0100119056619","0.0103835959259","0.0228156068466","0.0142505913947","0.0100416804006","0.0183258002169","0.0100286559618","0.0100110721989","0.0100070065456","0.010002589344","0.0100027405045","231.362664921","1.95151324018","1.68721195284","3.53259416513","10.7204311479","12.3693995766","2.32781872939","1.43839734941","4.1162691428","3.34147397659","3.17206444705","2.6491445611","46.0785960778","94.0482846792","1.57747332351","0.0560484351325","142.260454477","142.02580443","14.2313025101","3.63402651982","124.249084572","2.38136242433","8.90605514033","1.0094368032","3.06173258909","1.80140265954","17.4142505486","2.50072518534","0","0.15017858435","78.9299530732","18.1784126217","0","1.02724339558","2.50677057775","1.61849152801","7.09848028948","2.63054853582","2.04085157257","1.94506818275","0.215314940444","1.68223832814","0.905196135446","0.375483252713","0.849167343735","0.261663197642","0.542014868985","0.458025077237","2.00802186138","1.16701180431"
"refine__sobol__0000447__elbow_flexion__m2","-52.19735649","125.74419034","83.52052318","117.07245252","-41.73916481","5.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","223.579967","0.589078395271","3.04966931708e-08","1.5881154622e-12","0.000331795269388","19","0","0.308064054065","0.0100004147715","0.0100003214419","0.0100002356294","0.0100000390763","0.0100001897351","0.0100003301562","0.0100017108402","0.0100000811396","0.0100001827184","0.010000536022","0.0100012592178","0.148589893568","0.499087388534","0.0100012128211","0.0100061467208","0.216960336391","0.216617990886","0.0540214126716","0.0100046198553","0.281743216296","0.0100019006621","0.0100022290845","0.0100229385477","0.0100039775493","0.0100113716789","0.1079637867","0.0100167969675","0.0100791543128","0.010064292302","0.155582757322","0.0720419074027","0.0100791543128","0.0103582658171","0.0100352879293","0.0100289500878","0.025249415284","0.0119700694019","0.010125870272","0.0100196718889","0.0103401549424","0.0211503914796","0.0126337466227","0.0100689786111","0.0168102953108","0.0100514571798","0.0100203735853","0.0100135831624","0.0100057169021","0.0100054490784","231.517066316","1.95154840441","1.68723593607","3.53263157201","10.7204537927","12.3695029569","2.32785287343","1.43850235596","4.11628519805","3.34150146123","3.17213851099","2.64928600213","44.5434452936","93.8406164897","1.57755579019","0.102552420449","155.644374989","155.153635279","15.2987953998","3.63468170647","125.138646329","2.31703004745","9.288140975","1.19008595522","3.06036910351","1.8783201936","16.2233265947","2.41147384272","0","0.134559026182","84.1925176734","19.581998596","0","0.987312770658","2.50224873885","1.61561283808","5.83998485585","2.01450449657","2.01546763637","1.93924695404","0.20111145084","1.50551975824","0.787288629456","0.37720987532","0.743734854295","0.270205577913","0.578722051357","0.460583516846","1.98897358743","1.15691931887"
"refine__sobol__0000447__elbow_flexion__m5","-52.19735649","125.74419034","83.52052318","114.07245252","-41.73916481","5.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","281.541626","0.610213534416","1.71123701875e-08","9.51811568496e-13","0.000335771398782","23","0","0.308570402718","0.0100002272004","0.0100001776623","0.0100001299944","0.010000017912","0.0100000997431","0.0100001839312","0.0100009513633","0.0100000414586","0.0100000984368","0.0100002979876","0.0100006918712","0.14019965339","0.49811126868","0.0100006795441","0.0100019245108","0.242115698139","0.24123501749","0.0587827773698","0.0100024302366","0.275381738411","0.0100010345405","0.0100010765104","0.0100091741795","0.0100021942051","0.0100066667078","0.109837405405","0.0100085229314","0.0100452379419","0.0100335316017","0.165173051258","0.0782660903531","0.0100452379419","0.0101166149311","0.0100195288999","0.0100162899594","0.0237285741694","0.0109883356244","0.0100630783496","0.0100110104315","0.0102145505939","0.0222526636734","0.0135607950301","0.0100421833759","0.0171336348781","0.0100301940213","0.0100116881307","0.0100077733333","0.0100032348433","0.0100031045786","231.897599024","1.95151179521","1.68721167938","3.53259425729","10.7204311041","12.3693916435","2.32781883597","1.43839312371","4.11626886403","3.34147329594","3.17206300675","2.64913571489","42.0282661331","93.657082121","1.57747167248","0.191623282567","173.689378268","172.428103913","16.6410524257","3.63388621715","126.537652643","2.21701446697","9.79007284049","1.45621109567","3.09524278015","1.89606478071","16.5108640215","2.53274694621","0","0.17587763535","90.0201344918","21.2738186227","0","1.01297360689","2.49831930386","1.61357335578","5.48822664765","1.84928347379","2.00296944272","1.93757058128","0.196308352178","1.57124045527","0.841118785766","0.374188331144","0.75595476484","0.26963397679","0.578220426947","0.460316288677","1.98848019452","1.15664822686"
"refine__sobol__0000447__elbow_flexion__p2","-52.19735649","125.74419034","83.52052318","121.07245252","-41.73916481","5.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","233.519733","0.570983257829","2.84565118136e-08","5.18696197105e-13","0.00032989980811","20","0","0.308373397389","0.0100002355577","0.010000178666","0.0100001287707","0.0100000177903","0.0100001076832","0.0100001821263","0.0100009850827","0.0100000420333","0.0100001004678","0.0100003020818","0.0100007326719","0.159536359022","0.504291046434","0.0100006890193","0.0100118190428","0.178079549245","0.178010336779","0.0459693551245","0.0100029973472","0.299843901811","0.0100011637611","0.0100016822873","0.0100238505702","0.0100023942331","0.0100062247966","0.10520814161","0.0100111577168","0.0100452380598","0.0100406176153","0.141627899548","0.0625462661097","0.0100452380598","0.0108957697925","0.0100209290762","0.0100167898385","0.0271855964867","0.0130855435731","0.0100896073023","0.0100115107978","0.0101946102595","0.0195533027701","0.0111831225033","0.0100361634246","0.0162746696123","0.0100282606135","0.010011526222","0.010007706368","0.0100032915285","0.0100031057329","231.749544925","1.95151342931","1.68721184789","3.53259382433","10.7204309735","12.3694014648","2.32781841558","1.43839797342","4.11626910074","3.3414739762","3.17206430565","2.64914652269","47.8249153432","94.8190312454","1.57747316726","0.0243256115824","127.74916548","127.64951535","13.0158218619","3.63409224869","123.035593668","2.44406309348","8.50716166052","0.829453496362","3.00107742673","1.85093723862","15.8174856509","2.25506778802","0","0.0818471124608","75.9200806078","17.000950409","0","0.971090766687","2.4986684308","1.61365388376","6.28780785583","2.2022333775","2.00824980323","1.93766742413","0.201755017737","1.40890325709","0.701976343444","0.379004852806","0.723534146188","0.269582002479","0.578211075994","0.46031320855","1.9884914626","1.15664836031"
"refine__sobol__0000447__elbow_flexion__p5","-52.19735649","125.74419034","83.52052318","124.07245252","-41.73916481","5.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","237.429706","0.566234797627","8.00309436499e-08","8.83228733924e-13","0.000331103453831","18","0","0.309391632906","0.0100006438069","0.0100004878396","0.0100003545017","0.0100000630932","0.0100003070153","0.0100004946206","0.0100026417269","0.01000012752","0.0100002826801","0.010000815354","0.0100019834277","0.167600457742","0.511222977284","0.0100018385717","0.0100851964267","0.144598169725","0.144600008534","0.0383785362861","0.0100090544042","0.318603534715","0.0100033436479","0.0100059360149","0.0101070017158","0.0100068248656","0.010016177268","0.102902202358","0.0100327930751","0.0101193669769","0.0101133429249","0.130250573401","0.0545660547718","0.0101193669769","0.0121465710712","0.0100556288408","0.0100446071893","0.0280894372327","0.0138517022716","0.0102518338022","0.0100310187592","0.0104510272389","0.018564706064","0.0109731037786","0.0100908340825","0.0160789807843","0.0100731595953","0.0100306471606","0.0100205264613","0.0100088806775","0.0100083203282","232.514771737","1.95159310126","1.68726401165","3.53267356035","10.7204795384","12.3696480237","2.32789115856","1.43863624132","4.11630428711","3.34153486055","3.17222711342","2.6494778419","50.2423256486","96.1224035192","1.57765449117","0.00349609653747","103.718029936","103.720671095","10.8363573656","3.6362927797","121.300467514","2.53484014162","7.89746891481","0.562718566441","2.93157016038","1.83183355588","15.4884913078","2.15113862404","0","0.0467910289212","69.3345398706","14.831817293","0","1.0285200975","2.50732064307","1.61813511741","6.4968588856","2.3311741623","2.04053959671","1.94144307214","0.209750881228","1.35131807612","0.693080128483","0.383596792025","0.718053318011","0.270788987201","0.579315397024","0.460902879953","1.98960249431","1.15725131831"
"refine__sobol__0000447__elv_angle__m2","-54.19735649","125.74419034","83.52052318","119.07245252","-41.73916481","5.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","220.580807","0.652950236961","1.23422267961e-08","5.75539615966e-13","0.000354058587893","16","0","0.300938670112","0.0100008679771","0.0100006135515","0.010000385705","0.0100000735074","0.0100006685033","0.0100005569436","0.0100030612046","0.0100001508934","0.0100002673784","0.0100009553603","0.0100028125706","0.170396866022","0.515741341951","0.010001645852","0.0100124460013","0.226660051761","0.226473092321","0.0574560937521","0.0100086755356","0.332225095644","0.0100026719689","0.0100044333872","0.010053000866","0.0100080634467","0.0100230834043","0.107256209996","0.0100372803154","0.0101557276425","0.0101333520516","0.167060972481","0.0763777352835","0.0101557276425","0.0107074525776","0.0100761089666","0.0100602118397","0.0257302838823","0.0126324123781","0.0102817637187","0.0100401434651","0.0106058460517","0.0214354920214","0.0130800040881","0.0101383901266","0.016694495971","0.0101028857745","0.0100405898679","0.0100271928098","0.0100114232082","0.0100109147222","228.235202222","1.89550152281","1.66830384135","3.67603255377","10.7486366521","12.3854014246","2.2767436228","1.4386109503","4.17835888414","3.37595314489","3.19023042922","2.65131455515","51.1246976021","96.9743929567","1.64769257446","0.0874563278812","162.60264909","162.334484037","16.2715032432","3.63615513643","140.557489437","2.38199823313","8.90871754837","1.01309284484","3.03478047255","1.86750593859","16.1188869753","2.33726670886","0","0.10848441607","89.9766484065","20.7605372899","0","0.987079636395","2.51242725985","1.62064894726","5.95120586034","2.12597359995","2.04649688995","1.94320910391","0.208037298352","1.53483649432","0.817946890359","0.381289914464","0.740280277561","0.271588093187","0.579889633449","0.461209504483","1.99010790812","1.15755130536"
"refine__sobol__0000447__elv_angle__m5","-57.19735649","125.74419034","83.52052318","119.07245252","-41.73916481","5.13902301","37.40828524","","","1","1","usable","Converged with independently replayed constrained generalized-force equilibrium and small reserve torques","213.627998","0.601202155906","2.78094010042e-08","4.99645311495e-13","0.000293758293789","20","0","0.208423377582","0.0100003355062","0.0100002206627","0.0100001121985","0.0100000174178","0.0392516392986","0.0100001767094","0.010000934341","0.0100000429112","0.0100000652469","0.0100003172134","0.0100011116937","0.0813483641704","0.35776887832","0.0100004549961","0.010002433967","0.288149234437","0.28791145776","0.0730108958532","0.0100020053604","0.425660318836","0.0100005803241","0.0100010003805","0.0100121210601","0.0100022861848","0.0100072687516","0.107939610178","0.0100121296252","0.010045237712","0.0100387031166","0.206787704185","0.0958515318657","0.010045237712","0.010157340673","0.0100287460375","0.0100200443137","0.0256682315433","0.0126831406754","0.0101242636969","0.0100123859131","0.0102107784386","0.0230891788933","0.0145069403221","0.0100457589372","0.0163481079901","0.0100316303048","0.0100118926115","0.0100080519225","0.0100033144504","0.0100032118079","160.569041382","1.8005066227","1.64355828237","3.8897895141","10.7547825555","48.7167546263","2.17128380415","1.43813584572","4.26493797827","3.45406174122","3.21763925552","2.65348796931","24.4396824753","67.2732827437","1.74818891163","0.146644688067","206.71410109","206.373116844","20.6766062759","3.63373185959","176.942452256","2.38400974623","8.90566053732","1.00897317664","3.03302861331","1.86455934432","16.2215910595","2.33141015652","0","0.107471135295","111.372897442","26.0537877197","0","0.936366896564","2.50061755094","1.6141781632","5.93685365789","2.13451092582","2.01514786137","1.93783679746","0.200287912021","1.6532447381","0.90717912974","0.377806191893","0.724920473435","0.269672587264","0.578232236479","0.460329102629","1.98849601922","1.15666062576"
