sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,capacity_target,capacity_muscles,capacity_scale,usable,status,reason,duration_ms,objective,max_assembly_error_deg,max_equilibrium_residual,max_reserve_torque_nm,muscles_at_floor,muscles_at_capacity,activation__DELT1,activation__DELT2,activation__DELT3,activation__SUPSP,activation__INFSP,activation__SUBSC,activation__TMIN,activation__TMAJ,activation__PECM1,activation__PECM2,activation__PECM3,activation__LAT1,activation__LAT2,activation__LAT3,activation__CORB,activation__TRIlong,activation__TRIlat,activation__TRImed,activation__ANC,activation__SUP,activation__BIClong,activation__BICshort,activation__BRA,activation__BRD,activation__ECRL,activation__ECRB,activation__ECU,activation__FCR,activation__FCU,activation__PL,activation__PT,activation__PQ,activation__FDSL,activation__FDSR,activation__FDSM,activation__FDSI,activation__FDPL,activation__FDPR,activation__FDPM,activation__FDPI,activation__EDCL,activation__EDCR,activation__EDCM,activation__EDCI,activation__EDM,activation__EIP,activation__EPL,activation__EPB,activation__FPL,activation__APL,active_force_n__DELT1,active_force_n__DELT2,active_force_n__DELT3,active_force_n__SUPSP,active_force_n__INFSP,active_force_n__SUBSC,active_force_n__TMIN,active_force_n__TMAJ,active_force_n__PECM1,active_force_n__PECM2,active_force_n__PECM3,active_force_n__LAT1,active_force_n__LAT2,active_force_n__LAT3,active_force_n__CORB,active_force_n__TRIlong,active_force_n__TRIlat,active_force_n__TRImed,active_force_n__ANC,active_force_n__SUP,active_force_n__BIClong,active_force_n__BICshort,active_force_n__BRA,active_force_n__BRD,active_force_n__ECRL,active_force_n__ECRB,active_force_n__ECU,active_force_n__FCR,active_force_n__FCU,active_force_n__PL,active_force_n__PT,active_force_n__PQ,active_force_n__FDSL,active_force_n__FDSR,active_force_n__FDSM,active_force_n__FDSI,active_force_n__FDPL,active_force_n__FDPR,active_force_n__FDPM,active_force_n__FDPI,active_force_n__EDCL,active_force_n__EDCR,active_force_n__EDCM,active_force_n__EDCI,active_force_n__EDM,active_force_n__EIP,active_force_n__EPL,active_force_n__EPB,active_force_n__FPL,active_force_n__APL
sobol__0001047@@subscapularis@@0.00,-22.05087212,86.07133878,-38.42771901,8.30585096,-55.56728981,15.71763629,36.88094149,Subscapularis,SUBSC,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,299.562876,1.70679683602,5.48565797232e-08,3.97903932026e-13,0.000166508388011,28,1,0.480493106025,0.999999879727,0.572664361327,0.0100000651407,0.0100000215497,0.000673919011921,0.0100001317076,0.0100010920629,0.0100002637558,0.0100000611826,0.0100000492251,0.220527612781,0.0100006255167,0.0100002830775,0.0100002044139,0.121841172184,0.0100021888075,0.0100028120942,0.0100452375748,0.152073129482,0.0100001314795,0.0100290617841,0.212655416923,0.0240892125235,0.0297539645344,0.0602069988332,0.0478058579333,0.0100012356573,0.0100021033808,0.0100034587547,0.0100059108555,0.010006792626,0.0100065879662,0.0100030487127,0.0100018750918,0.010002835759,0.0100028618588,0.0100035467907,0.0100028323863,0.0100028103734,0.011648074795,0.0518339279285,0.0376897931008,0.0182894268294,0.0264406885115,0.0131536042265,0.0101099058703,0.0100147641303,0.0100036240551,0.010005085482,269.631990345,365.464707928,91.3347914357,4.29932902113,10.7242402754,0,2.6459030588,1.41141329115,4.41800971328,6.34504162869,4.97233055318,56.933237621,2.72394817993,1.79654830236,1.1897743112,91.8389764253,5.08814677688,3.90746810793,0,53.6798569987,2.09679272498,0.00415917960422,248.393386119,5.7116922814,7.38785588931,9.69286333209,9.22158814614,4.07926336623,4.12157498478,1.00415410297,1.95424079889,2.54808944296,0.718858112686,1.67442675674,2.52732856186,1.62409417163,2.32366297968,1.69325583295,2.00682430881,1.9595996175,0.323572688876,5.19041391521,3.0628527873,0.80941261036,1.67531781618,0.341407208781,0.520773668656,0.437867559631,2.01068248475,1.16744574465
sobol__0001720@@infraspinatus@@0.25,-30.31259087,4.18657316,52.24610911,0.30780409,-59.16103981,2.8318941,8.87312899,Infraspinatus,INFSP,0.25,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,430.9671,0.708399556693,9.6370877678e-07,8.17124146124e-13,3.14334789412e-05,8,0,0.107951130662,0.0100218290136,0.0100068049842,0.330913988416,5.34322323934e-06,0.0907633670246,0.0100077688549,0.0730578464393,0.0696237245128,0.024450652322,0.0100058827209,0.132987077751,0.046702180523,0.0720557395718,0.0674653960373,0.267825487035,0.538447949399,0.392457376334,0.0101292324825,0.0100121003269,0.0890017324696,0.0100057591551,0.0100018325943,0.0100078585635,0.028852639423,0.0100388526993,0.0446460236539,0.0100100591732,0.0100040743474,0.0100471503152,0.0100538270682,0.034618030663,0.0100549205867,0.0100252346995,0.012207870563,0.0112116834691,0.0100593670064,0.0100877230677,0.0101424527344,0.0107686582095,0.0135389864458,0.0591333661363,0.0466260629558,0.0271747990918,0.0225237649646,0.0102434497211,0.0113671518904,0.0132649435016,0.0145427170375,0.0308993185671,85.1675189247,10.9753407132,1.99759871155,164.741283437,0.000968910515633,112.03817606,2.69225400119,9.06421878438,29.4206870669,14.2155289783,2.50419277782,24.5971127685,4.2306134083,10.985971976,12.4535395698,202.981380853,236.876634676,125.839779591,0,3.50823995123,28.5498951205,2.51471746706,11.5087004111,2.31095972465,8.70826298824,2.20722170551,8.61208043818,3.58329995458,4.78099818787,0.937233719519,1.60374402142,8.67245601488,0.754572279783,1.71439714001,3.15926501802,1.81699694051,2.38192664071,1.74408258852,2.11667962062,2.12446859313,0.436297337996,6.45730057572,4.38621846199,1.32612128248,1.57033113821,0.397106852581,0.816704007592,0.610123998966,2.90476533887,3.60572109395
sobol__0003903@@brachialis@@0.75,-53.99911431,107.11381925,16.68702708,116.37469862,-9.98135231,-2.47450238,-15.29679288,Brachialis,BRA,0.75,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,401.09835,1.83034587236,3.14408179491e-08,5.24913446043e-13,0.000341448142211,14,0,0.56817985179,0.693653389631,0.0100010748685,0.314222181835,0.0100006577522,0.0100020436515,0.0101025521467,0.0100032752092,0.0100003752341,0.0100001468593,0.0100001874937,0.0345296539372,0.0100007621769,0.0100007074616,0.0100022971761,0.880692819257,0.106266696566,0.106059682472,0.0263541301857,0.0100050624061,0.244199861003,0.0100009900855,8.0185795089e-06,0.010061224112,0.0207439259729,0.0523465457649,0.0258466246024,0.0100107387705,0.010009216601,0.0100222015425,0.212737812255,0.103326790521,0.0100420541797,0.0100235379465,0.0100288951449,0.010044399858,0.0100280012778,0.0100358320769,0.0100364174585,0.0100404719259,0.0113514715016,0.0447098705095,0.042886813676,0.0217068978684,0.0135488518778,0.0135331950856,0.0101252774456,0.0100685110178,0.0100177771751,0.0100304572518,265.547307671,154.041641164,1.81075923568,75.6254120115,3.07222696483,11.5353998201,0,1.3962623014,4.03181747982,5.03987819464,4.84812479648,8.6300883259,2.79680760437,1.82364884521,0.625763230141,158.517914975,76.2342211684,75.9373963136,7.46333775007,3.79312022013,128.226890462,2.31893552663,0.00566050462866,0.733507395287,3.35205427165,13.2169047834,4.33724433646,3.77684164414,3.55392481038,0.931982043764,109.491332572,29.4164097393,0.548644635138,1.59039821562,2.59147595047,1.59260547887,2.36445314387,1.73330428019,2.12335708678,1.97501575778,0.343208729091,4.87545228505,4.03156571703,1.05923522388,0.816927787029,0.634153887386,0.806321151417,0.46313291522,1.65211291104,1.17041879542
sobol__0001218@@latissimus_dorsi@@0.75,81.30850288,1.26665128,74.65821849,32.17303846,48.80771019,-1.91908246,38.28719149,Latissimus dorsi,LAT1;LAT2;LAT3,0.75,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,391.20232,0.22991575619,2.27091458527e-07,8.45545855555e-13,0.00022784400455,24,0,0.0100003300069,0.0100005571367,0.144635412979,0.010048252577,0.0100007308992,0.0100006203203,0.114278348839,0.192191358732,0.0100010711393,0.0100008919822,0.0100007734393,0.165334684842,0.0785760693049,0.119189548399,0.010009733877,0.172013817977,0.0100027163332,0.010002886718,0.010045238158,0.010045238158,0.155731651857,0.010005693445,0.149073501817,0.080018151061,0.0422048571264,0.0490296521567,0.0911087207675,0.0100014770388,0.0100039328793,0.010004165414,0.0899511850365,0.0114012649512,0.0100077049239,0.010003514641,0.0100018491767,0.0100027218266,0.0100027766344,0.0100034212139,0.0100027323959,0.0100025353542,0.0111465046783,0.0489262476528,0.0374243834781,0.0172257668544,0.0269948289843,0.011305719253,0.010043564744,0.0100103846716,0.0100037096827,0.0100037872901,8.32615737013,10.9905302506,29.1264008627,5.01462385528,5.92184282712,12.4174059676,30.7838346146,23.4588007577,4.21828640711,5.81566142283,2.89710493562,21.9849946934,4.95934829153,13.4429835922,1.793807652,97.9516427919,6.42881517509,6.02663218627,0,0,51.9191342233,2.2738281454,175.514594882,20.9972580415,12.4486493915,8.76253074059,14.8029581318,3.87733931217,4.22092860975,0.920681830467,50.1183466671,2.88318677392,0.672783450446,1.59581356366,2.42007084618,1.56529779695,2.27809393284,1.65557301548,1.94593893108,1.88111326523,0.211578638465,3.70335823167,2.46939972845,0.67765518338,1.30498913515,0.311609675647,0.545356728973,0.460148395314,1.95783646377,1.12821872424
sobol__0002973@@pectoralis_major@@0.25,80.56143257,115.55620206,-13.56199635,51.0573158,78.53427269,5.06211871,-35.74601163,Pectoralis major,PECM1;PECM2;PECM3,0.25,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,324.854718,1.85216824131,2.44352662548e-08,2.40873987423e-12,0.000123587384995,25,1,0.496855525227,0.520332008972,0.0100055321015,0.0100001273084,0.482154061048,0.0100000578531,0.999996711541,0.0100004956225,5.91157150922e-07,2.17503534808e-07,2.85037876859e-07,0.010000195134,0.0100001820351,0.0100002147328,0.0100002641665,0.010001136494,0.0566506353947,0.0553028483426,0.0100587640259,0.0100452378758,0.0100002000756,0.0100009956785,0.01000617437,0.0100013863762,0.0100452378758,0.0517517617235,0.0100019844858,0.0100032075307,0.0100009294073,0.0100085188611,0.286154837626,0.0534250239778,0.0100066365197,0.0100033990274,0.0100098377135,0.0100305188364,0.0100055183521,0.010008365035,0.0100108106341,0.0105354640204,0.0100339399593,0.0100186451746,0.0170122858512,0.0202417156783,0.0100104180444,0.0100477881646,0.0101812535026,0.0270731178205,0.0116821255088,0.0587397328573,442.907526898,379.019071999,1.85476238775,4.9490503394,504.031103117,13.0619294038,254.120403502,1.27877329811,6.50153751003e-05,3.55704268238e-05,3.53841364742e-05,2.75512525901,3.06795141633,1.88073764088,2.08011621723,0.523243876111,37.8363529842,36.0570928628,0.496404393527,0,3.78342588932,0.488990420834,11.7581189267,2.75627539012,0,13.0513437007,1.92832203031,3.55925206648,4.7977739905,0.749484201844,152.993543878,10.1866158399,0.737734249251,1.70916868441,2.54709202155,1.53007844188,2.32874961184,1.718630642,2.12500262899,2.05149200217,0.3599007314,1.08725645622,1.60556347869,0.972644255794,0.721790544603,0.475238423403,0.785627732548,1.23427598882,1.43036934325,6.5722743082
sobol__0003163@@teres_minor@@0.50,10.16104194,88.95952238,-42.93211354,118.53290174,-59.51260231,-9.68641644,12.00789462,Teres minor,TMIN,0.5,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,330.273041,5.6825624524,9.51849942865e-07,5.22783722292e-12,0.000497021255529,25,3,0.0100015197749,0.565559046036,0.197531088193,0.180769707302,0.154654356675,0.160144205389,1.52490308001e-05,0.0100054436852,0.0100067491291,0.0100005136518,0.0100004748315,0.0100046672203,0.0100033566125,0.010002326594,0.0100013885825,0.0947638317873,0.50663109864,0.50613021984,0.127739084346,0.999999787418,0.41365473297,0.159298197612,0.0100005630265,0.0100000998908,0.999999172283,0.999999764389,0.0100001557952,0.36353879474,0.0100000865442,0.0100012280859,0.0100000707528,0.0100004110813,0.0100012764235,0.0100003640479,0.0940369713877,0.33940488459,0.0100005305938,0.0100011540055,0.0100052178237,0.672085156778,0.0100025295018,0.0100008455874,0.0405739411706,0.202088349686,0.010001003138,0.157559227345,0.318871606898,0.394232855263,0.0100009609873,0.686412483519,9.98296255258,220.006185644,37.3335540453,29.0141588864,151.958360174,208.790704377,0.00193439706552,1.43934821079,4.44206324595,6.55565240558,4.96464819622,2.66659047467,2.88151327702,1.8346968866,1.65072004961,10.2521962146,363.450298996,362.732000728,36.175703677,350.145622719,116.267922915,50.4654077792,9.01039722315,1.43524078853,245.002100081,251.930289922,1.25689145552,131.719170343,2.69906323689,0.818902302603,5.53171945097,2.50136743036,0.37709420853,1.55319418536,24.3352847166,55.1255638314,2.36795158598,1.72911632045,2.0826721402,132.59671605,0.222130859346,0.888874711497,3.22833977963,9.69541381231,0.47589550398,6.29804540412,24.6746970951,18.0903962201,2.0089114716,79.1734980165
sobol__0001262@@pectoralis_major@@0.50,44.74600288,60.17290128,-58.93553151,17.95428846,-63.69228981,12.84654254,-53.58780851,Pectoralis major,PECM1;PECM2;PECM3,0.5,0,solver_failed,The static optimization solver did not converge,1010.645396,,2.62013806207e-08,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sobol__0000261@@anterior_deltoid@@0.25,106.00576851,72.42387784,54.80958568,105.36151502,63.88583519,-0.19300824,-11.81046476,Anterior deltoid,DELT1,0.25,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,289.202686,1.70824275107,1.02322587736e-07,7.95807864051e-13,0.000138885001339,27,1,0.99650653864,0.0100001226591,0.01000129876,0.0100000854034,0.0100002691925,0.0100000354778,0.744265672779,0.0100292096096,0.346816862459,0.0100001338092,0.0100002005074,0.0100015440076,0.0100005526552,0.0100004254384,0.0100939242432,0.148660796995,0.0363722441212,0.0358878734526,0.0102186904939,0.0100452379354,0.0100001038788,0.0100005763273,0.0100060244228,0.0100036026896,0.0100083068228,0.0482322362164,0.0551178700225,0.0100020237542,0.0100042253411,0.0100057359588,0.0483480882243,0.0260248214789,0.0100126250446,0.0100063447642,0.0100049136726,0.0100073537111,0.010007536661,0.01000908474,0.0100073772066,0.0100073148306,0.0132102377314,0.0554046691337,0.0100452379354,0.0208708379254,0.0214256012506,0.0144854648435,0.0100837721447,0.0100202287078,0.0100066281309,0.0100086743187,245.587732268,10.2139975549,1.88281275006,4.98152255478,8.99782055871,12.8212336784,200.481839103,1.43423946699,121.54974113,5.76263582973,3.05786381043,2.62560646285,2.85045925069,1.80832456649,1.79325978273,7.51698888743,26.0806027694,25.3903261501,2.82978683134,0,5.06492557027,3.12524060932,10.510737621,1.99610176253,2.88968477512,12.1529269157,8.78604458333,3.84193091026,4.21657724091,0.953945811341,17.5082401317,5.83119168563,0.66698373644,1.60995308537,2.58916397478,1.6236131319,2.36921655812,1.73047751278,2.08997163961,1.97433792692,0.379458900693,5.99128397517,0,1.01843034107,1.24103689754,0.663770779033,0.717639641149,0.460887893877,1.7113837205,1.16785236733
sobol__0000261@@teres_minor@@0.75,106.00576851,72.42387784,54.80958568,105.36151502,63.88583519,-0.19300824,-11.81046476,Teres minor,TMIN,0.75,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,321.075409,1.07003763332,2.18907168503e-08,6.53699316899e-13,0.000112684353795,25,0,0.277890586082,0.0100000898104,0.0484456827033,0.0100000817097,0.010000894393,0.0100000332017,0.881468096825,0.205995315596,0.198416914991,0.010000354076,0.0100005066726,0.0100150986813,0.0100014338132,0.0100008662762,0.248464179961,0.227481239715,0.0335952496934,0.0331481400505,0.0101713102927,0.0100452377551,0.0100000909176,0.0100019140754,0.0100064527598,0.0100037338973,0.0100086902548,0.0482478210594,0.0551396762488,0.0100020376442,0.0100042751739,0.0100057701141,0.0485171002272,0.0256497121131,0.0100127244896,0.0100063950413,0.0100049145283,0.0100073530172,0.0100075337101,0.0100090832837,0.0100073752364,0.0100073113811,0.0131970072735,0.0553636059666,0.0100452377551,0.0208615649244,0.0214265166998,0.0144927608241,0.010084335359,0.0100202450613,0.010006628349,0.010008680982,273.94308551,10.213964006,9.12023040754,4.98152071431,8.99838308014,12.8212307619,178.079903077,29.4586136992,69.5396540254,5.7627627573,3.05795742304,2.62916483703,2.85071040682,1.80840428069,44.1414865327,11.5025211967,24.0893676858,23.4519910539,2.81666618055,0,5.0649190062,3.12565866316,10.5111875637,1.99612794309,2.88979548405,12.15685378,8.78952060559,3.84193624588,4.21659824266,0.953949067738,17.569444267,5.74714367116,0.666990360817,1.60996117457,2.58916419623,1.62361301931,2.36921585952,1.73047726102,2.08997122816,1.97433724637,0.379078861148,5.98684353607,0,1.01797784819,1.2410899238,0.664105104432,0.717679723714,0.460888646068,1.71138375735,1.16785314483
sobol__0002818@@infraspinatus@@0.75,84.07705757,31.76713956,78.43019115,88.1276283,61.65927269,-8.47303754,25.66023837,Infraspinatus,INFSP,0.75,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,595.91836,0.194000558309,1.88613135776e-07,1.71418435002e-13,2.1181565011e-05,12,0,0.0637163663453,0.0100018175864,0.0146001177617,0.0100028304818,0.081112278701,0.0100032406042,0.0233357816841,0.0101342877298,0.109863606524,0.129920960757,0.0248151245965,0.0100179611996,0.0100231229606,0.0100181629046,0.0246502875867,0.0729709522995,0.0542702265346,0.0531426375893,0.0112777350647,0.0100452376969,0.0100010506118,0.010003445833,0.0100042413973,0.0100021649558,0.276568036757,0.167492935635,0.010002597942,0.0712066765085,0.0100010050401,0.0100214143491,0.112547126447,0.0451269322199,0.0100130798824,0.0100062214947,0.0344586101116,0.0427866338996,0.0100080024364,0.0100163895061,0.010300659549,0.0626637391,0.010028940486,0.0100244642551,0.0170088411117,0.0250910057737,0.0100134188752,0.0154659948615,0.0271234029706,0.0380698549363,0.0100094444578,0.0647166715401,77.6057183059,10.6535761762,2.90830970725,4.82040702525,41.6948034386,12.2806151395,6.15383559908,1.34359829315,43.8771485774,59.9356995775,2.62620506934,2.2454798711,1.66064885043,1.67143184679,3.93259669778,15.5806298324,38.2879715136,36.7131223172,2.94236208942,0,5.23102944854,3.16477278929,11.0243564563,2.55742235668,88.8683055059,37.0099296176,1.18863314269,25.4870548331,3.59863439145,0.768809530137,55.7151146002,10.3823446123,0.461531695869,1.54033049425,8.56328385519,6.83763064724,2.33721786394,1.69750273763,2.05061268359,12.0121144577,0.176408859682,0.737011145409,1.13230239915,1.04731299346,0.413045793706,0.526310112732,1.69090526708,1.73995502271,2.00960671344,7.33378896117
