sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,capacity_target,capacity_muscles,capacity_scale
sobol__0001333@@teres_major@@0.00,114.70694038,107.14555753,13.42774974,77.11444471,-77.12978981,9.08677691,-45.38468351,Teres major,TMAJ,0.000000
anchor__neutral@@infraspinatus@@0.50,0,0,0,0,0,0,0,Infraspinatus,INFSP,0.500000
sobol__0000271@@biceps@@0.25,-40.24423149,80.54887784,7.93458568,129.73651502,33.88583519,19.49449176,-19.31046476,Biceps,BIClong;BICshort,0.250000
sobol__0002117@@subscapularis@@0.50,105.69815132,101.21049894,-55.60301198,120.75458143,54.00302269,10.0181734,-1.64444913,Subscapularis,SUBSC,0.500000
sobol__0000257@@biceps@@0.75,38.50576851,121.17387784,-1.44041432,24.11151502,3.88583519,4.18199176,-56.81046476,Biceps,BIClong;BICshort,0.750000
anchor__neutral@@brachialis@@0.25,0,0,0,0,0,0,0,Brachialis,BRA,0.250000
sobol__0001954@@brachialis@@0.50,77.61709663,16.12016691,67.77345286,107.20233534,79.27646019,-3.66224652,-4.01749601,Brachialis,BRA,0.500000
sobol__0002879@@brachioradialis@@0.00,-53.73544243,90.67338956,80.77394115,77.9713783,79.15927269,22.69883746,-13.71476163,Brachioradialis,BRD,0.000000
sobol__0002056@@teres_major@@0.75,-16.64559868,8.78862394,-56.77488698,22.23895643,-79.74697731,-7.7552641,-26.95694913,Teres major,TMAJ,0.750000
sobol__0001298@@supraspinatus@@0.00,89.39444038,27.92680753,39.20899974,30.39569471,-79.62978981,-8.96009809,-6.00968351,Supraspinatus,SUPSP,0.000000
anchor__forward_45@@anterior_deltoid@@0.00,90,45,0,0,0,0,0,Anterior deltoid,DELT1,0.000000
sobol__0001149@@teres_minor@@0.00,86.23037788,78.96196378,82.27540599,62.13397596,73.18271019,14.35044879,11.56844149,Teres minor,TMIN,0.000000
sobol__0001837@@brachialis@@0.25,86.75772163,94.83110441,-59.37498464,90.44452284,26.15146019,14.52134723,-2.61124601,Brachialis,BRA,0.250000
sobol__0000271@@infraspinatus@@0.75,-40.24423149,80.54887784,7.93458568,129.73651502,33.88583519,19.49449176,-19.31046476,Infraspinatus,INFSP,0.750000
sobol__0000704@@anterior_deltoid@@0.00,-54.13095024,49.95317472,-39.37986745,129.1017494,73.72958519,14.60679645,-37.00577726,Anterior deltoid,DELT1,0.000000
sobol__0000463@@supraspinatus@@0.75,-42.35360649,88.16606534,77.66114818,12.43182752,74.51083519,-8.80628949,-44.15421476,Supraspinatus,SUPSP,0.750000
sobol__0000159@@brachioradialis@@0.50,-55.36141899,103.65434659,79.12599193,23.34979627,59.19833519,10.94956988,-15.79483976,Brachioradialis,BRD,0.500000
sobol__0002025@@teres_minor@@0.50,67.77334663,118.69829191,-27.14842214,91.96796034,5.52646019,0.43931598,-8.70499601,Teres minor,TMIN,0.500000
sobol__0002554@@anterior_deltoid@@0.00,106.75283882,17.16753019,50.74464427,115.42255018,-53.18447731,-9.87440473,-10.78507413,Anterior deltoid,DELT1,0.000000
sobol__0002818@@anterior_deltoid@@0.75,84.07705757,31.76713956,78.43019115,88.1276283,61.65927269,-8.47303754,25.66023837,Anterior deltoid,DELT1,0.750000
sobol__0002764@@anterior_deltoid@@0.50,2.16299507,1.04448331,57.6294099,106.15497205,-27.40322731,7.45469684,35.73836337,Anterior deltoid,DELT1,0.500000
sobol__0003974@@pectoralis_major@@0.75,63.42276069,54.80913175,9.06983958,0.08563612,66.89364769,2.85752887,-34.51554288,Pectoralis major,PECM1;PECM2;PECM3,0.750000
sobol__0003041@@infraspinatus@@0.00,34.15518257,69.85307706,-59.26512135,3.3229408,44.78427269,6.42930621,36.44148837,Infraspinatus,INFSP,0.000000
sobol__0002025@@biceps@@0.00,67.77334663,118.69829191,-27.14842214,91.96796034,5.52646019,0.43931598,-8.70499601,Biceps,BIClong;BICshort,0.000000
sobol__0001837@@pectoralis_major@@0.50,86.75772163,94.83110441,-59.37498464,90.44452284,26.15146019,14.52134723,-2.61124601,Pectoralis major,PECM1;PECM2;PECM3,0.500000
