sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
sobol__0000447,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
sobol__0000450,81.39639351,15.04106534,-25.46385182,4.30682752,4.51083519,24.00621051,23.34578524
sobol__0000463,-42.35360649,88.16606534,77.66114818,12.43182752,74.51083519,-8.80628949,-44.15421476
sobol__0001369,54.23819038,98.00493253,-15.86912526,47.66131971,-5.87978981,3.89146441,-10.69718351
sobol__0001387,23.30069038,95.97368253,56.78712474,29.38006971,56.62021019,14.28208941,-8.82218351
sobol__0001425,46.50381538,83.27837003,-39.89256276,103.01288221,24.74521019,22.07505816,-8.35343351
sobol__0001711,-47.18759087,105.74907316,38.18360911,69.37030409,-34.16103981,17.0506441,27.62312899
sobol__0002549,118.00283882,106.54253019,-33.63035573,91.04755018,16.81552269,-3.31190473,26.71492587
sobol__0003073,39.69229194,81.85014738,-55.82273854,85.01727674,19.23739769,-6.67860394,5.44539462
sobol__0004077,90.14151069,110.66850675,-38.97703542,118.91376112,35.64364769,18.44346637,45.17195712
