sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,capacity_target,capacity_muscles,capacity_scale,usable,status,reason,duration_ms,objective,max_assembly_error_deg,max_equilibrium_residual,max_reserve_torque_nm,muscles_at_floor,muscles_at_capacity,activation__DELT1,activation__DELT2,activation__DELT3,activation__SUPSP,activation__INFSP,activation__SUBSC,activation__TMIN,activation__TMAJ,activation__PECM1,activation__PECM2,activation__PECM3,activation__LAT1,activation__LAT2,activation__LAT3,activation__CORB,activation__TRIlong,activation__TRIlat,activation__TRImed,activation__ANC,activation__SUP,activation__BIClong,activation__BICshort,activation__BRA,activation__BRD,activation__ECRL,activation__ECRB,activation__ECU,activation__FCR,activation__FCU,activation__PL,activation__PT,activation__PQ,activation__FDSL,activation__FDSR,activation__FDSM,activation__FDSI,activation__FDPL,activation__FDPR,activation__FDPM,activation__FDPI,activation__EDCL,activation__EDCR,activation__EDCM,activation__EDCI,activation__EDM,activation__EIP,activation__EPL,activation__EPB,activation__FPL,activation__APL,active_force_n__DELT1,active_force_n__DELT2,active_force_n__DELT3,active_force_n__SUPSP,active_force_n__INFSP,active_force_n__SUBSC,active_force_n__TMIN,active_force_n__TMAJ,active_force_n__PECM1,active_force_n__PECM2,active_force_n__PECM3,active_force_n__LAT1,active_force_n__LAT2,active_force_n__LAT3,active_force_n__CORB,active_force_n__TRIlong,active_force_n__TRIlat,active_force_n__TRImed,active_force_n__ANC,active_force_n__SUP,active_force_n__BIClong,active_force_n__BICshort,active_force_n__BRA,active_force_n__BRD,active_force_n__ECRL,active_force_n__ECRB,active_force_n__ECU,active_force_n__FCR,active_force_n__FCU,active_force_n__PL,active_force_n__PT,active_force_n__PQ,active_force_n__FDSL,active_force_n__FDSR,active_force_n__FDSM,active_force_n__FDSI,active_force_n__FDPL,active_force_n__FDPR,active_force_n__FDPM,active_force_n__FDPI,active_force_n__EDCL,active_force_n__EDCR,active_force_n__EDCM,active_force_n__EDCI,active_force_n__EDM,active_force_n__EIP,active_force_n__EPL,active_force_n__EPB,active_force_n__FPL,active_force_n__APL
sobol__0000463@@coracobrachialis@@0.50,-42.35360649,88.16606534,77.66114818,12.43182752,74.51083519,-8.80628949,-44.15421476,Coracobrachialis,CORB,0.5,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,364.838903,2.11587804665,2.33177297915e-07,1.28608235173e-12,7.12214818489e-05,24,0,0.0100017199848,0.367624763505,0.0100021399111,0.691679490822,0.010000363251,0.0100000771413,0.0100452378688,0.010000754329,0.736160310716,0.0100001226282,0.010000161972,0.0100004957561,0.0100006794071,0.0100003769666,1.81687653704e-06,0.0970192462295,0.232788435023,0.183289632281,0.0100452378688,0.0100452378688,0.213011615502,0.0100452378688,0.0100018378494,0.0100035615324,0.0100452378688,0.629255248568,0.0100004658068,0.313119278354,0.0100003217095,0.0100155094639,0.398481319544,0.0964303655465,0.0100050870341,0.0100024520281,0.17094246509,0.182146675914,0.0100023800826,0.0100073770007,0.0920125232996,0.2673161524,0.0100050582186,0.0100014581054,0.0100202478831,0.0267123322949,0.0100030145822,0.0534121434338,0.0100030009659,0.0488466425679,0.0100046423697,0.0662799439137,2.13689999454,256.922865648,1.65949479436,126.969572241,1.6369750618,12.1246328484,0,1.35203286264,286.880971983,5.92180082166,4.97254613884,2.32963596303,0.569409360856,1.7801265987,0.000105222279507,63.1561327075,126.888990125,78.6636628279,0,0,11.1979090472,0,11.7292164852,2.36885427408,0,155.478846545,1.91215878323,87.5816688858,3.13070840689,0.523934423355,222.025587998,19.0934804745,0.49976250341,1.44063311679,42.8356584702,27.6109203328,2.19924672673,1.675373866,19.5411659138,52.0911501627,0.383770848783,1.06301043251,0.919286534826,1.22130915008,0.72417112229,2.51235314616,0.774733322949,2.24661994925,1.05854329906,7.62047639816
sobol__0002997@@posterior_deltoid@@0.50,117.12393257,125.71245206,-53.40574635,77.4635658,-33.96572731,18.73399371,7.37898837,Posterior deltoid,DELT3,0.5,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,470.169602,0.699346216421,3.32085434707e-08,2.49722177893e-12,2.06532079748e-05,11,0,0.362653414477,0.485176652886,0.00715281068041,0.090421472452,0.239309388129,0.231710166888,0.0100055996426,0.0100109057218,0.0100074285979,0.379059413763,0.0373926266513,0.157958294748,0.120681243045,0.0203679415109,0.0100077586228,0.0100452374908,0.0984775971944,0.0963832740771,0.0190350357931,0.010009022763,0.0100006646926,0.0100033461796,0.0100025305185,0.0100047526512,0.0100067065203,0.0153327970991,0.0590980916064,0.0100041115582,0.0100203220684,0.0100103815937,0.0144538085267,0.0196920898211,0.0100212298889,0.0100130266249,0.0100110389107,0.0100146393865,0.0100194769677,0.0100207040177,0.0100169992125,0.0100139447657,0.0101714337066,0.0304054612192,0.020936736796,0.0104643904835,0.0164630192406,0.0101158794792,0.0100355784776,0.0100219540047,0.0100088381461,0.0100102497071,119.78517097,478.660894095,0.546667738479,40.1542664996,248.273020007,225.959022987,2.04236492799,1.16174378162,4.44234963713,247.565467262,17.9283768892,43.9840522713,37.8400879963,3.74187561385,2.08142500871,0,68.4605541894,65.5794712087,4.69112693269,3.70040101219,5.00128124919,2.4679286215,11.277645536,2.66088357997,3.37443225605,3.68259710374,11.393578451,3.98189865321,2.67848562735,0.973240632501,7.97426105112,5.48453392524,0.670951079199,1.61694563119,2.59074743996,1.62191041906,2.37244215699,1.73241506781,2.08274520484,1.97533829261,0.289724534863,3.1686002017,1.77782636538,0.492108333608,1.0410247886,0.392334494114,0.612252199064,0.414987535554,1.74237886462,1.1061374952
sobol__0003758@@latissimus_dorsi@@0.75,42.68057319,0.219288,31.62843333,93.26922987,15.33114769,24.11729449,41.18758212,Latissimus dorsi,LAT1;LAT2;LAT3,0.75,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,533.486036,3.20439750774,1.35953238592e-06,1.01607611214e-12,0.000735953889911,17,1,0.0100008139868,0.0100007298549,0.0586454139063,0.0100028754624,0.0100011153742,0.0211041393819,0.0100762059293,0.121328485926,0.0204826418985,0.155551048355,0.0100083340575,0.098714015623,0.0563162220682,0.0824011674016,0.0206610618572,0.144238171933,0.0100107549731,0.0100109243409,0.0100272674085,0.0100452378404,0.03216573374,0.0880017405484,0.0580797526179,0.0456507370855,0.0100000589222,0.0100002268274,0.999999590234,0.0100001651015,0.0100452378404,0.0100006645908,0.0104392072024,0.0100336126226,0.0100456139166,0.286977489705,0.0100003818587,0.0100004374417,0.681693226853,0.272958353462,0.0100130816859,0.010000390301,0.345089365806,0.751060148131,0.561604123008,0.0564221770966,0.691411604393,0.0100026484652,0.0100005560192,0.0100002465084,0.0100000605072,0.0100000728401,8.68137561481,10.9369486848,11.7247219029,4.89639661763,8.72655517887,26.46627744,2.67980870684,15.60522683,8.59834429273,86.3568520054,1.72274270153,15.0594663063,4.75139136113,9.79316784706,3.71441677531,56.9109403049,7.11058345294,6.96629532715,2.66411236063,0,16.8811723081,26.7569413273,63.2333924857,11.1150330761,3.32437868519,1.62919577864,177.63936013,3.2609727724,0,0.463197177909,5.47096968528,2.75631635901,0.000203607832921,32.0650920024,2.46797347459,1.59948488517,155.441887756,45.3782165316,1.9691155889,1.92673220409,7.6292691392,57.2835032136,36.2554513398,2.02789437903,34.1455960932,0.238352187181,0.391557782523,0.388129953304,2.00856938086,1.15077866875
sobol__0003876@@pectoralis_major@@0.50,7.87588569,29.92631925,58.87452708,128.56219862,65.01864769,20.49424762,-11.54679288,Pectoralis major,PECM1;PECM2;PECM3,0.5,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,393.917698,0.108430787202,2.0620885266e-07,3.05533376377e-13,3.18516864015e-05,13,0,0.0249663912722,0.0439711445598,0.0105191856598,0.0100807967957,0.0841155685651,0.0301130181725,0.0100392216439,0.0100206320216,0.000327900174673,7.87388905198e-05,0.000769717201011,0.0100154314883,0.0100230311241,0.0100187675723,0.0100229774684,0.0100096587604,0.0100020027329,0.010002001226,0.01000665285,0.0100452379461,0.0250406819424,0.0284150280429,0.250128379919,0.0100453306456,0.0517359396439,0.0282087419279,0.0101488458483,0.0100024903738,0.0100214223961,0.0100066084321,0.0942340047255,0.0835441949464,0.0100209271933,0.0100066887515,0.0100053718364,0.0100088601585,0.0100073793361,0.0100091890937,0.0100082682944,0.0100097768014,0.0227707667139,0.0757494500797,0.0610282079266,0.0317367221274,0.0175757243907,0.0153131253526,0.0101049540034,0.0100392314125,0.0100120837205,0.010022042929,19.7812211146,45.6889882422,2.08663357509,5.03170765643,61.6791477447,35.8180249482,2.70433876148,1.30640970855,0.0710041922149,0.0239891413892,0.130072978641,2.01730698525,1.21658973156,1.62250390601,1.98047289238,1.40358206809,7.16958683425,7.17520658098,2.73755832702,0,12.1348698994,8.60395092801,174.38790026,0.0025460385826,10.1622622478,6.39159069396,1.95737068725,3.79036900681,0.502324533111,0.925745991484,11.4005520145,18.4628042492,0.310933797018,1.53743675482,2.58926810921,1.6190756032,2.36961874487,1.73050436406,2.08639919232,1.97436643042,0.826596144155,8.27044730617,5.74959598402,1.5487411966,1.22071830865,0.706400933926,0.608603255132,0.401891484916,1.42634580211,1.02191234396
sobol__0000511@@teres_minor@@0.50,-50.79110649,73.94731534,-37.18260182,30.71307752,17.01083519,-6.07191449,-12.27921476,Teres minor,TMIN,0.5,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,356.571912,0.594180897239,6.74019089431e-08,1.55884468218e-12,0.000138942108929,24,0,0.0100209139994,0.674552506908,0.038080746988,0.045673520458,0.0100039419101,0.0100005519067,1.75928483627e-05,0.0100044091864,0.0100009456826,0.0100004049975,0.0100004190762,0.0100048922781,0.0100029450692,0.0100017581409,0.0100022752233,0.174671955621,0.0100043274859,0.0100046359687,0.0100452378874,0.0100452378874,0.185762300214,0.0100502141495,0.0896732274264,0.14294383196,0.0621513913116,0.116844061578,0.129690618795,0.0100073392899,0.0397053094691,0.0100232501302,0.0100002468204,0.0100006018813,0.0159286809986,0.0101071671516,0.0100023645327,0.0100030775328,0.0100046898312,0.0100054710366,0.0100032799677,0.0100028750359,0.0100152052372,0.0100068709055,0.0100060812083,0.0100092486381,0.0160634997223,0.0100354851148,0.0426947441881,0.0100306230538,0.0206120155223,0.0100305244385,1.66188076189,471.807423564,1.42151844071,22.3295804179,10.6182465492,12.6986518844,0.00231838592677,1.31354075608,4.22421974212,6.29487658036,4.97118820455,2.21564609525,1.77277109198,1.73436188834,1.26526749989,134.747560671,6.40304601168,5.93318594788,0,0,13.5722313628,0.0055632522469,105.578087551,37.6826098483,20.9636631822,29.5016854058,24.1774937039,4.07400078432,19.049536244,0.992432694364,5.40381482049,2.7369599473,1.19924321006,1.73032332664,2.58841168617,1.61851087412,2.36591787077,1.72959546817,2.10073411985,1.97312200145,0.307333656504,1.09267377764,0.944319306684,0.488079699852,1.05891467139,0.466539499986,3.28296794591,0.461390537614,3.51502012496,1.17050424159
sobol__0004077@@brachioradialis@@0.25,90.14151069,110.66850675,-38.97703542,118.91376112,35.64364769,18.44346637,45.17195712,Brachioradialis,BRD,0.25,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,365.167926,0.983213340931,3.62851189095e-08,3.82982534575e-12,0.000246727185267,23,0,0.287609548752,0.411002610793,0.0100014351321,0.0100004632547,0.110389847684,0.0100000471361,0.832423889379,0.0100003684439,0.0100000890222,0.0100000324416,0.0100000438774,0.0100001146416,0.0100000997741,0.0100001607222,0.010000192815,0.010045237744,0.0695889796042,0.0695283611332,0.017662535513,0.010045237744,0.0100001092368,0.0100001423901,0.0100038875128,7.38153646351e-05,0.0100016141625,0.0100065409114,0.0768245603405,0.0100062028933,0.010045237744,0.010045237098,0.0540703784008,0.0465797125877,0.010045237744,0.0100346689076,0.0100072936812,0.0100086541916,0.0144675829458,0.0100559834615,0.0100235400803,0.0100076895124,0.0126312418758,0.0267993204482,0.0196877737825,0.0100526916417,0.0201195937398,0.0100275504343,0.0100117907718,0.0100057636321,0.0100018450108,0.0100020947375,228.888666443,397.63628553,1.712421143,3.78568754818,114.679977757,11.1366552331,203.610976934,1.24907215348,4.41969553991,6.55302870552,4.95179743456,2.75792325891,2.99926266262,1.8806925726,2.07451935041,0,49.9221540626,49.8352428544,5.00202022035,0,4.93212968783,3.16643257148,8.93930178964,0.000711470522251,3.04630789379,1.37255524697,12.390774443,1.49991226749,0,2.16294674438e-06,19.4259872688,12.2158061879,0,0.519887270739,2.42495389882,1.57392734638,3.26182630996,1.65199391293,1.94213129233,1.89589906658,0.268947112671,1.94221142043,1.20222553264,0.351583878671,0.886807514889,0.217755718213,0.386610462913,0.422876121106,2.00999013996,1.16707604577
sobol__0002879@@biceps@@0.25,-53.73544243,90.67338956,80.77394115,77.9713783,79.15927269,22.69883746,-13.71476163,Biceps,BIClong;BICshort,0.25,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,298.059921,1.0636951191,1.2088455037e-07,1.21490823995e-12,0.00010150889274,23,0,0.29746852634,0.351273470775,0.0100030316413,0.698305695865,0.010006938505,0.0100001266144,0.30310311576,0.0100005264469,0.0100003864577,0.0100001794211,0.0100002831115,0.0100002633758,0.0100010795692,0.0100006007361,0.0100017664517,0.0100002186351,0.155455765475,0.152152280894,0.0299757913556,0.0100452386457,0.207431022272,0.000115200638617,0.0100016288804,0.0100004970092,0.0100008132373,0.0100035336008,0.027803746265,0.010000943801,0.0315122251641,0.0100031270597,0.400030691635,0.085110775947,0.0100070560422,0.0100035419925,0.010009353671,0.0100147537441,0.0186471077093,0.0100916108042,0.0100486518457,0.010027554692,0.026105275348,0.0695012909113,0.04700201245,0.0179825704246,0.0220714984439,0.0100385497122,0.0100111788233,0.0100116266749,0.0100071994878,0.0100053351885,44.9424020887,253.318106475,0.213617573649,167.540615973,0.195318271236,12.35363701,66.8884096739,1.35732651945,4.41508087831,5.64444967889,4.97112986652,1.41071075395,0.388721245414,1.79621395796,1.16042541058,3.99612435259,108.148019659,103.600337938,7.42498027707,0,16.8578782095,0.000105693009098,11.2649968842,2.68113718908,3.36891338994,2.47417864599,5.36327991078,4.07936291948,13.4637733472,1.01007489736,201.443580926,16.1446329479,0.717272354364,1.67035665262,2.59007043388,1.61338895592,4.41538759681,1.74475699651,2.10042087899,1.97717770882,0.890848282639,7.58949954319,4.41309406289,0.87743833149,1.56753834759,0.469637097397,0.597121080768,0.388893482467,1.3507937532,0.984134439279
sobol__0000623@@teres_minor@@0.50,-43.58407524,66.71098722,-15.35642995,9.7658119,4.35458519,16.6575777,52.52547274,Teres minor,TMIN,0.5,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,349.490554,0.373359145434,2.76208815819e-08,1.15121002497e-12,0.000224448181184,25,0,0.0100067564435,0.503849806209,0.0935130482823,0.0100023200999,0.0100011116937,0.0481772936952,1.86410307069e-05,0.0100240320712,0.0100017039057,0.0100006402922,0.0100006407167,0.0255359235981,0.0100123986984,0.0100036478499,0.0100024227325,0.12039056615,0.0100073212806,0.010009028222,0.0100452383612,0.0100452383612,0.125432872201,0.0108444361601,0.0548441738719,0.12243383712,0.0793349919327,0.0513884315787,0.208941889349,0.0100007480219,0.0304475399577,0.0100020414303,0.0100001829066,0.0100003727733,0.0100079910745,0.010002568224,0.0100009866458,0.010001332149,0.0100020608542,0.0100024578676,0.0100016112858,0.010001288432,0.0100308704884,0.0100135543879,0.0100136089418,0.0100109762512,0.0477375244214,0.0100276878588,0.0100781536269,0.0100044206101,0.0100014760415,0.0100016057651,1.91585996934,424.22966095,6.73831435248,4.99092789428,10.0911706944,59.5443579879,0.00249139461205,1.2989380514,4.40520777553,6.56264567489,4.87313743485,5.37934800428,1.52611698905,1.71062963277,1.5275991599,92.8719741002,5.22036070912,4.04520244629,0,0,6.17717292288,0.0490109866225,64.1671698157,29.2747062149,17.507870512,6.69306844333,40.2823325637,3.93807127834,5.72964704828,0.926177525217,4.24714250982,2.81254526061,0.613001634225,1.57732655783,2.40051751626,1.56159588986,2.23762048051,1.63003822223,1.92101918378,1.88172364861,0.241359296413,0.847114346142,0.702207232377,0.381660779493,2.71854368034,0.189851531492,0.405704134401,0.434655972848,1.98105932498,1.16710649368
sobol__0001400@@teres_major@@0.00,-27.32430962,2.53618253,14.59962474,41.56756971,51.62021019,-8.68666059,-42.57218351,Teres major,TMAJ,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,555.638316,0.499728132275,2.22886349377e-07,7.46069872548e-13,4.45139117585e-05,5,0,0.0437833289659,0.0100222840285,0.0100613573021,0.0100489925445,0.026886396447,0.0100163885603,0.0107166889809,0.00113735286658,0.028301424232,0.0767569063101,0.0248650980486,0.0100645108552,0.0100754215799,0.010092942304,0.0147827554402,0.0100456751188,0.0100382588208,0.0100390847144,0.0101278259766,0.0101278259766,0.0100278899933,0.0100446248691,0.023764661938,0.0100582217609,0.0101278259766,0.59031648568,0.0100022359761,0.30315303935,0.0100010123394,0.0100326142767,0.108388508575,0.0335102907364,0.0100162334456,0.0100090177251,0.051870654303,0.0823695737132,0.0100069496806,0.0100152770621,0.0112993640591,0.128895311355,0.0100252384217,0.0100071155105,0.0289485541731,0.0392219523404,0.0100160277828,0.057367482003,0.0100137298952,0.0280786214046,0.0100103769743,0.0113882186096,35.8695358239,10.9359805187,1.98741266279,4.90983835553,26.9323384753,12.7431226888,2.79192749764,0,12.0075828137,43.9830897577,3.97473790166,2.12967406571,1.2279727467,1.61840173019,2.71151998212,6.4467980563,6.5900863491,6.3924298889,0,0,2.2888880504,2.42237170827,27.9778340081,2.75152471593,0,142.893027244,1.82010400624,110.405124123,4.07377490748,0.713861002245,60.1742203776,8.37615597656,0.662865708687,1.67253306071,13.0901143332,12.5424671553,2.21926189543,1.68664163771,2.39960822109,25.1175329608,0.360154686483,1.08602457398,2.6988386319,1.82185215399,0.718085066316,2.70414352746,0.787811333959,1.29146378929,1.09034127616,1.31320639433
sobol__0000625@@middle_deltoid@@0.00,52.04092476,70.77348722,-38.79392995,54.4533119,79.35458519,9.0013277,-41.22452726,Middle deltoid,DELT2,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,286.485305,4.63348326609,2.54470648997e-08,7.02726765667e-12,0.000600803219497,29,2,0.506989419016,0.000674556923228,0.0100001835696,0.0100003389764,0.99999993894,0.0100000897311,0.979580792276,0.0100000844528,0.0100002248454,0.0100000121262,0.0100000116663,0.0100000499017,0.0100000391962,0.0100000435337,0.0100000865939,0.0100000595237,0.403110512953,0.393858027092,0.0263754056268,0.0100452378057,0.724629359779,0.0100000991037,0.0100009040523,0.0100000946439,0.0100452378057,0.0100008374799,0.0100003699642,0.0100001924239,0.0100001850327,0.0100008005852,0.999999854605,0.683197946984,0.0100008318928,0.0100003766057,0.010001177961,0.0100036309104,0.0100013004002,0.0100017741908,0.0100020557412,0.0156188597794,0.055656087533,0.111306128396,0.163334161655,0.121645785947,0.0100026353131,0.0100113873974,0.0100079140085,0.0716245139287,0.0958383422777,0.174711799287,617.448801908,0,2.01416631684,4.84396358776,986.561899907,13.0247859574,239.058857221,1.43837208097,4.41219903325,6.4417766085,4.59046121733,2.67894256296,2.88931812928,1.82458176478,2.02598276012,2.73320385258,270.765827889,258.478814101,2.06756853869,0,275.466762718,1.07867594653,11.7187689601,2.75928890563,0,2.51376749889,1.92905203735,3.40770157818,4.79782008466,0.698449023389,531.011461787,129.392164401,0.736564431928,1.70775583996,2.49303464411,1.47930042897,2.31191491501,1.70938756541,2.12402080536,2.98864329446,2.11616599937,11.8911018366,15.3586102164,5.795530992,0.724048081592,0.472962467033,0.780677397083,3.18235261496,10.4921063503,18.5509587615
