sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
refine__sobol__0000447__deviation__m2,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,3.13902301,37.40828524
refine__sobol__0000447__deviation__m5,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,0.13902301,37.40828524
refine__sobol__0000447__deviation__p2,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,7.13902301,37.40828524
refine__sobol__0000447__deviation__p5,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,10.13902301,37.40828524
refine__sobol__0000447__elbow_flexion__m2,-52.19735649,125.74419034,83.52052318,117.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__elbow_flexion__m5,-52.19735649,125.74419034,83.52052318,114.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__elbow_flexion__p2,-52.19735649,125.74419034,83.52052318,121.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__elbow_flexion__p5,-52.19735649,125.74419034,83.52052318,124.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__elv_angle__m2,-54.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__elv_angle__m5,-57.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__elv_angle__p2,-50.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__elv_angle__p5,-47.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
refine__sobol__0000447__flexion__m2,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,35.40828524
refine__sobol__0000447__flexion__m5,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,32.40828524
refine__sobol__0000447__flexion__p2,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,39.40828524
refine__sobol__0000447__flexion__p5,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,42.40828524
refine__sobol__0000447__pro_sup__m2,-52.19735649,125.74419034,83.52052318,119.07245252,-43.73916481,5.13902301,37.40828524
refine__sobol__0000447__pro_sup__m5,-52.19735649,125.74419034,83.52052318,119.07245252,-46.73916481,5.13902301,37.40828524
refine__sobol__0000447__pro_sup__p2,-52.19735649,125.74419034,83.52052318,119.07245252,-39.73916481,5.13902301,37.40828524
refine__sobol__0000447__pro_sup__p5,-52.19735649,125.74419034,83.52052318,119.07245252,-36.73916481,5.13902301,37.40828524
