sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
anchor__abduction_45,0.00000000,45.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
anchor__external_rotation,0.00000000,20.00000000,60.00000000,90.00000000,0.00000000,0.00000000,0.00000000
sobol__0000004,17.06045601,57.44340909,79.71192943,2.52948377,21.07333519,20.10972613,27.79891024
sobol__0000008,-16.68954399,33.06840909,51.58692943,75.65448377,-28.92666481,13.54722613,20.29891024
sobol__0000012,5.81045601,16.81840909,-42.16307057,59.40448377,-48.92666481,9.17222613,35.29891024
sobol__0000016,-44.81454399,53.38090909,-28.10057057,39.09198377,6.07333519,-9.42152387,-20.95108976
sobol__0000020,22.68545601,4.63090909,28.14942943,87.84198377,66.07333519,-5.04652387,-35.95108976
sobol__0000024,-33.56454399,29.00590909,56.27442943,30.96698377,-63.92666481,1.51597613,-43.45108976
sobol__0000028,-11.06454399,45.25590909,0.02442943,112.21698377,-3.92666481,5.89097613,-28.45108976
sobol__0000032,-58.87704399,43.22465909,86.74317943,53.31073377,63.57333519,-7.78089887,-49.07608976
sobol__0000036,8.62295601,26.97465909,-7.00682057,69.56073377,3.57333519,-3.40589887,-4.07608976
sobol__0000040,-25.12704399,2.59965909,-53.88182057,12.68573377,-6.42666481,-1.21839887,-11.57608976
sobol__0000044,-2.62704399,51.34965909,39.86817943,126.43573377,-66.42666481,3.15660113,-56.57608976
sobol__0000048,-42.00204399,22.91215909,16.43067943,97.99823377,28.57333519,21.75035113,14.67391024
sobol__0000052,25.49795601,39.16215909,-39.81932057,16.74823377,48.57333519,17.37535113,59.67391024
sobol__0000056,-30.75204399,63.53715909,7.05567943,89.87323377,-41.42666481,15.18785113,52.17391024
sobol__0000060,-8.25204399,14.78715909,63.30567943,41.12323377,-21.42666481,10.81285113,7.17391024
sobol__0000064,-51.84579399,60.49028409,31.66505443,25.88885877,-15.17666481,9.44566363,-6.88858976
sobol__0000068,15.65420601,11.74028409,-24.58494557,107.13885877,-75.17666481,13.82066363,-51.88858976
sobol__0000072,-18.09579399,19.86528409,3.54005443,34.01385877,74.82333519,20.38316363,-59.38858976
sobol__0000076,4.40420601,36.11528409,59.79005443,82.76385877,14.82333519,24.75816363,-14.38858976
sobol__0000080,-46.22079399,7.67778409,73.85255443,78.70135877,-50.17666481,6.16441363,56.86141024
sobol__0000084,21.27920601,56.42778409,-19.89744557,62.45135877,-30.17666481,1.78941363,11.86141024
sobol__0000088,-34.97079399,48.30278409,-48.02244557,119.32635877,39.82333519,-4.77308637,4.36141024
sobol__0000092,-12.47079399,32.05278409,45.72755443,5.57635877,59.82333519,-9.14808637,49.36141024
sobol__0000096,-54.65829399,25.95903409,-36.30369557,96.98260877,-37.67666481,3.43003863,28.73641024
sobol__0000100,12.84170601,42.20903409,19.94630443,48.23260877,-57.67666481,-0.94496137,43.73641024
sobol__0000104,-20.90829399,50.33403409,66.82130443,105.10760877,52.32333519,-3.13246137,36.23641024
sobol__0000108,1.59170601,1.58403409,10.57130443,23.85760877,32.32333519,-7.50746137,21.23641024
sobol__0000112,-37.78329399,38.14653409,-12.86619557,11.67010877,-72.67666481,11.08628863,-35.01358976
sobol__0000116,29.71670601,21.89653409,80.88380443,125.42010877,-12.67666481,15.46128863,-20.01358976
sobol__0000120,-26.53329399,13.77153409,34.00880443,52.29510877,17.32333519,17.64878863,-27.51358976
sobol__0000124,-4.03329399,62.52153409,-59.74119557,68.54510877,77.32333519,22.02378863,-42.51358976
sobol__0000128,-49.73641899,34.59184659,-56.81150807,108.66229627,-55.80166481,1.10581988,-57.04483976
sobol__0000132,17.76358101,18.34184659,36.93849193,27.41229627,-35.80166481,5.48081988,-12.04483976
sobol__0000136,-15.98641899,10.21684659,83.81349193,84.28729627,34.19833519,-9.83168012,-4.54483976
sobol__0000140,6.51358101,58.96684659,-9.93650807,35.53729627,54.19833519,-5.45668012,-49.54483976
sobol__0000144,-44.11141899,30.52934659,13.50099193,63.97479627,-10.80166481,13.13706988,6.70516024
sobol__0000148,23.38858101,46.77934659,69.75099193,80.22479627,-70.80166481,8.76206988,51.70516024
sobol__0000152,-32.86141899,54.90434659,22.87599193,7.09979627,79.19833519,24.07456988,59.20516024
sobol__0000156,-10.36141899,6.15434659,-33.37400807,120.84979627,19.19833519,19.69956988,14.20516024
sobol__0000160,-58.17391899,0.06059659,43.96974193,45.69354627,-78.30166481,15.87144488,34.83016024
sobol__0000164,9.32608101,48.81059659,-49.78025807,94.44354627,-18.30166481,11.49644488,19.83016024
sobol__0000168,-24.42391899,40.68559659,-21.65525807,21.31854627,11.69833519,22.43394488,27.33016024
sobol__0000172,-1.92391899,24.43559659,72.09474193,102.56854627,71.69833519,18.05894488,42.33016024
sobol__0000176,-41.29891899,60.99809659,58.03224193,122.88104627,-33.30166481,-0.53480512,-28.91983976
sobol__0000180,26.20108101,12.24809659,1.78224193,9.13104627,-53.30166481,3.84019488,-43.91983976
sobol__0000184,-30.04891899,20.37309659,-26.34275807,66.00604627,56.69833519,-7.09730512,-36.41983976
sobol__0000188,-7.54891899,36.62309659,29.90724193,49.75604627,36.69833519,-2.72230512,-21.41983976
sobol__0000192,-53.95516899,17.32622159,66.23536693,2.02167127,0.44833519,-5.18324262,20.76766024
sobol__0000196,13.54483101,33.57622159,9.98536693,115.77167127,60.44833519,-9.55824262,35.76766024
sobol__0000200,-20.20516899,57.95122159,-36.88963307,58.89667127,-69.55166481,5.75425738,43.26766024
sobol__0000204,2.29483101,9.20122159,19.36036693,75.14667127,-9.55166481,1.37925738,28.26766024
sobol__0000208,-48.33016899,45.76372159,42.79786693,87.33417127,45.44833519,19.97300738,-42.98233976
sobol__0000212,19.16983101,29.51372159,-50.95213307,38.58417127,25.44833519,24.34800738,-27.98233976
sobol__0000216,-37.08016899,5.13872159,-4.07713307,111.70917127,-24.55166481,9.03550738,-20.48233976
sobol__0000220,-14.58016899,53.88872159,89.67286693,30.45917127,-44.55166481,13.41050738,-35.48233976
sobol__0000224,-56.76766899,51.85747159,-1.73338307,73.11542127,22.94833519,18.33238238,-14.85733976
sobol__0000228,10.73233101,3.10747159,54.51661693,56.86542127,42.94833519,22.70738238,-59.85733976
sobol__0000232,-23.01766899,27.48247159,26.39161693,129.99042127,-47.05166481,11.76988238,-52.35733976
sobol__0000236,-0.51766899,43.73247159,-29.85838307,16.24042127,-27.05166481,16.14488238,-7.35733976
sobol__0000240,-39.89266899,15.29497159,-43.92088307,20.30292127,67.94833519,-2.44886762,48.89266024
sobol__0000244,27.60733101,64.04497159,49.82911693,101.55292127,7.94833519,-6.82386762,3.89266024
sobol__0000248,-28.64266899,39.66997159,77.95411693,44.67792127,-2.05166481,4.11363238,11.39266024
