sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion,usable,status,reason,duration_ms,objective,max_assembly_error_deg,max_equilibrium_residual,max_reserve_torque_nm,muscles_at_floor,muscles_at_capacity,activation__DELT1,activation__DELT2,activation__DELT3,activation__SUPSP,activation__INFSP,activation__SUBSC,activation__TMIN,activation__TMAJ,activation__PECM1,activation__PECM2,activation__PECM3,activation__LAT1,activation__LAT2,activation__LAT3,activation__CORB,activation__TRIlong,activation__TRIlat,activation__TRImed,activation__ANC,activation__SUP,activation__BIClong,activation__BICshort,activation__BRA,activation__BRD,activation__ECRL,activation__ECRB,activation__ECU,activation__FCR,activation__FCU,activation__PL,activation__PT,activation__PQ,activation__FDSL,activation__FDSR,activation__FDSM,activation__FDSI,activation__FDPL,activation__FDPR,activation__FDPM,activation__FDPI,activation__EDCL,activation__EDCR,activation__EDCM,activation__EDCI,activation__EDM,activation__EIP,activation__EPL,activation__EPB,activation__FPL,activation__APL,active_force_n__DELT1,active_force_n__DELT2,active_force_n__DELT3,active_force_n__SUPSP,active_force_n__INFSP,active_force_n__SUBSC,active_force_n__TMIN,active_force_n__TMAJ,active_force_n__PECM1,active_force_n__PECM2,active_force_n__PECM3,active_force_n__LAT1,active_force_n__LAT2,active_force_n__LAT3,active_force_n__CORB,active_force_n__TRIlong,active_force_n__TRIlat,active_force_n__TRImed,active_force_n__ANC,active_force_n__SUP,active_force_n__BIClong,active_force_n__BICshort,active_force_n__BRA,active_force_n__BRD,active_force_n__ECRL,active_force_n__ECRB,active_force_n__ECU,active_force_n__FCR,active_force_n__FCU,active_force_n__PL,active_force_n__PT,active_force_n__PQ,active_force_n__FDSL,active_force_n__FDSR,active_force_n__FDSM,active_force_n__FDSI,active_force_n__FDPL,active_force_n__FDPR,active_force_n__FDPM,active_force_n__FDPI,active_force_n__EDCL,active_force_n__EDCR,active_force_n__EDCM,active_force_n__EDCI,active_force_n__EDM,active_force_n__EIP,active_force_n__EPL,active_force_n__EPB,active_force_n__FPL,active_force_n__APL
anchor__abduction_45,0,45,0,0,0,0,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,351.992566,0.735703778635,0.000546006453053,2.13162820728e-12,1.95445340621e-05,26,0,0.296442285871,0.364102821114,0.0100059590589,0.12230849818,0.0615417024816,0.12330584943,0.0100076940888,0.0100052216428,0.0376748084323,0.0100038487203,0.0100025328078,0.0100039115708,0.0100047397027,0.0100041531111,0.0100077176414,0.417253452148,0.429519481454,0.31239062485,0.0100452377657,0.045830984406,0.0100071516986,0.0100057978228,0.0100007816867,0.01000286328,0.0408948825773,0.0484052954809,0.0563076287386,0.010001542689,0.0100009962993,0.0100054588676,0.0100025557845,0.0100128210827,0.0100075217934,0.0100039493152,0.0100038017036,0.0100060363438,0.0100044957238,0.0100060250181,0.0100053304819,0.0100060269426,0.0198674699459,0.0863669330666,0.0100452377657,0.0380421269853,0.0361489903693,0.017291576347,0.0201860448995,0.0100746596966,0.0100079524634,0.0100340818507,206.903899966,360.237615933,1.89134592309,58.3968040177,66.1649072771,153.856210049,2.66796156817,1.35570880206,16.7158377666,6.36744705568,4.41941311449,2.40858584723,1.80164522971,1.70193505681,2.07968483447,315.767074356,187.889533298,99.3875509076,0,16.577894676,1.98036909422,0.955086642954,11.4985544995,2.32060147187,12.5948251688,11.4979369864,10.8616391935,3.90466937138,4.79267487677,0.994205316894,3.79973857256,2.83824059755,0.753444928696,1.71262172931,2.58882876679,1.6248516768,2.36893285999,1.72995503701,2.08090763196,1.9741052744,0.66049694442,9.43087366046,0,1.85609507466,2.5587734986,0.727908861442,1.4598842109,0.463417307664,1.92416969905,1.17091486081
anchor__external_rotation,0,20,60,90,0,0,0,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,410.274886,0.0193081015267,1.97890396381e-08,1.20792265079e-13,6.87280108873e-06,8,0,0.0246960647157,0.0238362756611,0.0100614336513,0.0100436055513,0.0513162071534,0.0208740559132,0.0100396809142,0.0100251419407,0.0100694913973,0.0101713690776,0.0131702365662,0.0100208117883,0.0100295904031,0.0100260153614,0.0100359660768,0.0100265247902,0.0100123363802,0.0100125247524,0.0100293766851,0.0100429907516,0.0227317552076,0.0274041132653,0.0480818869022,0.0380776011896,0.0448969207972,0.0435661189839,0.0330378810088,0.0100041727208,0.010006666564,0.0100101799709,0.0159473202231,0.0100465875666,0.0100197152189,0.0100105245309,0.0100059956888,0.0100088053937,0.0100085238012,0.0100104543693,0.0100087643729,0.0100085048116,0.0101119094936,0.0294440317004,0.0100452385343,0.0121325128278,0.0123808197011,0.0104232832497,0.0101052095532,0.0100276417269,0.01000905384,0.0100133175076,18.4627160408,25.3359976993,1.99485950188,5.0135860694,35.9339414677,25.17730287,2.70429070526,1.27735710707,4.3371427067,6.1344059233,4.15212338405,1.88235359361,0.991723199809,1.56369810226,1.94188299271,3.27001091634,7.0815142554,6.93541695126,2.63438884031,3.63273111128,11.7928192494,8.65344417145,52.7572830002,9.50508925911,14.1077019543,10.9784571627,5.53454005473,3.81719365562,3.94585256296,0.937281940142,8.62668516617,2.84781206646,0.651298931929,1.60136527555,2.58939653613,1.6253013349,2.36988665567,1.73072083347,2.08162181227,1.97459413719,0.256934739617,2.9539476611,0,0.587535936071,0.686321050728,0.438780137248,0.730823494546,0.461254560578,1.92438145421,1.16849179129
sobol__0000004,17.06045601,57.44340909,79.71192943,2.52948377,21.07333519,20.10972613,27.79891024,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,305.155335,0.50516383364,1.47782115434e-07,2.16715534407e-12,2.4134567745e-05,27,0,0.0290011419366,0.4078229913,0.0100037976943,0.0100070243337,0.0100008742489,0.0100005394481,0.0100452378004,0.0100084897113,0.0100027740709,0.0100011517188,0.0100015644398,0.0100128002847,0.0100063236877,0.0100054266691,0.0100059692274,0.104638442507,0.441774498657,0.326933305165,0.0100452378004,0.0100452378004,0.0100058201979,0.0100047619411,0.0100008162272,0.0100029456538,0.0100176351112,0.0204193431964,0.0720833187109,0.0100015675423,0.0100011711348,0.010006370355,0.0100056500203,0.0402727876066,0.010007852514,0.010004145408,0.0100041357617,0.0100064746297,0.010004658906,0.0100060654542,0.0100054024378,0.0100064615128,0.0173777399854,0.0835993940138,0.0590159988081,0.0348296241702,0.0332622602252,0.0140517248178,0.0149999580105,0.0128862834719,0.0140289668175,0.026110731063,26.7608468634,397.06797678,2.00891984702,4.94823179414,7.07444769602,11.7377392175,0,1.35884190345,4.38502422179,6.28721588906,4.33737396431,2.35409515785,1.93347671234,1.70733815544,2.08004033181,56.6591459537,202.483809854,110.893626647,0,0,2.32651054182,0.722166610973,11.567565108,2.33025557495,2.26419087952,3.25720075449,13.8883377423,4.07961532088,4.11979733195,0.996877385704,4.61483744796,10.9214030996,0.71319228952,1.66198201004,2.51563164205,1.62180181428,2.31965277371,1.69080429447,2.00011527977,1.95558344034,0.540154440704,9.04062403875,5.1539914001,1.63905257009,2.29024708676,0.412460138551,0.687152462197,0.528316066502,2.7815555371,3.00247461521
sobol__0000008,-16.68954399,33.06840909,51.58692943,75.65448377,-28.92666481,13.54722613,20.29891024,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,286.279283,0.0287181878634,1.39388411924e-08,4.61852778244e-13,3.89312805931e-06,12,0,0.0100053827296,0.0909598197889,0.0510059619044,0.010012205968,0.0560161449315,0.0381659786394,0.0120882452245,0.0100562771648,0.0100075046908,0.0100033853948,0.0100047851753,0.0100435129459,0.0100547746082,0.0100228261853,0.0100089060964,0.0329989652363,0.0100095424157,0.010009706025,0.0100263628624,0.029787195621,0.0301940058713,0.0177883630675,0.0638310157622,0.022004164029,0.0125889383306,0.0211207020041,0.0294035452118,0.0100051147438,0.0100221584612,0.0100125543129,0.0100116693059,0.0100181038293,0.0100246964581,0.0100127637859,0.0100068029811,0.010009691749,0.0100102628673,0.0100121303851,0.0100099554144,0.0100094558258,0.0100741274313,0.0171172366944,0.0123410908682,0.0101088982969,0.0104315945291,0.0100846592165,0.0100527688335,0.0100260898693,0.0100102351287,0.0100127992343,5.43826384332,94.4438776166,9.70787545144,4.96121818263,40.2481899922,45.3965696615,3.25143385067,1.26545359145,4.40430559731,6.24333330656,4.1518561225,1.8560123347,0.988302488253,1.597345956,2.0392297392,14.2960575705,6.94089261304,6.79296116843,2.41078261016,11.1444769857,15.8498097831,5.58201179577,72.2296627147,5.87028775724,4.2461445859,4.66192976079,5.48734900603,3.85699029868,2.07422755505,0.928955665644,5.54819196881,2.83022007492,0.570287316883,1.57953189624,2.57553136701,1.62651261304,2.36306583574,1.72262895735,2.0428829985,1.97446934474,0.241302575979,1.52857029279,0.922888082027,0.428745474483,0.579071217421,0.332403620527,0.581840464793,0.446153453234,1.9974015611,1.16705668967
sobol__0000012,5.81045601,16.81840909,-42.16307057,59.40448377,-48.92666481,9.17222613,35.29891024,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,347.530012,0.0537229652282,1.77714412075e-08,4.5134149776e-13,5.37166269026e-06,14,0,0.0662201257485,0.163332654793,0.0100186065204,0.0396372420306,0.0598645997468,0.0101014059313,0.0100295788482,0.0100114267124,0.0100120931615,0.0100035945725,0.0100042028449,0.0100094528311,0.0100115298143,0.0100089982541,0.0100143677157,0.0100036872455,0.0100107540382,0.0100109394993,0.0100342405458,0.0100237100854,0.0850548845318,0.0100124622232,0.0430645240193,0.0406706915843,0.0129735926222,0.0189139584733,0.0370359056305,0.0100044110834,0.0100200152872,0.01001130031,0.0236187950845,0.0100718397627,0.010020767936,0.0100106506392,0.0100055863278,0.0100078878623,0.0100083518124,0.0100099115976,0.0100080834139,0.0100074486213,0.0100803716479,0.0189685022565,0.0143999991686,0.0101333909693,0.011043001312,0.0100770789047,0.0100421737672,0.0100206009654,0.0100072091909,0.0100089186757,42.9124071886,173.546322839,1.90997812098,19.1172563553,60.0731439413,13.0791183824,2.32646319793,1.35743277443,4.44301377565,6.21884867546,3.29693201575,2.4566058895,1.76936308939,1.67930715856,1.93634813293,5.51409010466,6.77783620304,6.62744381341,1.20700998488,3.58662686651,43.6882869066,3.13327788641,50.1390811546,11.2251019948,4.26119987728,3.77837449516,6.46828593208,3.87393738201,2.51549811994,0.924409470363,10.0508458467,2.64611027681,0.602445922423,1.58053189498,2.51799070902,1.62253236811,2.32579345334,1.69358109796,2.00473543875,1.95269770653,0.205039201067,1.4525995131,0.960027983011,0.386841940411,0.554053126155,0.273402380456,0.563391407522,0.459583559655,2.00995979114,1.16763799565
sobol__0000016,-44.81454399,53.38090909,-28.10057057,39.09198377,6.07333519,-9.42152387,-20.95108976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,305.120494,4.60727358998,4.96476026512e-07,3.54093617343e-12,0.000412646963146,26,3,0.0100231516639,0.373648992425,0.0326249952402,0.0557782076266,0.0100097066743,0.0100418402884,0.0100100841449,0.0100105637732,0.0100043664518,0.0100012619936,0.0100012382171,0.0100111704606,0.0100119366416,0.0100055390229,0.0100038102687,0.129099654286,0.120487297769,0.116379000548,0.0100452375859,0.0100452375859,0.323721158457,0.120653851306,0.0100035322136,0.0100037860008,0.0100452375859,0.999999926934,0.0100000855411,0.999999169294,0.0100000202276,0.0100006180844,0.0100003684607,0.01000096765,0.0100004536968,0.0100002310703,0.0100005131452,0.0100035252747,0.0100001796711,0.0100003380185,0.0100005376837,0.139821514598,0.0100046597185,0.0100007525764,0.99999721934,0.925277796355,0.0100010754712,0.600316789603,0.0100034237673,0.243541461774,0.0100002260346,0.0100064095944,1.60733701637,365.244712662,2.43905201838,26.92550479,10.7643727738,12.834956303,2.57653034902,1.27494462017,4.4216247868,6.57174210668,4.74766803636,2.05375188032,1.26346370276,1.68210533837,1.92517704659,99.5301185118,78.7060457228,73.4301367097,0,0,59.5635931884,10.7267872736,11.7776272799,2.73793355207,0,249.118994959,1.79257428729,406.772584697,4.78553752381,0.94666755803,5.36848752266,2.80290233572,0.751731958883,1.71186034425,2.58321861647,1.5910465592,2.33778898912,1.7242116882,2.11797615887,27.5272236347,0.317303535315,1.09207543357,94.398867379,44.5321507629,0.663156303158,28.3768528366,0.799027473371,11.202486186,1.51206802801,1.16764455157
sobol__0000020,22.68545601,4.63090909,28.14942943,87.84198377,66.07333519,-5.04652387,-35.95108976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,428.212141,0.0347549707028,5.78362655546e-08,1.70530256582e-13,9.75243737435e-06,15,0,0.028894585488,0.0100057975032,0.0100277919691,0.010013248101,0.0267439285583,0.010004930386,0.0122443838971,0.0100443633146,0.0305744765783,0.0810954181143,0.0264736190223,0.010028256842,0.010030560014,0.0100393140646,0.0158346157149,0.0100287535607,0.0100091660535,0.0100093209255,0.0100252803014,0.0100452378127,0.0100447531214,0.0341166237351,0.0705534159139,0.0186559438164,0.0353410866897,0.0517944858951,0.0461765592379,0.0100026348933,0.0100067497366,0.0100074111674,0.0563561005633,0.0109822864246,0.0100164665237,0.0100085817612,0.0100053918709,0.0100081804779,0.0100083979995,0.0100098123987,0.0100076646267,0.010007679231,0.0138914864218,0.052337145099,0.0414416976556,0.0197549075495,0.0238549016558,0.014814314574,0.0101589552944,0.0100243842939,0.0100083969102,0.0100102740774,25.3959428287,10.8554457729,2.00213917444,4.96504644435,24.2727671781,12.5274850742,3.25468899163,1.30423208226,12.8940405995,46.0267709466,4.5082068912,2.07496180494,1.20051067187,1.60580595167,2.90106325585,4.07428293081,7.05880108295,6.91205101336,2.61282911384,0,4.85346391611,10.8081384486,77.7979959463,4.78975398352,10.6193371071,12.8195040554,7.5703171029,4.07889060964,4.77930619998,1.00953530507,27.7098366293,2.39593444351,0.745130327564,1.70835769697,2.55919915165,1.55246482402,2.2915107322,1.71171207475,2.12434419525,1.9615906499,0.464215456874,5.71506455271,3.91191239948,0.943602466957,1.56957811824,0.70066894004,0.795447291286,0.461052960875,1.23863479334,1.16110578371
sobol__0000024,-33.56454399,29.00590909,56.27442943,30.96698377,-63.92666481,1.51597613,-43.45108976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,358.53239,0.0506162180865,1.17429763691e-08,1.30748528604e-13,1.07759254825e-05,13,0,0.0100017349535,0.117851894327,0.109497994288,0.0100025828929,0.0100011037185,0.0100035924285,0.0100452376365,0.0598184298746,0.0100031298893,0.0100009835829,0.0100011236709,0.0868950283293,0.0298880687949,0.0100585096958,0.0100039695891,0.0220896645524,0.010011856311,0.0100125167918,0.0100452376365,0.0100553776454,0.0284550748929,0.0100036434938,0.0268152678367,0.0104162308857,0.0100452376365,0.0726731531766,0.0100303132395,0.0100078173401,0.0100037820035,0.0100185667214,0.0100665155493,0.0100424463854,0.0100213465222,0.0100115412674,0.0100089023154,0.0100139615813,0.0100097810096,0.0100122782016,0.0100101453728,0.0100130475186,0.0101858478463,0.0234790457177,0.02733084547,0.014650828537,0.011683905875,0.0117939495591,0.0101404826711,0.0100427053392,0.0100120111422,0.0100196536341,4.32271201436,124.771685529,20.5373201198,4.55569996326,6.54788270504,12.0590307191,0,6.60723680901,4.39633890706,6.24442562288,4.22261599797,14.4331050423,2.15223059204,1.54094590299,2.0261122838,15.0175657582,6.41270609054,5.95518527327,0,3.48818442452,10.126723287,2.16940151226,31.5713859156,2.65342049251,0,17.6975773277,1.93477138088,2.58056246723,4.23826030808,0.463996052265,2.52583028147,2.46412956948,0.55276788481,1.47022503791,2.16317272492,1.27270997281,2.07476195042,1.57044895027,2.12482426141,1.70469248387,0.399938349116,2.44685326349,2.49622587142,0.673173337334,0.845908900257,0.555336761029,0.88968255893,0.460133453677,1.09631083139,1.11939146053
sobol__0000028,-11.06454399,45.25590909,0.02442943,112.21698377,-3.92666481,5.89097613,-28.45108976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,332.17094,0.0651304034692,4.94948864116e-08,3.90798504668e-13,6.13414590393e-06,11,0,0.0221922180159,0.19342065119,0.0102879227367,0.0686197099653,0.0788340034048,0.0100177599458,0.0100250648108,0.0100119030526,0.0100097680985,0.0100029529258,0.0100029060596,0.0100093434634,0.010011577443,0.0100086344737,0.0100081398546,0.0100088134557,0.0100120266484,0.0100120749537,0.0100272749782,0.0100207609437,0.036594766005,0.0100075899432,0.0479777894048,0.021337314021,0.0521340021824,0.0543866173262,0.0110872674084,0.0100058807323,0.0100054686046,0.0100129621721,0.0313282890201,0.0101227727487,0.0100221807286,0.0100125281641,0.010008527402,0.010013170819,0.0100101615489,0.0100127880445,0.010011130035,0.0100124822723,0.0101537876329,0.027694851036,0.0278393839444,0.0144304358496,0.0114742479102,0.0109426063462,0.0102516131544,0.0100419967316,0.0100120822507,0.0100226772646,12.4241963482,191.722905431,1.89844881889,33.2147253041,84.509812842,12.4464041536,2.6709045595,1.33683092587,4.44310311248,6.42735417292,4.48473236701,2.31813901536,1.62842617143,1.6900645843,2.08177196592,3.39994933702,7.18233268006,7.14328788851,2.83425087047,3.73379702959,18.3222330514,3.15620842781,48.1276620738,2.24971378685,10.7946486537,13.7268045026,2.13176002427,3.91928471785,3.78756429514,0.975078921115,16.1304518757,2.87969078099,0.653565461926,1.61650148757,2.54203204869,1.50135336311,2.33766925041,1.72147440264,2.12555748102,1.92349036362,0.358186328303,3.02171655633,2.62801770668,0.698820843837,0.79505171415,0.517567040247,0.828211326098,0.458019726149,1.35598144636,1.13803136983
sobol__0000032,-58.87704399,43.22465909,86.74317943,53.31073377,63.57333519,-7.78089887,-49.07608976,1,usable,Converged with independently replayed constrained generalized-force equilibrium and small reserve torques,285.060817,0.78141111993,1.25687842356e-07,3.00559577227e-12,6.25277167915e-05,22,0,0.0100027370572,0.174252795264,0.460897441387,0.3846721268,0.010000338388,0.0100001148352,0.0100452377931,0.0100039917361,0.010000615326,0.0100001715381,0.010000198991,0.0100026558932,0.0100027730729,0.0100007904083,0.0100007444341,0.17812795534,0.0532712725908,0.052035979243,0.0100647458484,0.0100452377931,0.44036797135,0.010001239617,0.0100062320813,0.0100018556938,0.0100452377931,0.204855322724,0.0100015400425,0.0381817339584,0.0100007227233,0.0100106040241,0.305677717501,0.09262001596,0.0100076304366,0.0100040996068,0.0339094037799,0.0481223034362,0.0100054689021,0.0100115721337,0.0155576673053,0.0775849010304,0.0100160788268,0.0100051304591,0.0104767514377,0.0152477532772,0.010009242111,0.0211515299414,0.0100077209313,0.0154985763516,0.0100102930219,0.0151656015374,0.929289192333,185.585636685,68.2807081764,133.370850277,3.5056373773,12.6417953902,0,0.829943242391,4.4380506199,6.54136427964,4.6539493471,1.48144375419,0.722160697893,1.63377428322,2.07976829324,118.362480206,35.7143544653,34.0768790816,0.690741607471,0,113.459297946,0.844963314923,11.7383689099,2.76033790238,0,49.0037719434,1.76981568792,13.8969375886,4.08462288833,0.685541449257,164.498266361,20.8312430234,0.66738028069,1.67623339882,8.34877962043,7.14092631626,2.16437084126,1.65475827086,3.30427617033,14.9455746268,0.365038261987,1.08261527796,0.973040092006,0.70479217981,0.719497355034,0.98697760516,0.788748284536,0.712681040504,0.972301546501,1.71991980752
