sample_id,elv_angle,shoulder_elv,shoulder_rot,elbow_flexion,pro_sup,deviation,flexion
sobol__0000073,71.90420601,84.86528409,78.54005443,99.01385877,-5.17666481,2.88316363,0.61141024
sobol__0000197,103.54483101,98.57622159,84.98536693,50.77167127,-19.55166481,7.94175738,-24.23233976
sobol__0000245,117.60733101,129.04497159,-25.17088307,36.55292127,-72.05166481,10.67613238,-56.10733976
sobol__0000257,38.50576851,121.17387784,-1.44041432,24.11151502,3.88583519,4.18199176,-56.81046476
sobol__0000261,106.00576851,72.42387784,54.80958568,105.36151502,63.88583519,-0.19300824,-11.81046476
sobol__0000273,44.13076851,76.48637784,-43.62791432,68.79901502,48.88583519,11.83824176,6.93953524
sobol__0000317,80.69326851,115.08012784,89.96583568,78.95526502,-63.61416481,-9.48988324,-21.18546476
sobol__0000393,74.36514351,119.65044034,67.11427318,56.10370252,70.76083519,11.15464801,20.53328524
sobol__0000469,109.52139351,100.35356534,-39.52635182,65.24432752,69.51083519,3.22496051,12.09578524
anchor__scaption_90,45,90,0,0,0,0,0
sobol__0000234,111.98233101,59.98247159,63.89161693,97.49042127,72.94833519,3.01988238,-22.35733976
sobol__0000386,85.61514351,62.77544034,76.48927318,112.97870252,-59.23916481,8.96714801,-46.96671476
sobol__0000059,14.24795601,96.03715909,44.55567943,57.37323377,-1.42666481,23.93785113,-37.82608976
sobol__0000063,-53.25204399,112.28715909,-49.19432057,73.62323377,-61.42666481,19.56285113,-22.82608976
sobol__0000223,-59.58016899,86.38872159,-22.82713307,127.95917127,-4.55166481,22.16050738,54.51766024
sobol__0000303,-48.68173149,111.01762784,57.15333568,58.64276502,11.38583519,-1.83363324,12.56453524
sobol__0000315,13.19326851,98.83012784,-41.28416432,30.20526502,36.38583519,21.13511676,-6.18546476
sobol__0000335,-41.65048149,126.25200284,34.88771068,21.06464002,-69.86416481,12.65855426,58.50203524
sobol__0000447,-52.19735649,125.74419034,83.52052318,119.07245252,-41.73916481,5.13902301,37.40828524
anchor__abduction_45,0,45,0,0,0,0,0
sobol__0000016,-44.81454399,53.38090909,-28.10057057,39.09198377,6.07333519,-9.42152387,-20.95108976
sobol__0000052,25.49795601,39.16215909,-39.81932057,16.74823377,48.57333519,17.37535113,59.67391024
sobol__0000136,-15.98641899,10.21684659,83.81349193,84.28729627,34.19833519,-9.83168012,-4.54483976
sobol__0000248,-28.64266899,39.66997159,77.95411693,44.67792127,-2.05166481,4.11363238,11.39266024
sobol__0000352,-55.71298149,38.90825284,18.48146068,124.65839002,2.63583519,6.64292926,45.37703524
sobol__0000400,-43.75985649,34.33794034,62.42677318,27.66620252,25.76083519,14.43589801,39.28328524
